Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Who was the first woman President of India?,Indira Gandhi,Pratibha Patil,Droupadi Murmu,Sonia Gandhi,B) Pratibha Patil,"Pratibha Patil became India's first female President, serving from 2007 to 2012.",Famous People,Presidents
"Who discovered the theory of gravity after observing a falling apple, according to popular legend?",Isaac Newton,Johannes Kepler,Galileo Galilei,Albert Einstein,A) Isaac Newton,"Sir Isaac Newton is credited with formulating the law of universal gravitation, popularly linked to the story of a falling apple.",Famous People,Scientists
Who is considered the founder of the Sikh religion?,Guru Amar Das,Guru Gobind Singh,Guru Nanak,Guru Arjan,C) Guru Nanak,"Guru Nanak, born in 1469, is regarded as the founder of Sikhism and the first of the ten Sikh Gurus.",Famous People,Famous Indians
Who founded Apple Inc.?,Bill Gates,Larry Page and Sergey Brin,"Steve Jobs, Steve Wozniak, and Ronald Wayne",Mark Zuckerberg,"C) Steve Jobs, Steve Wozniak, and Ronald Wayne","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne in 1976.",Famous People,Technology Pioneers
"Who invented the light bulb (as a practical, commercially successful version)?",Alexander Graham Bell,Michael Faraday,Thomas Edison,Nikola Tesla,C) Thomas Edison,Thomas Edison developed a commercially practical incandescent light bulb in 1879.,Famous People,Inventors
"Who is considered the father of the modern computer, known for his analytical engine concept?",John von Neumann,Alan Turing,Ada Lovelace,Charles Babbage,D) Charles Babbage,"Charles Babbage designed the Analytical Engine, an early mechanical general-purpose computer concept, earning him recognition as a father of computing.",Famous People,Computer Founders
Who is regarded as the first computer programmer?,Ada Lovelace,Grace Hopper,Charles Babbage,Alan Turing,A) Ada Lovelace,Ada Lovelace is credited as the first computer programmer for her work on Charles Babbage's Analytical Engine.,Famous People,Computer Founders
Who captained the Indian cricket team to victory in the 1983 Cricket World Cup?,Sourav Ganguly,M.S. Dhoni,Kapil Dev,Sunil Gavaskar,C) Kapil Dev,Kapil Dev led India to their first Cricket World Cup title in 1983.,Famous People,Cricket Players
Who created the Java programming language?,Bjarne Stroustrup,Guido van Rossum,James Gosling,Dennis Ritchie,C) James Gosling,James Gosling led the team that developed the Java programming language at Sun Microsystems in the mid-1990s.,Famous People,Programming Language Creators
Who is known as the 'Missile Man of India' and later became President of India?,A. P. J. Abdul Kalam,Pratibha Patil,Dr. S. Radhakrishnan,Dr. Rajendra Prasad,A) A. P. J. Abdul Kalam,"A. P. J. Abdul Kalam, known as the 'Missile Man of India' for his work in aerospace and defense, served as India's President from 2002 to 2007.",Famous People,Indian Leaders
Who wrote the famous Indian epic the Ramayana?,Valmiki,Kalidasa,Tulsidas,Vyasa,A) Valmiki,The sage Valmiki is traditionally credited as the author of the Sanskrit epic the Ramayana.,Famous People,Authors & Writers
Who is credited with inventing the World Wide Web?,Tim Berners-Lee,Steve Jobs,Bill Gates,Vint Cerf,A) Tim Berners-Lee,Tim Berners-Lee invented the World Wide Web in 1989 while working at CERN.,Famous People,Technology Pioneers
Who was the first President of independent India?,B. R. Ambedkar,Dr. Rajendra Prasad,Dr. S. Radhakrishnan,Jawaharlal Nehru,B) Dr. Rajendra Prasad,"Dr. Rajendra Prasad served as India's first President, from 1950 to 1962.",Famous People,Presidents
Who is known as the founder of Facebook?,Mark Zuckerberg,Larry Page,Jack Dorsey,Elon Musk,A) Mark Zuckerberg,Mark Zuckerberg co-founded Facebook (now Meta) in 2004.,Famous People,Entrepreneurs
Who created the Python programming language?,Bjarne Stroustrup,Dennis Ritchie,Guido van Rossum,James Gosling,C) Guido van Rossum,"Guido van Rossum created the Python programming language, first released in 1991.",Famous People,Programming Language Creators
Who wrote the Mahabharata?,Tulsidas,Valmiki,Ved Vyasa,Kalidasa,C) Ved Vyasa,The Mahabharata is traditionally attributed to the sage Ved Vyasa.,Famous People,Authors & Writers
Who was the first woman Prime Minister of India?,Sonia Gandhi,Pratibha Patil,Sushma Swaraj,Indira Gandhi,D) Indira Gandhi,"Indira Gandhi became India's first female Prime Minister, serving multiple terms starting in 1966.",Famous People,Prime Ministers
Who is known as the 'Sprint King' for winning multiple Olympic gold medals in track events?,Usain Bolt,Carl Lewis,Michael Phelps,Jesse Owens,A) Usain Bolt,"Usain Bolt, from Jamaica, won multiple Olympic gold medals in sprinting and set world records in the 100m and 200m.",Famous People,Sports Players
Who is regarded as the Father of the Nation in India?,Sardar Patel,Mahatma Gandhi,Jawaharlal Nehru,Subhas Chandra Bose,B) Mahatma Gandhi,Mahatma Gandhi is widely regarded as the Father of the Nation in India for his leadership in the independence movement.,Famous People,Freedom Fighters
Who founded Microsoft?,Bill Gates and Paul Allen,Jeff Bezos,Steve Jobs,Larry Page,A) Bill Gates and Paul Allen,Bill Gates and Paul Allen co-founded Microsoft in 1975.,Famous People,Technology Pioneers
Who is the founder of Tesla and SpaceX?,Bill Gates,Elon Musk,Jeff Bezos,Mark Zuckerberg,B) Elon Musk,"Elon Musk co-founded and leads Tesla and SpaceX, among other companies.",Famous People,Entrepreneurs
Who is known as the founder of the theory of relativity?,Galileo Galilei,Albert Einstein,Isaac Newton,Niels Bohr,B) Albert Einstein,"Albert Einstein developed the theory of relativity, one of the pillars of modern physics.",Famous People,Scientists
