Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which team won the 2010 IPL season?,Mumbai Indians,Chennai Super Kings,Royal Challengers Bangalore,Deccan Chargers,B) Chennai Super Kings,"Chennai Super Kings, captained by M.S. Dhoni, won their first IPL title in 2010.",IPL,IPL Winners
What is the term for the IPL's player acquisition event held before each season?,Tender,Auction,Lottery,Draft,B) Auction,IPL teams acquire players through a public auction process held before the season.,IPL,IPL History
What is a 'Super Over' in the IPL used for?,To add extra overs for rain delays,To decide a match that ends in a tie,To replace an injured player,To determine the toss winner,B) To decide a match that ends in a tie,A Super Over is a one-over eliminator used to decide the winner when an IPL match ends in a tie.,IPL,IPL History
Who won the first season of the IPL in 2008?,Kolkata Knight Riders,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,C) Rajasthan Royals,"Rajasthan Royals, captained by Shane Warne, won the inaugural IPL season in 2008.",IPL,IPL Winners
In what year did the IPL introduce the concept of a mega auction with fresh bidding for most players?,2022,2015,2020,2018,A) 2022,"The IPL held a notable mega auction ahead of the 2022 season, when two new teams (Gujarat Titans and Lucknow Super Giants) also joined.",IPL,IPL History
Which team did M.S. Dhoni famously captain for most of his IPL career?,Chennai Super Kings,Mumbai Indians,Kolkata Knight Riders,Delhi Capitals,A) Chennai Super Kings,"M.S. Dhoni has been strongly associated with Chennai Super Kings, captaining the team for the majority of his IPL career.",IPL,IPL Captains
How many players are there in a playing XI for an IPL team?,11,10,12,9,A) 11,"Like standard cricket, each IPL team fields 11 players in its playing XI.",IPL,IPL History
In which year was the Indian Premier League (IPL) founded?,2010,2008,2007,2005,B) 2008,The IPL was founded in 2007 and held its first season in 2008.,IPL,IPL History
Who captained Rajasthan Royals to victory in the first IPL season (2008)?,M.S. Dhoni,Sourav Ganguly,Adam Gilchrist,Shane Warne,D) Shane Warne,Shane Warne captained Rajasthan Royals to their title win in the first IPL season in 2008.,IPL,IPL Captains
Which two new franchises joined the IPL starting the 2022 season?,Deccan Chargers and Kings XI Punjab,Rising Pune Supergiant and Gujarat Lions,Pune Warriors and Kochi Tuskers,Gujarat Titans and Lucknow Super Giants,D) Gujarat Titans and Lucknow Super Giants,Gujarat Titans and Lucknow Super Giants were introduced as new franchises for the 2022 IPL season.,IPL,IPL History
