Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
How many players are there in a cricket team on the field at one time?,9,10,11,12,C) 11,"A cricket team fields 11 players at a time, including a wicketkeeper and bowlers.",Cricket,Cricket Rules
How many balls are there in one over?,5,8,4,6,D) 6,A standard over in cricket consists of 6 legal deliveries bowled by one bowler.,Cricket,Cricket Rules
What does LBW stand for?,Long Ball Wicket,Leg Before Wicket,Left Bat Wide,Last Ball Win,B) Leg Before Wicket,"LBW stands for Leg Before Wicket, a dismissal where the ball would have hit the stumps but struck the batsman's leg first.",Cricket,Cricket Rules
How many stumps are there in a wicket?,5,4,3,2,C) 3,A wicket is made up of 3 vertical stumps topped by 2 bails.,Cricket,Cricket Rules
How many overs are played in a standard T20 innings?,10,20,50,40,B) 20,A Twenty20 (T20) match consists of a maximum of 20 overs per side.,Cricket,Cricket Rules
How many overs are played in a standard ODI innings?,40,60,50,20,C) 50,A One Day International (ODI) match consists of a maximum of 50 overs per side.,Cricket,Cricket Rules
What is a maiden over?,An over with a wicket,The first over of the innings,An over with a six,An over in which no runs are scored off the bat,D) An over in which no runs are scored off the bat,A maiden over is one in which the bowler concedes no runs from any of the deliveries in that over.,Cricket,Cricket Rules
What is a 'duck' in cricket?,An illegal shot,A batsman getting out for zero runs,A fielding position,A type of delivery,B) A batsman getting out for zero runs,A 'duck' refers to a batsman being dismissed without scoring any runs.,Cricket,Cricket Rules
What happens when a bowler bowls a no-ball?,The batsman is out automatically,The over restarts,An extra run is added and the batting team gets a free hit in limited-overs cricket,The bowler is banned,C) An extra run is added and the batting team gets a free hit in limited-overs cricket,"A no-ball (commonly for overstepping the crease) gives the batting side an extra run, and in limited-overs formats the next ball is often a free hit.",Cricket,Cricket Rules
What is a hat-trick in cricket?,Scoring three consecutive sixes,Batting for three full sessions,Winning three matches in a row,A bowler taking three wickets with three consecutive deliveries,D) A bowler taking three wickets with three consecutive deliveries,A hat-trick occurs when a bowler dismisses three batsmen with three consecutive legal deliveries.,Cricket,Cricket Rules
How many runs does a batsman get for hitting the ball over the boundary without it touching the ground?,8,6,4,2,B) 6,Hitting the ball over the boundary line on the full (without bouncing) earns the batting side 6 runs.,Cricket,Cricket Rules
How many runs are awarded when the ball crosses the boundary after touching the ground?,3,6,2,4,D) 4,"If the ball touches the ground before crossing the boundary, it is worth 4 runs.",Cricket,Cricket Rules
What is the term for a bowler dismissing a batsman first ball of the match (or innings) for a golden duck?,Platinum duck,Diamond duck,Golden duck,Silver duck,C) Golden duck,A 'golden duck' is when a batsman is dismissed off the very first ball they face without scoring.,Cricket,Cricket Rules
What is the maximum number of overs a single bowler can bowl in an ODI innings?,8,6,10,12,C) 10,"In a 50-over ODI innings, a single bowler is allowed to bowl a maximum of 10 overs.",Cricket,Cricket Rules
What is the maximum number of overs a single bowler can bowl in a T20 innings?,6,3,5,4,D) 4,"In a 20-over T20 innings, a single bowler is allowed to bowl a maximum of 4 overs.",Cricket,Cricket Rules
Who is known as the 'God of Cricket'?,Sachin Tendulkar,Virat Kohli,Ricky Ponting,Brian Lara,A) Sachin Tendulkar,Sachin Tendulkar of India is widely referred to as the 'God of Cricket' due to his legendary batting career and records.,Cricket,Famous Cricket Players
Who is the only player to score 100 international centuries?,Sachin Tendulkar,Virat Kohli,Ricky Ponting,Kumar Sangakkara,A) Sachin Tendulkar,Sachin Tendulkar is the only cricketer to have scored 100 international centuries across Test and ODI cricket.,Cricket,Individual Records
Who is nicknamed the 'Universe Boss'?,Andre Russell,Chris Gayle,AB de Villiers,David Warner,B) Chris Gayle,"Chris Gayle, the West Indian batsman known for his explosive hitting, is nicknamed the 'Universe Boss'.",Cricket,Famous Cricket Players
Which country won the first Cricket World Cup (1975)?,India,West Indies,England,Australia,B) West Indies,"The West Indies won the inaugural Cricket World Cup held in England in 1975, defeating Australia in the final.",Cricket,World Cup Winners
Which country won the 2011 Cricket World Cup?,Pakistan,Sri Lanka,Australia,India,D) India,"India won the 2011 Cricket World Cup, defeating Sri Lanka in the final held at Wankhede Stadium, Mumbai.",Cricket,World Cup Winners
Who was the first Indian captain to win a men's ODI Cricket World Cup?,Kapil Dev,M.S. Dhoni,Sourav Ganguly,Virat Kohli,A) Kapil Dev,Kapil Dev captained India to their first Cricket World Cup title in 1983.,Cricket,World Cup Records
Which team won the first ICC T20 World Cup in 2007?,Pakistan,India,Australia,South Africa,B) India,"India won the inaugural ICC T20 World Cup in 2007, defeating Pakistan in the final, under the captaincy of M.S. Dhoni.",Cricket,World Cup Winners
Who was the first batsman to score a double century (200) in ODI cricket?,Chris Gayle,Rohit Sharma,Virender Sehwag,Sachin Tendulkar,D) Sachin Tendulkar,"Sachin Tendulkar became the first player to score an unbeaten double century in ODI cricket, against South Africa in 2010.",Cricket,Individual Records
