Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is a computer?,A named collection of data stored on a computer,An electronic device that processes data according to instructions,A program designed to perform a specific task for the user,A security system that monitors and filters network traffic,B) An electronic device that processes data according to instructions,"A computer is an electronic device that accepts data, processes it according to instructions, and produces output.",Computer Basics,Computer Fundamentals
Which of the following best describes a computer?,A device connected to a computer but not part of its core architecture,A secret string of characters used to authenticate a user,A global network connecting millions of computers worldwide,An electronic device that processes data according to instructions,D) An electronic device that processes data according to instructions,"A computer is an electronic device that accepts data, processes it according to instructions, and produces output.",Computer Basics,Computer Fundamentals
What is input?,A program designed to perform a specific task for the user,Hardware used to store data and instructions for the computer to access,The 'brain' of the computer that processes instructions,Data or instructions entered into a computer for processing,D) Data or instructions entered into a computer for processing,Input refers to data or instructions fed into a computer system for processing.,Computer Basics,Input Devices
Which of the following best describes input?,A container used to organize files on a computer,Data or instructions entered into a computer for processing,Connecting multiple computers to share resources and data,Malicious software that can replicate and damage a computer system,B) Data or instructions entered into a computer for processing,Input refers to data or instructions fed into a computer system for processing.,Computer Basics,Input Devices
What is output?,Connecting multiple computers to share resources and data,Storing data on remote servers accessed via the internet,Software used to access and navigate websites on the internet,The result produced by a computer after processing input,D) The result produced by a computer after processing input,Output is the information or result produced by a computer after it has processed the input.,Computer Basics,Output Devices
Which of the following best describes output?,The result produced by a computer after processing input,A unit of digital information typically made up of 8 bits,The 'brain' of the computer that processes instructions,"Local Area Network, a network confined to a small area like an office",A) The result produced by a computer after processing input,Output is the information or result produced by a computer after it has processed the input.,Computer Basics,Output Devices
What is the CPU?,A named collection of data stored on a computer,The 'brain' of the computer that processes instructions,A security system that monitors and filters network traffic,A unique numerical label assigned to devices on a network,B) The 'brain' of the computer that processes instructions,"The CPU (Central Processing Unit) is often called the brain of the computer, as it processes instructions and calculations.",Computer Basics,CPU
Which of the following best describes the CPU?,Storing data on remote servers accessed via the internet,A container used to organize files on a computer,"Local Area Network, a network confined to a small area like an office",The 'brain' of the computer that processes instructions,D) The 'brain' of the computer that processes instructions,"The CPU (Central Processing Unit) is often called the brain of the computer, as it processes instructions and calculations.",Computer Basics,CPU
What is memory (computer)?,System software that manages computer hardware and resources,The result produced by a computer after processing input,A security system that monitors and filters network traffic,Hardware used to store data and instructions for the computer to access,D) Hardware used to store data and instructions for the computer to access,"Memory refers to hardware components, like RAM, used to store data and instructions that the computer needs to access.",Computer Basics,Memory
Which of the following best describes memory (computer)?,"Wide Area Network, a network that spans a large geographical area",Hardware used to store data and instructions for the computer to access,A secret string of characters used to authenticate a user,Software used to access and navigate websites on the internet,B) Hardware used to store data and instructions for the computer to access,"Memory refers to hardware components, like RAM, used to store data and instructions that the computer needs to access.",Computer Basics,Memory
What is storage?,"Hardware used to keep data permanently, even without power",A technology that allows wireless connection to a network,The 'brain' of the computer that processes instructions,Storing data on remote servers accessed via the internet,"A) Hardware used to keep data permanently, even without power","Storage devices, like hard drives, retain data permanently, even when the computer is powered off.",Computer Basics,Storage
Which of the following best describes storage?,A global network connecting millions of computers worldwide,System software that manages computer hardware and resources,"Hardware used to keep data permanently, even without power",The result produced by a computer after processing input,"C) Hardware used to keep data permanently, even without power","Storage devices, like hard drives, retain data permanently, even when the computer is powered off.",Computer Basics,Storage
What is the internet?,"Hardware used to keep data permanently, even without power",A global network connecting millions of computers worldwide,A unit of digital information typically made up of 8 bits,"Local Area Network, a network confined to a small area like an office",B) A global network connecting millions of computers worldwide,The internet is a global network of interconnected computers that communicate and share information worldwide.,Computer Basics,Internet
Which of the following best describes the internet?,A global network connecting millions of computers worldwide,A named collection of data stored on a computer,A security system that monitors and filters network traffic,"The smallest unit of data in computing, represented as 0 or 1",A) A global network connecting millions of computers worldwide,The internet is a global network of interconnected computers that communicate and share information worldwide.,Computer Basics,Internet
What is networking (computer)?,A security system that monitors and filters network traffic,"The smallest unit of data in computing, represented as 0 or 1",Connecting multiple computers to share resources and data,A technology that allows wireless connection to a network,C) Connecting multiple computers to share resources and data,"Networking involves connecting multiple computers together to share resources, files, and data.",Computer Basics,Networking
Which of the following best describes networking (computer)?,"Local Area Network, a network confined to a small area like an office","The smallest unit of data in computing, represented as 0 or 1",Connecting multiple computers to share resources and data,System software that manages computer hardware and resources,C) Connecting multiple computers to share resources and data,"Networking involves connecting multiple computers together to share resources, files, and data.",Computer Basics,Networking
What is computer security?,Measures taken to protect computer systems from threats,"Hardware used to keep data permanently, even without power",A unit of digital information typically made up of 8 bits,A global network connecting millions of computers worldwide,A) Measures taken to protect computer systems from threats,"Computer security involves protecting computer systems and data from unauthorized access, damage, or theft.",Computer Basics,Computer Security
Which of the following best describes computer security?,An electronic device that processes data according to instructions,Connecting multiple computers to share resources and data,Measures taken to protect computer systems from threats,"Local Area Network, a network confined to a small area like an office",C) Measures taken to protect computer systems from threats,"Computer security involves protecting computer systems and data from unauthorized access, damage, or theft.",Computer Basics,Computer Security
What is a byte?,A unit of digital information typically made up of 8 bits,Data or instructions entered into a computer for processing,An electronic device that processes data according to instructions,The process of starting a computer and loading its operating system,A) A unit of digital information typically made up of 8 bits,"A byte is a unit of digital information, made up of 8 bits, commonly used to measure data size.",Computer Basics,Computer Fundamentals
Which of the following best describes a byte?,The process of starting a computer and loading its operating system,Data or instructions entered into a computer for processing,Connecting multiple computers to share resources and data,A unit of digital information typically made up of 8 bits,D) A unit of digital information typically made up of 8 bits,"A byte is a unit of digital information, made up of 8 bits, commonly used to measure data size.",Computer Basics,Computer Fundamentals
What is a bit?,Hardware used to store data and instructions for the computer to access,"The smallest unit of data in computing, represented as 0 or 1",A unit of digital information typically made up of 8 bits,Measures taken to protect computer systems from threats,"B) The smallest unit of data in computing, represented as 0 or 1","A bit is the smallest unit of data in computing, representing a binary value of either 0 or 1.",Computer Basics,Computer Fundamentals
Which of the following best describes a bit?,"Hardware used to keep data permanently, even without power","The smallest unit of data in computing, represented as 0 or 1",A security system that monitors and filters network traffic,The result produced by a computer after processing input,"B) The smallest unit of data in computing, represented as 0 or 1","A bit is the smallest unit of data in computing, representing a binary value of either 0 or 1.",Computer Basics,Computer Fundamentals
What is an operating system?,Measures taken to protect computer systems from threats,System software that manages computer hardware and resources,A unique numerical label assigned to devices on a network,Connecting multiple computers to share resources and data,B) System software that manages computer hardware and resources,An operating system manages a computer's hardware and provides a platform for running application software.,Computer Basics,Operating Systems
