Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Quiz question: On what date did the Constitution of India come into effect, making it a republic?",26 January 1950,Jawaharlal Nehru,A. O. Hume,Shivaji Maharaj,A) 26 January 1950,"The Constitution of India came into effect on 26 January 1950, a date now celebrated as Republic Day.",Indian History,Important Dates
"Choose the correct answer: What was the primary aim of the Swadeshi Movement, following the 1905 Partition of Bengal?",The Vedic Period,To promote the use of Indian-made goods over British imports,Shivaji Maharaj,Qutb-ud-din Aibak,B) To promote the use of Indian-made goods over British imports,"The Swadeshi Movement encouraged Indians to boycott British goods and support domestic industries, especially after the 1905 partition of Bengal.",Indian History,Important Historical Events
Which option correctly answers this: Who was the first Prime Minister of independent India?,The Gupta Empire,Qutb-ud-din Aibak,Jawaharlal Nehru,To promote the use of Indian-made goods over British imports,C) Jawaharlal Nehru,"Jawaharlal Nehru served as India's first Prime Minister, from 1947 to 1964.",Indian History,Indian Independence
"On what date did the Constitution of India come into effect, making it a republic?",To promote the use of Indian-made goods over British imports,26 January 1950,Bahadur Shah Zafar,The Gupta Empire,B) 26 January 1950,"The Constitution of India came into effect on 26 January 1950, a date now celebrated as Republic Day.",Indian History,Important Dates
In which year did India gain independence from British rule?,A Mughal emperor known for administrative reform and religious tolerance,1947,The Vijayanagara Empire,Bahadur Shah Zafar,B) 1947,India gained independence from British rule on 15 August 1947.,Indian History,Indian Independence
Choose the correct answer: What was the Quit India Movement of 1942?,Bahadur Shah Zafar,The Queen of Jhansi who fought against British rule in 1857,Qutb-ud-din Aibak,A movement demanding an immediate end to British rule,D) A movement demanding an immediate end to British rule,"The Quit India Movement, launched by Gandhi in 1942, demanded an immediate end to British rule in India.",Indian History,Independence Movement
Who was the first Prime Minister of independent India?,A. O. Hume,Jawaharlal Nehru,26 January 1950,A movement demanding an immediate end to British rule,B) Jawaharlal Nehru,"Jawaharlal Nehru served as India's first Prime Minister, from 1947 to 1964.",Indian History,Indian Independence
Choose the correct answer: Who built the Taj Mahal?,Shah Jahan,"The ruler of the Kingdom of Mysore, known for resisting British expansion",Shivaji Maharaj,Ashoka,A) Shah Jahan,The Mughal emperor Shah Jahan commissioned the Taj Mahal in memory of his wife Mumtaz Mahal.,Indian History,Mughal Empire
Quiz question: Who founded the Maratha Empire?,The Indus Valley Civilization,26 January 1950,Babur,Shivaji Maharaj,D) Shivaji Maharaj,"Shivaji Maharaj founded the Maratha Empire in the 17th century, known for his military tactics and governance.",Indian History,Maratha Empire
Choose the correct answer: Which period followed the classical age and saw the rise of regional kingdoms and later the Delhi Sultanate?,Qutb-ud-din Aibak,The Battle of Plassey,A Mughal emperor known for administrative reform and religious tolerance,Medieval India,D) Medieval India,Medieval India covers the period marked by regional kingdoms and later the establishment of the Delhi Sultanate.,Indian History,Medieval India
"Choose the correct answer: Who was Akbar, known for religious tolerance during his Mughal reign?",A Mughal emperor known for administrative reform and religious tolerance,1947,"The ruler of the Kingdom of Mysore, known for resisting British expansion",26 January 1950,A) A Mughal emperor known for administrative reform and religious tolerance,Akbar was a Mughal emperor known for his policy of religious tolerance and significant administrative reforms.,Indian History,Mughal Empire
Choose the correct answer: Who founded the Indian National Army (INA) to fight for India's independence?,1947,An administrative decision by Lord Curzon,Ashoka,Subhas Chandra Bose,D) Subhas Chandra Bose,"Subhas Chandra Bose, also called Netaji, founded the Indian National Army (INA) to fight for India's independence.",Indian History,Freedom Fighters
"Choose the correct answer: What event is considered the First War of Indian Independence, occurring in 1857?",Qutb-ud-din Aibak,A Mughal emperor known for administrative reform and religious tolerance,The Revolt of 1857 (Sepoy Mutiny),The Indus Valley Civilization,C) The Revolt of 1857 (Sepoy Mutiny),"The Revolt of 1857, also called the Sepoy Mutiny, is considered by many historians to be the First War of Indian Independence.",Indian History,Revolt of 1857
Which option correctly answers this: Who founded the Delhi Sultanate?,Qutb-ud-din Aibak,Dr. B. R. Ambedkar,Mohenjo-daro,Shivaji Maharaj,A) Qutb-ud-din Aibak,"Qutb-ud-din Aibak founded the Delhi Sultanate in 1206, establishing the first of several dynasties to rule from Delhi.",Indian History,Delhi Sultanate
Quiz question: Who was the first Prime Minister of independent India?,The Vedic Period,A Mughal emperor known for administrative reform and religious tolerance,Jawaharlal Nehru,An administrative decision by Lord Curzon,C) Jawaharlal Nehru,"Jawaharlal Nehru served as India's first Prime Minister, from 1947 to 1964.",Indian History,Indian Independence
What was the Quit India Movement of 1942?,A. O. Hume,The Vedic Period,26 January 1950,A movement demanding an immediate end to British rule,D) A movement demanding an immediate end to British rule,"The Quit India Movement, launched by Gandhi in 1942, demanded an immediate end to British rule in India.",Indian History,Independence Movement
What was the Quit India Movement of 1942?,A movement demanding an immediate end to British rule,A campaign urging Indians to withdraw cooperation from British rule,The Indus Valley Civilization,Jawaharlal Nehru,A) A movement demanding an immediate end to British rule,"The Quit India Movement, launched by Gandhi in 1942, demanded an immediate end to British rule in India.",Indian History,Independence Movement
Quiz question: Who was Rani Lakshmibai?,The Vijayanagara Empire,Chandragupta Maurya,The Queen of Jhansi who fought against British rule in 1857,Jawaharlal Nehru,C) The Queen of Jhansi who fought against British rule in 1857,"Rani Lakshmibai, the Queen of Jhansi, was a key leader in the 1857 revolt against British rule.",Indian History,Revolt of 1857
Who was the first Prime Minister of independent India?,The Queen of Jhansi who fought against British rule in 1857,The Indus Valley Civilization,Jawaharlal Nehru,Colonial Rule (the British Raj),C) Jawaharlal Nehru,"Jawaharlal Nehru served as India's first Prime Minister, from 1947 to 1964.",Indian History,Indian Independence
"Quiz question: On what date did the Constitution of India come into effect, making it a republic?",A campaign urging Indians to withdraw cooperation from British rule,An administrative decision by Lord Curzon,The Revolt of 1857 (Sepoy Mutiny),26 January 1950,D) 26 January 1950,"The Constitution of India came into effect on 26 January 1950, a date now celebrated as Republic Day.",Indian History,Important Dates
Quiz question: Who founded the Mughal Empire in India?,Babur,Medieval India,Dr. B. R. Ambedkar,Shivaji Maharaj,A) Babur,Babur founded the Mughal Empire in India after defeating Ibrahim Lodi at the First Battle of Panipat in 1526.,Indian History,Mughal Empire
Choose the correct answer: What was the primary cause of the Partition of Bengal in 1905?,To promote the use of Indian-made goods over British imports,The Rigveda,The Gupta Empire,An administrative decision by Lord Curzon,D) An administrative decision by Lord Curzon,Lord Curzon's 1905 decision to partition Bengal for administrative reasons sparked widespread protest and the Swadeshi Movement.,Indian History,Important Historical Events
Which option correctly answers this: Which ancient Indian empire is often referred to as a 'Golden Age' of Indian culture and science?,The Revolt of 1857 (Sepoy Mutiny),Qutb-ud-din Aibak,The Gupta Empire,The Vijayanagara Empire,C) The Gupta Empire,"The Gupta Empire (4th-6th century CE) is often called a 'Golden Age' of Indian culture, science, and the arts.",Indian History,Gupta Empire
"Which option correctly answers this: On what date did the Constitution of India come into effect, making it a republic?",Subhas Chandra Bose,26 January 1950,Chandragupta Maurya,The Rigveda,B) 26 January 1950,"The Constitution of India came into effect on 26 January 1950, a date now celebrated as Republic Day.",Indian History,Important Dates
Which option correctly answers this: Which South Indian kingdom is associated with the ancient city of Hampi?,The Battle of Plassey,The Vijayanagara Empire,A campaign urging Indians to withdraw cooperation from British rule,The Indus Valley Civilization,B) The Vijayanagara Empire,"Hampi was the capital of the Vijayanagara Empire, a major South Indian kingdom that flourished for centuries.",Indian History,South Indian Kingdoms
Choose the correct answer: What is the period of British rule over India commonly called?,The Vijayanagara Empire,Colonial Rule (the British Raj),Mahatma Gandhi,Bahadur Shah Zafar,B) Colonial Rule (the British Raj),The period of British rule over India is commonly referred to as colonial rule or the British Raj.,Indian History,Colonial Rule
Who founded the Maratha Empire?,A. O. Hume,26 January 1950,Ashoka,Shivaji Maharaj,D) Shivaji Maharaj,"Shivaji Maharaj founded the Maratha Empire in the 17th century, known for his military tactics and governance.",Indian History,Maratha Empire
