Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which of the following best describes a user journey?,The arrangement of design elements to show their order of importance,A map showing the steps a user takes to accomplish a goal with a product,The structural organization of content within a product to support usability,"A simple, quick prototype used to test basic concepts and flow",B) A map showing the steps a user takes to accomplish a goal with a product,A user journey maps out the steps and touchpoints a user experiences while trying to accomplish a specific goal.,UI/UX Design,User Journey
What is UX design?,A map showing the steps a user takes to accomplish a goal with a product,The design of the overall experience and usability a user has with a product,"A design element, like a button, that prompts users to take a specific action",A usability inspection method where experts review an interface against established principles,B) The design of the overall experience and usability a user has with a product,"UX (User Experience) design focuses on the overall experience, usability, and satisfaction a user has when using a product.",UI/UX Design,UX Design Basics
Which option best explains the meaning of web UI design?,Designing user interfaces specifically for websites and web applications,A usability inspection method where experts review an interface against established principles,A map showing the steps a user takes to accomplish a goal with a product,A collection of reusable components and standards used to build consistent products,A) Designing user interfaces specifically for websites and web applications,"Web UI design focuses on creating interfaces for websites and web applications, considering browsers and varying screen sizes.",UI/UX Design,Web UI
Which of the following best describes A/B testing (design)?,Comparing two versions of a design to see which performs better with users,"A fictional representation of a target user, based on research","Creating an interactive, testable model of a design before full development",The structural organization of content within a product to support usability,A) Comparing two versions of a design to see which performs better with users,A/B testing compares two versions of a design element to determine which one performs better based on user behavior.,UI/UX Design,User Research
Which statement correctly explains visual hierarchy?,The arrangement of design elements to show their order of importance,The structural organization of content within a product to support usability,A structure of columns and rows used to align and organize layout elements,"A basic, low-fidelity visual layout of a page or screen's structure",A) The arrangement of design elements to show their order of importance,Visual hierarchy is the arrangement of design elements to guide the viewer's attention according to their order of importance.,UI/UX Design,Layout Design
Which statement correctly explains user research?,The process of studying users' needs and behaviors to inform design decisions,How easy and efficient a product is for users to accomplish their goals,A collection of reusable components and standards used to build consistent products,Designing user interfaces specifically for websites and web applications,A) The process of studying users' needs and behaviors to inform design decisions,"User research involves studying users' needs, behaviors, and pain points to inform and validate design decisions.",UI/UX Design,User Research
Which option best explains the meaning of a design system?,A collection of reusable components and standards used to build consistent products,The design of how users interact with a product through actions like clicks and gestures,The structural organization of content within a product to support usability,Empty space in a design used to improve clarity and focus,A) A collection of reusable components and standards used to build consistent products,"A design system is a collection of reusable UI components, guidelines, and standards used to build consistent digital products.",UI/UX Design,Design Systems
a user persona can be best defined as which of the following?,Designing user interfaces specifically for websites and web applications,Designing products to be usable by people with a wide range of abilities,The arrangement of design elements to show their order of importance,"A fictional representation of a target user, based on research","D) A fictional representation of a target user, based on research","A user persona is a fictional character created to represent a segment of target users, based on real research data.",UI/UX Design,User Personas
What is visual hierarchy?,Designing user interfaces specifically optimized for smartphones and tablets,The arrangement of design elements to show their order of importance,"A design element, like a button, that prompts users to take a specific action","A fictional representation of a target user, based on research",B) The arrangement of design elements to show their order of importance,Visual hierarchy is the arrangement of design elements to guide the viewer's attention according to their order of importance.,UI/UX Design,Layout Design
Choose the correct definition of a wireframe.,A collection of reusable components and standards used to build consistent products,Designing products to be usable by people with a wide range of abilities,Comparing two versions of a design to see which performs better with users,"A basic, low-fidelity visual layout of a page or screen's structure","D) A basic, low-fidelity visual layout of a page or screen's structure","A wireframe is a simple, low-fidelity visual outline showing the layout and structure of a page or screen.",UI/UX Design,Wireframes
