Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which option best explains the meaning of 5G technology?,"The fifth generation of mobile network technology, offering faster speeds",A wireless networking technology that allows devices to connect to a network without cables,A business primarily focused on developing and selling technology products or services,Delivering computing services like storage and processing over the internet,"A) The fifth generation of mobile network technology, offering faster speeds","5G is the fifth generation of mobile network technology, offering significantly faster data speeds and lower latency than 4G.",Technology,Mobile Technology
Choose the correct definition of internet technology.,The application of scientific knowledge for practical purposes,The process of converting data into a coded form to prevent unauthorized access,Technology that overlays digital information onto the real world,Technology that enables global connectivity and data exchange between computers,D) Technology that enables global connectivity and data exchange between computers,Internet technology encompasses the systems and protocols that enable global connectivity and data exchange between computers.,Technology,Internet Technology
Which option best explains the meaning of cybersecurity?,Using technology to perform tasks with minimal human intervention,Delivering computing services like storage and processing over the internet,A technology that creates three-dimensional physical objects from digital models,The practice of protecting computer systems and data from digital attacks,D) The practice of protecting computer systems and data from digital attacks,"Cybersecurity involves protecting computer systems, networks, and data from digital attacks, damage, or unauthorized access.",Technology,Cybersecurity
Which option best explains the meaning of edge computing?,Delivering computing services like storage and processing over the internet,Connecting multiple computing devices to share resources and data,Using technology to perform tasks with minimal human intervention,"Processing data closer to where it is generated, rather than in a centralized location","D) Processing data closer to where it is generated, rather than in a centralized location",Edge computing processes data closer to where it is generated (like on a device) rather than sending it to a distant centralized data center.,Technology,Cloud Computing
Which option best explains the meaning of Wi-Fi technology?,"A technology device worn on the body, like a smartwatch, often to track data",A wireless networking technology that allows devices to connect to a network without cables,"Technology that creates an immersive, computer-generated simulated environment",Technology that enables global connectivity and data exchange between computers,B) A wireless networking technology that allows devices to connect to a network without cables,Wi-Fi is a wireless networking technology that allows devices to connect to a local network without physical cables.,Technology,Networking
Which statement correctly explains machine learning (as a technology)?,A technology enabling systems to learn patterns from data automatically,Technologies anticipated or currently being developed that may shape the future,A field involving the design and use of robots to perform tasks,"A network of physical devices connected to the internet, able to exchange data",A) A technology enabling systems to learn patterns from data automatically,"Machine learning, a subset of AI technology, enables systems to learn patterns from data without being explicitly programmed for each task.",Technology,Emerging Technology
Which of the following best describes internet technology?,An emerging computing paradigm that uses quantum mechanics to process information,An unmanned aerial vehicle controlled remotely or autonomously,Technology that enables global connectivity and data exchange between computers,Delivering computing services like storage and processing over the internet,C) Technology that enables global connectivity and data exchange between computers,Internet technology encompasses the systems and protocols that enable global connectivity and data exchange between computers.,Technology,Internet Technology
Choose the correct definition of robotics.,A technology enabling systems to learn patterns from data automatically,A business primarily focused on developing and selling technology products or services,A field involving the design and use of robots to perform tasks,A security system that monitors and controls incoming and outgoing network traffic,C) A field involving the design and use of robots to perform tasks,"Robotics is a field of technology involving the design, construction, and use of robots to perform tasks automatically.",Technology,Robotics
Choose the correct definition of the invention of the World Wide Web.,A facility used to house computer systems and networking equipment,New technology that is currently developing or will be developed over the next several years,Connecting multiple computing devices to share resources and data,"A system of interlinked documents, invented by Tim Berners-Lee in 1989","D) A system of interlinked documents, invented by Tim Berners-Lee in 1989","The World Wide Web was invented by Tim Berners-Lee in 1989, revolutionizing how information is shared and accessed online.",Technology,Famous Inventions
Which statement correctly explains machine learning (as a technology)?,"Technology that creates an immersive, computer-generated simulated environment",Technology that overlays digital information onto the real world,"Processing data closer to where it is generated, rather than in a centralized location",A technology enabling systems to learn patterns from data automatically,D) A technology enabling systems to learn patterns from data automatically,"Machine learning, a subset of AI technology, enables systems to learn patterns from data without being explicitly programmed for each task.",Technology,Emerging Technology
