Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Which script family does the Bengali script belong to, also shared with Assamese?",Dravidian script family,Perso-Arabic script family,Eastern Nagari script family,Latin script family,C) Eastern Nagari script family,Bengali and Assamese share scripts derived from the Eastern Nagari script family.,Languages,Language Scripts
Which is the official language of Karnataka state?,Telugu,Malayalam,Kannada,Tamil,C) Kannada,Kannada is the official language of the Indian state of Karnataka.,Languages,State-wise Languages
Which script is used to write the Punjabi language in India?,Tamil script,Gurmukhi,Telugu script,Devanagari,B) Gurmukhi,Punjabi in India is primarily written using the Gurmukhi script.,Languages,Language Scripts
Which is the most widely spoken language in the world by total speakers (including second-language speakers)?,Hindi,English,Spanish,Mandarin Chinese,B) English,English is generally considered the most widely spoken language globally when counting both native and second-language speakers.,Languages,Language Speakers
"Which language is used most widely as a link language for administration at the central level in India, alongside English?",Sanskrit,Urdu,Hindi,Bengali,C) Hindi,"Hindi, alongside English, is used as an official link language at the central government level in India.",Languages,Official Languages
Which is the official language of Tamil Nadu state?,Malayalam,Kannada,Telugu,Tamil,D) Tamil,Tamil is the official language of the Indian state of Tamil Nadu.,Languages,State-wise Languages
"Which Indian language is often referred to as a classical and liturgical language, foundational to many others?",Prakrit,Pali,Sanskrit,Tamil,C) Sanskrit,"Sanskrit is an ancient classical language of India, foundational to many Indian languages and used in religious and scholarly texts.",Languages,Classical Languages
Which was the first Indian language to be granted classical language status?,Sanskrit,Telugu,Kannada,Tamil,D) Tamil,"Tamil was the first Indian language to be officially granted classical language status, in 2004.",Languages,Classical Languages
"Which ancient language is Pali closely associated with, particularly Buddhist texts?",Hinduism,Buddhism (Pali is the liturgical language of Theravada Buddhism),Sikhism,Jainism,B) Buddhism (Pali is the liturgical language of Theravada Buddhism),Pali is closely associated with early Buddhist scriptures and is the liturgical language of Theravada Buddhism.,Languages,Classical Languages
Which language family does Hindi belong to?,Indo-Aryan (Indo-European),Dravidian,Austroasiatic,Sino-Tibetan,A) Indo-Aryan (Indo-European),Hindi belongs to the Indo-Aryan branch of the Indo-European language family.,Languages,Language Families
"Which language family do Tamil, Telugu, Kannada, and Malayalam primarily belong to?",Austroasiatic,Sino-Tibetan,Indo-Aryan,Dravidian,D) Dravidian,"Tamil, Telugu, Kannada, and Malayalam are the four major languages of the Dravidian language family, primarily spoken in South India.",Languages,Language Families
Which language has the most native speakers in the world?,Hindi,Mandarin Chinese,English,Spanish,B) Mandarin Chinese,Mandarin Chinese has the largest number of native speakers of any language in the world.,Languages,Language Speakers
"Which Indian language has classical language status alongside Tamil, Sanskrit, and others?",Kannada,Gujarati,Punjabi,Marathi,A) Kannada,"Kannada has been granted classical language status by the Government of India, alongside Tamil, Sanskrit, Telugu, and others.",Languages,Classical Languages
Which is the most widely spoken first language in India?,Hindi,Marathi,Telugu,Bengali,A) Hindi,"Hindi is the most widely spoken first language in India, according to census data.",Languages,Most Spoken Languages in India
Which script is used to write the Hindi language?,Tamil script,Devanagari,Gurmukhi,Kannada script,B) Devanagari,"Hindi is written using the Devanagari script, which is also used for Sanskrit and Marathi.",Languages,Language Scripts
Which script is used to write the Tamil language?,Gurmukhi,Bengali script,Devanagari,Tamil script,D) Tamil script,Tamil is written using its own distinct Tamil script.,Languages,Language Scripts
How many languages are listed in the Eighth Schedule of the Indian Constitution?,22,25,18,20,A) 22,The Eighth Schedule of the Indian Constitution lists 22 official (scheduled) languages.,Languages,Scheduled Languages
What script is traditionally used to write Urdu?,Perso-Arabic script,Gurmukhi,Devanagari,Tamil script,A) Perso-Arabic script,Urdu is traditionally written using a modified Perso-Arabic script.,Languages,Language Scripts
