Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is the output of: System.out.println(32 - 16);,19,14,16,21,C) 16,"In Java, 32 - 16 evaluates to 16.",Java,Data Types
What is the output of: System.out.println(14 * 31);,434,325,402,345,A) 434,"In Java, 14 * 31 evaluates to 434.",Java,Data Types
What is the output of: System.out.println(38 > 25);,false,error,true,null,C) true,38 > 25 evaluates to true.,Java,Conditions
What is the output of: System.out.println(27 / 40);,1,-2,2,0,D) 0,"In Java, 27 / 40 evaluates to 0 (integer division truncates the decimal part).",Java,Data Types
What is the output of: System.out.println(89 <= 47);,null,false,true,error,B) false,89 <= 47 evaluates to false.,Java,Conditions
What is the output of: System.out.println(26 + 41);,82,60,67,70,C) 67,"In Java, 26 + 41 evaluates to 67.",Java,Data Types
What is the output of: System.out.println(50 <= 32);,false,null,true,error,A) false,50 <= 32 evaluates to false.,Java,Conditions
What is the output of: System.out.println(36 - 11);,25,22,19,30,A) 25,"In Java, 36 - 11 evaluates to 25.",Java,Data Types
What is the output of: System.out.println(21 * 49);,842,1222,926,1029,D) 1029,"In Java, 21 * 49 evaluates to 1029.",Java,Data Types
What is the output of: System.out.println(53 == 37);,error,false,true,null,B) false,53 == 37 evaluates to false.,Java,Conditions
What is the output of: System.out.println(49 / 22);,1,2,4,3,B) 2,"In Java, 49 / 22 evaluates to 2 (integer division truncates the decimal part).",Java,Data Types
What is the output of: System.out.println(83 < 3);,null,error,true,false,D) false,83 < 3 evaluates to false.,Java,Conditions
What is the output of: System.out.println(54 == 57);,null,false,error,true,B) false,54 == 57 evaluates to false.,Java,Conditions
What is the output of: System.out.println(89 <= 99);,false,true,null,error,B) true,89 <= 99 evaluates to true.,Java,Conditions
What is the output of: System.out.println(18 > 38);,error,false,null,true,B) false,18 > 38 evaluates to false.,Java,Conditions
What is the output of: System.out.println(50 + 40);,90,79,98,86,A) 90,"In Java, 50 + 40 evaluates to 90.",Java,Data Types
What is the output of: System.out.println(35 * 15);,525,469,547,543,A) 525,"In Java, 35 * 15 evaluates to 525.",Java,Data Types
What is the output of: System.out.println(88 == 53);,null,false,error,true,B) false,88 == 53 evaluates to false.,Java,Conditions
What is the output of: System.out.println(79 < 39);,false,true,error,null,A) false,79 < 39 evaluates to false.,Java,Conditions
What is the output of: System.out.println(19 + 49);,61,85,68,53,C) 68,"In Java, 19 + 49 evaluates to 68.",Java,Data Types
What is the output of: System.out.println(46 / 42);,1,-1,0,2,A) 1,"In Java, 46 / 42 evaluates to 1 (integer division truncates the decimal part).",Java,Data Types
What is the output of: System.out.println(48 % 13);,13,7,11,9,D) 9,"In Java, 48 % 13 evaluates to 9.",Java,Data Types
What is the output of: System.out.println(79 >= 38);,null,error,false,true,D) true,79 >= 38 evaluates to true.,Java,Conditions
What is the output of: System.out.println(21 / 6);,1,3,2,5,B) 3,"In Java, 21 / 6 evaluates to 3 (integer division truncates the decimal part).",Java,Data Types
What is the output of: System.out.println(39 * 27);,862,939,1053,1109,C) 1053,"In Java, 39 * 27 evaluates to 1053.",Java,Data Types
What is the output of: System.out.println(30 + 12);,51,46,47,42,D) 42,"In Java, 30 + 12 evaluates to 42.",Java,Data Types
What is the output of: System.out.println(48 - 20);,33,28,20,34,B) 28,"In Java, 48 - 20 evaluates to 28.",Java,Data Types
What is the output of: System.out.println(12 % 9);,5,3,4,1,B) 3,"In Java, 12 % 9 evaluates to 3.",Java,Data Types
What is the output of: System.out.println(88 == 79);,true,error,null,false,D) false,88 == 79 evaluates to false.,Java,Conditions
What is the output of: System.out.println(53 <= 63);,false,error,null,true,D) true,53 <= 63 evaluates to true.,Java,Conditions
What is the output of: System.out.println(22 >= 84);,null,false,error,true,B) false,22 >= 84 evaluates to false.,Java,Conditions
