Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is 362.4 - 191.98?,170.42,178.84,169.12,173.4,A) 170.42,362.4 - 191.98 = 170.42.,Math,Decimals
"If 8x + 65 = 449, what is the value of x?",53,50,51,48,D) 48,8x + 65 = 449 → 8x = 384 → x = 384 ÷ 8 = 48.,Math,Algebra
What is 328.6 + 452.82?,785.42,788.04,779.03,781.42,D) 781.42,328.6 + 452.82 = 781.42.,Math,Decimals
"If 4x + 47 = 195, what is the value of x?",42,37,43,33,B) 37,4x + 47 = 195 → 4x = 148 → x = 148 ÷ 4 = 37.,Math,Algebra
"What is the average of 29, 155, 117, 90, 135, 86?",112,109,98,102,D) 102,Sum = 612. Average = 612 ÷ 6 = 102.,Math,Averages
What is 7607 + 8276?,14069,14444,15812,15883,D) 15883,7607 + 8276 = 15883.,Math,Basic Math
Is 8395 an even or odd number?,Neither,Both,Odd,Even,C) Odd,"8395 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
What is 98 + 5554?,5652,5756,6167,6253,A) 5652,98 + 5554 = 5652.,Math,Basic Math
A number multiplied by 5 gives 385. What is the number?,70,79,77,82,C) 77,Let the number be x. 5x = 385 → x = 385 ÷ 5 = 77.,Math,Equations
What is 792 ÷ 22?,33,45,28,36,D) 36,"792 ÷ 22 = 36, since 22 × 36 = 792.",Math,Basic Math
"What is the average of 22, 134, 44, 147, 185, 194?",100,110,121,117,C) 121,Sum = 726. Average = 726 ÷ 6 = 121.,Math,Averages
₹96 is divided between two people in the ratio 5:7. What is the first person's share?,45,40,46,35,B) 40,Total parts = 5+7 = 12. One part = 96÷12 = 8. First share = 5×8 = 40.,Math,Ratios
"What is the average of 16, 136, 190, 98?",102,121,110,114,C) 110,Sum = 440. Average = 440 ÷ 4 = 110.,Math,Averages
Is 7345 an even or odd number?,Odd,Even,Neither,Both,A) Odd,"7345 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
"What is the average of 193, 34, 111, 131, 165, 62?",125,103,116,115,C) 116,Sum = 696. Average = 696 ÷ 6 = 116.,Math,Averages
What is 40 × 5?,188,200,187,182,B) 200,40 × 5 = 200.,Math,Basic Math
What is 1183 ÷ 13?,89,91,109,112,B) 91,"1183 ÷ 13 = 91, since 13 × 91 = 1183.",Math,Basic Math
"What is the average of 152, 173, 162, 89, 54?",108,116,130,126,D) 126,Sum = 630. Average = 630 ÷ 5 = 126.,Math,Averages
"If 15x + 16 = 91, what is the value of x?",1,2,11,5,D) 5,15x + 16 = 91 → 15x = 75 → x = 75 ÷ 15 = 5.,Math,Algebra
What is 197.03 - 21.54?,181.27,178.28,175.49,173.94,C) 175.49,197.03 - 21.54 = 175.49.,Math,Decimals
"If 14x + 26 = 96, what is the value of x?",5,11,12,8,A) 5,14x + 26 = 96 → 14x = 70 → x = 70 ÷ 14 = 5.,Math,Algebra
What is 152.48 + 180.85?,338.75,329.44,333.33,335.4,C) 333.33,152.48 + 180.85 = 333.33.,Math,Decimals
"If 15x + 6 = 726, what is the value of x?",56,40,48,52,C) 48,15x + 6 = 726 → 15x = 720 → x = 720 ÷ 15 = 48.,Math,Algebra
"What is the average of 141, 81, 154, 193, 161, 152?",130,153,133,147,D) 147,Sum = 882. Average = 882 ÷ 6 = 147.,Math,Averages
What is 8564 - 4110?,4451,4454,4566,4512,B) 4454,8564 - 4110 = 4454.,Math,Basic Math
"What is the average of 37, 42, 53?",46,37,48,44,D) 44,Sum = 132. Average = 132 ÷ 3 = 44.,Math,Averages
Is 21 a prime number?,Cannot be determined,No,Yes,Only for even numbers,B) No,"21 is divisible by 3, so it is not a prime number.",Math,Number System
What is 6/8 + 3/8 in simplest form?,10/8,9/8,9/8,8/8,B) 9/8,"6/8 + 3/8 = 9/8, which simplifies to 9/8.",Math,Fractions
What is 2/9 + 5/9 in simplest form?,6/9,7/9,7/9,8/9,B) 7/9,"2/9 + 5/9 = 7/9, which simplifies to 7/9.",Math,Fractions
What is 7/12 + 10/12 in simplest form?,16/12,18/12,17/12,17/12,C) 17/12,"7/12 + 10/12 = 17/12, which simplifies to 17/12.",Math,Fractions
₹35 is divided between two people in the ratio 2:5. What is the first person's share?,11,10,8,12,B) 10,Total parts = 2+5 = 7. One part = 35÷7 = 5. First share = 2×5 = 10.,Math,Ratios
What is 9 × 26?,250,229,234,212,C) 234,9 × 26 = 234.,Math,Basic Math
What is 8668 - 6584?,2271,2296,2084,2199,C) 2084,8668 - 6584 = 2084.,Math,Basic Math
Is 259 a prime number?,No,Only for even numbers,Yes,Cannot be determined,A) No,"259 is divisible by 7, so it is not a prime number.",Math,Number System
What is 109.28 + 313.45?,432.19,422.73,420.54,427.34,B) 422.73,109.28 + 313.45 = 422.73.,Math,Decimals
₹55 is divided between two people in the ratio 5:6. What is the first person's share?,25,26,20,31,A) 25,Total parts = 5+6 = 11. One part = 55÷11 = 5. First share = 5×5 = 25.,Math,Ratios
"If 15x + 73 = 613, what is the value of x?",33,29,42,36,D) 36,15x + 73 = 613 → 15x = 540 → x = 540 ÷ 15 = 36.,Math,Algebra
What is 18/20 + 2/20 in simplest form?,1,2,1,20/20,A) 1,"18/20 + 2/20 = 20/20, which simplifies to 1.",Math,Fractions
