Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Find the next number in the series: 335, 339, 335, 339, 335, ?",341,344,336,339,D) 339,"The series alternates between 335 and 339. Since the last number is 335, the next number = 339.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 566, 568, 570, 572, 574, ?",576,580,572,574,A) 576,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 574 + 2 = 576.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1194 and two of its numbers are 367 and 370, what is the third number?",440,457,397,482,B) 457,"Since the row total is 1194, the third number = 1194 - 367 - 370 = 457.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 564 and two of its numbers are 160 and 178, what is the third number?",226,182,268,193,A) 226,"Since the row total is 564, the third number = 564 - 160 - 178 = 226.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 949 and two of its numbers are 312 and 313, what is the third number?",355,290,318,324,D) 324,"Since the row total is 949, the third number = 949 - 312 - 313 = 324.",Number Puzzles,Magic Squares
"Find the next number in the series: 391, 90, 391, 90, 391, ?",95,94,90,89,C) 90,"The series alternates between 391 and 90. Since the last number is 391, the next number = 90.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 2722?,Neither prime nor composite,Prime number,Composite number,Both prime and composite,C) Composite number,"2722 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 1328?,Neither prime nor composite,Prime number,Both prime and composite,Composite number,D) Composite number,"1328 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the missing number in the series: 20, 25, 30, ?, 40.",40,35,36,31,B) 35,"The series increases by 5 each time, so the missing number = 30 + 5 = 35.",Number Puzzles,Missing Numbers
"Find the next number in the series: 654, 656, 658, 660, 662, ?",667,661,664,665,C) 664,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 662 + 2 = 664.",Number Puzzles,Odd & Even
