Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is the capital of India?,New Delhi,Chennai,Mumbai,Kolkata,A) New Delhi,"New Delhi is the capital of India, seat of the central government.",General Knowledge (GK),India GK
Who won the first Cricket World Cup in 1975?,England,West Indies,Australia,India,B) West Indies,"The West Indies won the inaugural Cricket World Cup in 1975, defeating Australia in the final.",General Knowledge (GK),Sports GK
Which is the longest river in the world?,The Yangtze,The Nile,The Amazon,The Ganges,B) The Nile,The Nile River in Africa is generally regarded as the longest river in the world.,General Knowledge (GK),Geography GK
Which is the smallest continent?,Australia (Oceania),Europe,South America,Antarctica,A) Australia (Oceania),Australia (as part of Oceania) is generally considered the smallest continent by land area.,General Knowledge (GK),Geography GK
What is the highest mountain in the world?,Denali,Kangchenjunga,K2,Mount Everest,D) Mount Everest,"Mount Everest, on the border of Nepal and China (Tibet), is the highest mountain above sea level.",General Knowledge (GK),Geography GK
What is the currency of Japan?,Yuan,Won,Yen,Ringgit,C) Yen,The official currency of Japan is the Japanese Yen.,General Knowledge (GK),World GK
Which day is celebrated as World Environment Day?,June 5,March 22,September 16,April 22,A) June 5,World Environment Day is observed annually on June 5.,General Knowledge (GK),Important Days
What does UNESCO stand for?,United Nations Economic and Social Council,"United Nations Educational, Scientific and Cultural Organization",United Nations Environmental and Scientific Organization,United Nations Educational and Security Organization,"B) United Nations Educational, Scientific and Cultural Organization","UNESCO stands for the United Nations Educational, Scientific and Cultural Organization.",General Knowledge (GK),Organizations
What is the capital of Australia?,Perth,Sydney,Melbourne,Canberra,D) Canberra,"Canberra, not Sydney, is the capital city of Australia.",General Knowledge (GK),World GK
Which is the fastest land animal?,The cheetah,The horse,The lion,The gazelle,A) The cheetah,"The cheetah is the fastest land animal, capable of speeds up to 100-120 km/h in short bursts.",General Knowledge (GK),World GK
Which sporting event is held every four years and features athletes from around the world in various sports?,The Asian Games,The Olympic Games,The World Cup,The Commonwealth Games,B) The Olympic Games,"The Olympic Games, held every four years, bring together athletes from around the world across many different sports.",General Knowledge (GK),Sports GK
"Which is the largest desert in the world (by area, including cold deserts)?",The Gobi Desert,The Arabian Desert,The Antarctic Desert,The Sahara Desert,C) The Antarctic Desert,"The Antarctic Desert is technically the largest desert in the world, as deserts are classified by low precipitation.",General Knowledge (GK),Geography GK
On which date is International Yoga Day observed?,December 10,October 2,April 7,June 21,D) June 21,International Yoga Day is observed annually on June 21.,General Knowledge (GK),Important Days
Which is the largest mammal in the world?,The African elephant,The hippopotamus,The giraffe,The blue whale,D) The blue whale,"The blue whale is the largest mammal, and indeed the largest animal, ever known to have existed.",General Knowledge (GK),World GK
Which city is known as the 'Silicon Valley of India'?,Bengaluru,Hyderabad,Mumbai,Pune,A) Bengaluru,Bengaluru is widely known as the 'Silicon Valley of India' due to its major IT industry presence.,General Knowledge (GK),India GK
How many continents are there on Earth?,Five,Six,Eight,Seven,D) Seven,"Earth is commonly divided into seven continents: Asia, Africa, North America, South America, Antarctica, Europe, and Australia.",General Knowledge (GK),Geography GK
Which organization awards the Nobel Prize?,UNESCO,The United Nations,The Nobel Foundation (based in Sweden and Norway),The International Olympic Committee,C) The Nobel Foundation (based in Sweden and Norway),"The Nobel Prizes are awarded by institutions in Sweden and Norway, coordinated by the Nobel Foundation.",General Knowledge (GK),Awards
Which is the largest continent by area?,North America,Africa,Asia,Europe,C) Asia,Asia is the largest continent both by area and population.,General Knowledge (GK),Geography GK
What is India's national animal?,The Indian elephant,The Bengal tiger,The Asiatic lion,The Indian leopard,B) The Bengal tiger,The Bengal tiger is officially recognized as India's national animal.,General Knowledge (GK),India GK
Who wrote India's national anthem?,Mahatma Gandhi,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,C) Rabindranath Tagore,"Rabindranath Tagore composed 'Jana Gana Mana', which became India's national anthem.",General Knowledge (GK),History GK
What is the national flower of India?,The marigold,The lotus,The rose,The sunflower,B) The lotus,"The lotus is recognized as India's national flower, symbolizing purity in Indian culture.",General Knowledge (GK),India GK
What is the national bird of India?,The eagle,The crow,The peacock,The parrot,C) The peacock,"The peacock is India's national bird, known for its vibrant, colorful plumage.",General Knowledge (GK),India GK
Which country has the largest population in the world (as of the early-to-mid 2020s)?,United States,India,Indonesia,China,B) India,India surpassed China to become the most populous country in the world around 2023.,General Knowledge (GK),World GK
