Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is Machine Learning?,An unsupervised learning technique that groups similar data points,A field of AI where systems learn patterns from data rather than explicit programming,The proportion of positive predictions that are actually correct,A type of ML where an agent learns by receiving rewards or penalties,B) A field of AI where systems learn patterns from data rather than explicit programming,Machine Learning (ML) is a field of AI in which systems learn patterns from data instead of following explicitly programmed rules.,Machine Learning (ML),ML Basics
Which of the following best describes Machine Learning?,A clustering algorithm that groups data into a specified number of clusters,A field of AI where systems learn patterns from data rather than explicit programming,An individual measurable input variable used by a model,An optimization algorithm used to minimize a model's error,B) A field of AI where systems learn patterns from data rather than explicit programming,Machine Learning (ML) is a field of AI in which systems learn patterns from data instead of following explicitly programmed rules.,Machine Learning (ML),ML Basics
What is supervised learning?,A type of ML where a model learns from labeled data,An ensemble model made up of many decision trees,A clustering algorithm that groups data into a specified number of clusters,A supervised learning task that predicts a continuous numerical value,A) A type of ML where a model learns from labeled data,"Supervised learning trains a model using labeled data, where each input has a known, correct output.",Machine Learning (ML),Supervised Learning
Which of the following best describes supervised learning?,A type of ML where a model learns from labeled data,The known correct output associated with a training example,An optimization algorithm used to minimize a model's error,A regression technique that models a linear relationship between variables,A) A type of ML where a model learns from labeled data,"Supervised learning trains a model using labeled data, where each input has a known, correct output.",Machine Learning (ML),Supervised Learning
What is unsupervised learning?,A field of AI where systems learn patterns from data rather than explicit programming,A type of ML where a model finds patterns in unlabeled data,The known correct output associated with a training example,The data used to teach a machine learning model,B) A type of ML where a model finds patterns in unlabeled data,Unsupervised learning finds hidden patterns or structures in data that has no labeled outcomes.,Machine Learning (ML),Unsupervised Learning
Which of the following best describes unsupervised learning?,When a model is too simple to capture patterns in the data,A type of ML where an agent learns by receiving rewards or penalties,A type of ML where a model finds patterns in unlabeled data,One complete pass through the entire training dataset,C) A type of ML where a model finds patterns in unlabeled data,Unsupervised learning finds hidden patterns or structures in data that has no labeled outcomes.,Machine Learning (ML),Unsupervised Learning
What is reinforcement learning?,A measure of how often a model's predictions are correct,When a model is too simple to capture patterns in the data,A type of ML where an agent learns by receiving rewards or penalties,A layered model of interconnected nodes inspired by the brain,C) A type of ML where an agent learns by receiving rewards or penalties,Reinforcement learning trains an agent to make decisions by rewarding desired actions and penalizing undesired ones.,Machine Learning (ML),Reinforcement Learning
Which of the following best describes reinforcement learning?,An individual measurable input variable used by a model,One complete pass through the entire training dataset,An ensemble model made up of many decision trees,A type of ML where an agent learns by receiving rewards or penalties,D) A type of ML where an agent learns by receiving rewards or penalties,Reinforcement learning trains an agent to make decisions by rewarding desired actions and penalizing undesired ones.,Machine Learning (ML),Reinforcement Learning
What is classification?,A supervised learning task that predicts a category or class,A field of AI where systems learn patterns from data rather than explicit programming,"Data used to tune a model during training, separate from the test set",When a model performs well on training data but poorly on new data,A) A supervised learning task that predicts a category or class,Classification is a supervised learning task where the model predicts which category or class an input belongs to.,Machine Learning (ML),Classification
