Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is an operating system?,System software that manages computer hardware and software resources,The OS function that controls and coordinates computer memory,The mobile operating system developed by Apple for iPhones,A release that fixes bugs or security issues in an operating system,A) System software that manages computer hardware and software resources,"An operating system manages a computer's hardware and software resources, providing services for programs to run.",Operating Systems,OS Basics
Which of the following best describes an operating system?,Measures taken by an operating system to protect data and prevent unauthorized access,System software that manages computer hardware and software resources,A text-based way of interacting with an operating system,A release that fixes bugs or security issues in an operating system,B) System software that manages computer hardware and software resources,"An operating system manages a computer's hardware and software resources, providing services for programs to run.",Operating Systems,OS Basics
What is Windows?,A text-based way of interacting with an operating system,"An open-source, Unix-like operating system kernel",A widely used graphical operating system developed by Microsoft,A visual way of interacting with an OS using icons and windows,C) A widely used graphical operating system developed by Microsoft,"Windows is a graphical operating system developed by Microsoft, widely used on personal computers.",Operating Systems,Windows
Which of the following best describes Windows?,The ability of an OS to run multiple processes at the same time,A widely used graphical operating system developed by Microsoft,"An open-source, Unix-like operating system kernel",Measures taken by an operating system to protect data and prevent unauthorized access,B) A widely used graphical operating system developed by Microsoft,"Windows is a graphical operating system developed by Microsoft, widely used on personal computers.",Operating Systems,Windows
What is Linux?,"An open-source, Unix-like operating system kernel",A widely used graphical operating system developed by Microsoft,"A mobile operating system based on the Linux kernel, developed by Google",A memory management technique that uses disk space to extend RAM,"A) An open-source, Unix-like operating system kernel","Linux is a free, open-source, Unix-like operating system kernel used in many distributions like Ubuntu and Fedora.",Operating Systems,Linux
Which of the following best describes Linux?,A memory management technique that uses disk space to extend RAM,"An open-source, Unix-like operating system kernel",System software that manages computer hardware and software resources,A release that fixes bugs or security issues in an operating system,"B) An open-source, Unix-like operating system kernel","Linux is a free, open-source, Unix-like operating system kernel used in many distributions like Ubuntu and Fedora.",Operating Systems,Linux
What is macOS?,The operating system developed by Apple for Mac computers,The process of starting up a computer and loading the operating system,Moving processes between main memory and disk storage to manage memory,The method an OS uses to organize and store files on storage devices,A) The operating system developed by Apple for Mac computers,macOS is the operating system developed by Apple specifically for its line of Mac computers.,Operating Systems,macOS
Which of the following best describes macOS?,A text-based way of interacting with an operating system,The core part of an OS that manages hardware and system resources,The operating system developed by Apple for Mac computers,A release that fixes bugs or security issues in an operating system,C) The operating system developed by Apple for Mac computers,macOS is the operating system developed by Apple specifically for its line of Mac computers.,Operating Systems,macOS
What is Android?,A memory management technique that uses disk space to extend RAM,A release that fixes bugs or security issues in an operating system,"A mobile operating system based on the Linux kernel, developed by Google","An open-source, Unix-like operating system kernel","C) A mobile operating system based on the Linux kernel, developed by Google","Android is a mobile operating system based on the Linux kernel, developed primarily by Google.",Operating Systems,Android
Which of the following best describes Android?,A release that fixes bugs or security issues in an operating system,The OS function that controls and coordinates computer memory,A profile that allows individual access and personalization on a shared system,"A mobile operating system based on the Linux kernel, developed by Google","D) A mobile operating system based on the Linux kernel, developed by Google","Android is a mobile operating system based on the Linux kernel, developed primarily by Google.",Operating Systems,Android
What is iOS?,The mobile operating system developed by Apple for iPhones,The process of starting up a computer and loading the operating system,Moving processes between main memory and disk storage to manage memory,The smallest unit of execution within a process,A) The mobile operating system developed by Apple for iPhones,iOS is the mobile operating system developed by Apple exclusively for iPhone devices.,Operating Systems,iOS
Which of the following best describes iOS?,The OS function that controls and coordinates computer memory,The mobile operating system developed by Apple for iPhones,Moving processes between main memory and disk storage to manage memory,A file system used by Windows for organizing data on drives,B) The mobile operating system developed by Apple for iPhones,iOS is the mobile operating system developed by Apple exclusively for iPhone devices.,Operating Systems,iOS
What is a file system?,The method an OS uses to decide which process runs at a given time,"A mobile operating system based on the Linux kernel, developed by Google",System software that manages computer hardware and software resources,The method an OS uses to organize and store files on storage devices,D) The method an OS uses to organize and store files on storage devices,"A file system is the method an operating system uses to name, store, organize, and retrieve files on a storage device.",Operating Systems,File Systems
Which of the following best describes a file system?,A program that is currently being executed by the CPU,The core part of an OS that manages hardware and system resources,A visual way of interacting with an OS using icons and windows,The method an OS uses to organize and store files on storage devices,D) The method an OS uses to organize and store files on storage devices,"A file system is the method an operating system uses to name, store, organize, and retrieve files on a storage device.",Operating Systems,File Systems
What is NTFS?,A file system used by Windows for organizing data on drives,The process of starting up a computer and loading the operating system,Software that lets the OS communicate with a specific piece of hardware,Measures taken by an operating system to protect data and prevent unauthorized access,A) A file system used by Windows for organizing data on drives,NTFS (New Technology File System) is the primary file system used by Windows to organize data on hard drives.,Operating Systems,File Systems
Which of the following best describes NTFS?,A memory management technique that uses disk space to extend RAM,"A mobile operating system based on the Linux kernel, developed by Google",A visual way of interacting with an OS using icons and windows,A file system used by Windows for organizing data on drives,D) A file system used by Windows for organizing data on drives,NTFS (New Technology File System) is the primary file system used by Windows to organize data on hard drives.,Operating Systems,File Systems
What is a process (in OS)?,A program that is currently being executed by the CPU,The method an OS uses to decide which process runs at a given time,A memory management technique that uses disk space to extend RAM,The core part of an OS that manages hardware and system resources,A) A program that is currently being executed by the CPU,A process is an instance of a program that is currently being executed by the operating system.,Operating Systems,Processes
Which of the following best describes a process (in OS)?,A visual way of interacting with an OS using icons and windows,A program that is currently being executed by the CPU,A memory management technique that uses disk space to extend RAM,A profile that allows individual access and personalization on a shared system,B) A program that is currently being executed by the CPU,A process is an instance of a program that is currently being executed by the operating system.,Operating Systems,Processes
