Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Who built the Taj Mahal?,Akbar,Aurangzeb,Babur,Shah Jahan,D) Shah Jahan,The Mughal emperor Shah Jahan commissioned the Taj Mahal in memory of his wife Mumtaz Mahal.,History,Medieval History
What was the Battle of Plassey (1757)?,A naval battle in the Indian Ocean,A war between the Mughals and Marathas,A war of Indian independence,A battle that established British control over Bengal,D) A battle that established British control over Bengal,"The Battle of Plassey in 1757 saw the British East India Company defeat the Nawab of Bengal, marking the start of British colonial control in India.",History,Historical Events
Who wrote the Arthashastra?,Chanakya,Banabhatta,Kalidasa,Tulsidas,A) Chanakya,"Chanakya (Kautilya), advisor to Chandragupta Maurya, wrote the Arthashastra, a treatise on statecraft.",History,Ancient History
Quiz question: Who was Akbar?,Founder of the Maratha Empire,A Mughal emperor known for religious tolerance,The British,A Macedonian king who built one of history's largest empires,B) A Mughal emperor known for religious tolerance,Akbar was a Mughal emperor known for his policy of religious tolerance and administrative reforms.,History,Medieval History
Which option correctly answers this: Who was the first woman to become Prime Minister of India?,Indira Gandhi,The founder of the Mongol Empire,The Sepoy Mutiny of 1857,1947,A) Indira Gandhi,"Indira Gandhi became India's first female Prime Minister, first taking office in 1966.",History,Indian History
Choose the correct answer: Who was Akbar?,Conflict between the British East India Company and the Kingdom of Mysore,A Mughal emperor known for religious tolerance,Babur,A powerful king who ruled northern India in the 7th century,B) A Mughal emperor known for religious tolerance,Akbar was a Mughal emperor known for his policy of religious tolerance and administrative reforms.,History,Medieval History
Which option correctly answers this: Who gave the slogan 'Do or Die' during the Quit India Movement?,A Mughal emperor known for religious tolerance,Mahatma Gandhi,An administrative decision by Lord Curzon,To resist unjust British laws through non-violent means,B) Mahatma Gandhi,Gandhi gave the 'Do or Die' call during his Quit India speech in August 1942.,History,Freedom Movement
Choose the correct answer: Who founded the Mughal Empire in India?,Babur,The Sepoy Mutiny of 1857,Chandragupta Maurya,A period of cultural rebirth in Europe starting around the 14th century,A) Babur,Babur founded the Mughal Empire in India after defeating Ibrahim Lodi at the First Battle of Panipat in 1526.,History,Medieval History
Quiz question: Who founded the Mughal Empire in India?,"A complex mix of alliances, militarism, and the assassination of Archduke Franz Ferdinand",Babur,Lord Mountbatten,Conflict between the British East India Company and the Kingdom of Mysore,B) Babur,Babur founded the Mughal Empire in India after defeating Ibrahim Lodi at the First Battle of Panipat in 1526.,History,Medieval History
"Which option correctly answers this: Which year did the Berlin Wall fall, symbolizing the end of the Cold War divide?",King Narasimhadeva I of the Eastern Ganga dynasty,To resist unjust British laws through non-violent means,1989,Bahadur Shah Zafar,C) 1989,"The Berlin Wall fell in 1989, becoming a powerful symbol of the end of Cold War divisions in Europe.",History,World History
"Which option correctly answers this: What ancient trade route connected China to the Mediterranean, passing through Central Asia?",A freedom fighter who founded the Indian National Army,A battle that established British control over Bengal,A 1215 charter limiting the power of the English king,The Silk Road,D) The Silk Road,The Silk Road was an ancient network of trade routes connecting China to the Mediterranean through Central Asia.,History,World History
Choose the correct answer: Which empire built the Red Fort in Delhi?,Rajendra Prasad,The Sepoy Mutiny of 1857,A powerful king who ruled northern India in the 7th century,The Mughal Empire,D) The Mughal Empire,The Red Fort was built by Mughal emperor Shah Jahan in the 17th century as his palace fortress.,History,Empires
What was the French Revolution?,A period of major political and social upheaval in France starting in 1789,The Mughal Empire,1947,Founder of the Maratha Empire,A) A period of major political and social upheaval in France starting in 1789,"The French Revolution, beginning in 1789, was a period of radical political and social change that ended the French monarchy.",History,World History
