Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Choose the correct answer: Who is credited with formulating the laws of motion and universal gravitation?,Rachel Carson,Alan Turing,Vikram Sarabhai,Isaac Newton,D) Isaac Newton,"Sir Isaac Newton formulated the laws of motion and the law of universal gravitation, foundational to classical physics.",Scientists,Physicists
Choose the correct answer: Who is known for pioneering contributions to genetics through experiments with pea plants?,James Watson,Homi J. Bhabha,Louis Pasteur,Gregor Mendel,D) Gregor Mendel,Gregor Mendel conducted pioneering experiments with pea plants that laid the foundation for the modern science of genetics.,Scientists,Biologists
"Which option correctly answers this: Who is credited as a pioneer of rocketry and space science in India, associated with early sounding rocket launches?",C. V. Raman,Vikram Sarabhai,Alexander Graham Bell,Charles Darwin,B) Vikram Sarabhai,"Vikram Sarabhai pioneered India's early rocketry and space science efforts, leading to the founding of ISRO.",Scientists,Space Scientists
Quiz question: Who is known as the father of the Indian space programme?,Albert Einstein,Vikram Sarabhai,Marie Curie,Edward Jenner,B) Vikram Sarabhai,"Vikram Sarabhai is widely regarded as the father of the Indian space programme, founding what became ISRO.",Scientists,Indian Scientists
Which option correctly answers this: Who developed the heliocentric model placing the Sun at the center of the Solar System?,Nicolaus Copernicus,Jagadish Chandra Bose,Marie Curie,James Watt,A) Nicolaus Copernicus,"Nicolaus Copernicus proposed the heliocentric model, which placed the Sun, rather than the Earth, at the center of the Solar System.",Scientists,Astronomers
"Choose the correct answer: Who is regarded as a founding figure of modern computer science, known for his work on computation and code-breaking during WWII?",Isaac Newton,James Watt,Homi J. Bhabha,Alan Turing,D) Alan Turing,"Alan Turing is regarded as a founding figure of computer science, known for his theoretical work and code-breaking during World War II.",Scientists,Computer Scientists
"Who is known for pioneering research in electricity and magnetism, with the SI unit of capacitance named after him?",Tim Berners-Lee,Michael Faraday,Homi J. Bhabha,Aryabhata,B) Michael Faraday,"Michael Faraday made pioneering contributions to the study of electromagnetism, and the SI unit of capacitance, the farad, is named after him.",Scientists,Physicists
"Choose the correct answer: Who is known for environmental scientific contributions and advocacy that led to a global ban on the pesticide DDT, through her writing?",Charles Darwin,Nicolaus Copernicus,Rachel Carson,Marie Curie,C) Rachel Carson,"Rachel Carson's writing, particularly 'Silent Spring', raised awareness about pesticide dangers and contributed to environmental policy changes, including DDT restrictions.",Scientists,Environmental Scientists
Which option correctly answers this: Who discovered penicillin?,Rachel Carson,Alan Turing,Albert Einstein,Alexander Fleming,D) Alexander Fleming,"Alexander Fleming discovered penicillin in 1928, leading to the development of antibiotics.",Scientists,Medical Scientists
Who developed the theory of general relativity?,C. V. Raman,Albert Einstein,Rachel Carson,Alan Turing,B) Albert Einstein,"Albert Einstein developed the theory of general relativity, revolutionizing the understanding of gravity, space, and time.",Scientists,World Scientists
Quiz question: Who discovered penicillin?,Alfred Wegener,Charles Darwin,Louis Pasteur,Alexander Fleming,D) Alexander Fleming,"Alexander Fleming discovered penicillin in 1928, leading to the development of antibiotics.",Scientists,Medical Scientists
Who developed the first successful vaccine against rabies?,Louis Pasteur,Galileo Galilei,Nicolaus Copernicus,Michael Faraday,A) Louis Pasteur,"Louis Pasteur developed the first successful vaccine against rabies, among his many other contributions to microbiology.",Scientists,Medical Scientists
Which option correctly answers this: Who is known as the father of the Indian space programme?,Jonas Salk,Vikram Sarabhai,Nicolaus Copernicus,Dmitri Mendeleev,B) Vikram Sarabhai,"Vikram Sarabhai is widely regarded as the father of the Indian space programme, founding what became ISRO.",Scientists,Indian Scientists
Choose the correct answer: Who developed the theory of general relativity?,Albert Einstein,Alan Turing,Alexander Fleming,Charles Darwin,A) Albert Einstein,"Albert Einstein developed the theory of general relativity, revolutionizing the understanding of gravity, space, and time.",Scientists,World Scientists
"Choose the correct answer: Who was the first woman to win a Nobel Prize, and the only person to win Nobel Prizes in two different sciences?",Edward Jenner,Vikram Sarabhai,Marie Curie,Homi J. Bhabha,C) Marie Curie,Marie Curie was the first woman to win a Nobel Prize and remains the only person to win Nobel Prizes in two different scientific fields.,Scientists,Nobel Prize Scientists
"Who is credited with discovering the structure of DNA, along with Francis Crick?",James Watson,Marie Curie (along with Pierre Curie and Henri Becquerel),Rachel Carson,Edward Jenner,A) James Watson,"James Watson, along with Francis Crick, is credited with discovering the double-helix structure of DNA in 1953.",Scientists,Biologists
