Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Which option correctly answers this: What runs all around a backyard, yet never moves?",A fence,180 degrees,Short,A clock,A) A fence,A fence runs around the perimeter of a backyard but stays fixed in place.,Brain Teasers,Riddles
Which option correctly answers this: A room has 4 corners; one cat sits in each corner. How many cats are there in total?,An envelope,4,A fence,The letter M,B) 4,"There are 4 corners, and one cat sits in each, so there are 4 cats total.",Brain Teasers,Observation
"What comes once in a minute, twice in a moment, but never in a thousand years?",The letter M,Seven,4,Second,A) The letter M,"The letter 'M' appears once in 'minute', twice in 'moment', but not at all in 'thousand years'.",Brain Teasers,Word Teasers
A clock shows 6:00. What is the angle between the hour and minute hands?,Second,4,All the people on the boat are married (no single people),180 degrees,D) 180 degrees,"At 6:00, the hour and minute hands point in opposite directions, forming a straight line of 180 degrees.",Brain Teasers,Mathematical Teasers
What travels around the world but stays in one corner?,Seven,A towel,A stamp,Wednesday,C) A stamp,"A postage stamp travels around the world on letters, yet stays fixed in the corner of the envelope.",Brain Teasers,Riddles
"Quiz question: A basket has 6 apples, and 6 children each take one apple, yet one apple remains in the basket. How is this possible?",Second,The last child took the basket along with their apple,A bottle,All the people on the boat are married (no single people),B) The last child took the basket along with their apple,"The last child took their apple together with the basket, leaving one apple still inside the basket they carried away.",Brain Teasers,Lateral Thinking
Quiz question: What has keys but cannot open locks?,All the people on the boat are married (no single people),A towel,A piano,Second,C) A piano,"A piano has keys (its keyboard keys) that make music, not keys that open locks.",Brain Teasers,Logic Teasers
"Two coins add up to 30 cents, and one of them is not a nickel. What are the two coins?",His son,All the people on the boat are married (no single people),A quarter and a nickel,Second,C) A quarter and a nickel,"One coin is a quarter (25 cents) and the other is a nickel (5 cents); the quarter, not the nickel, is 'not a nickel'.",Brain Teasers,Detective Teasers
Choose the correct answer: What has one eye but cannot see?,Short,Wednesday,3,A needle,D) A needle,A needle has an 'eye' (the hole for thread) but cannot see.,Brain Teasers,Riddles
Which option correctly answers this: What gets wetter as it dries?,Short,A towel,A clock,Seven,B) A towel,A towel gets wetter as it absorbs moisture while drying something else.,Brain Teasers,Riddles
"A bus has 10 passengers; at the next stop, 3 get off and 5 get on. How many passengers are there now?",2,A piano,12,Wednesday,C) 12,"Starting with 10, subtract 3 who got off (7) and add 5 who got on, giving 12 passengers.",Brain Teasers,Mathematical Teasers
