Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is the peacock?,"India's national bird, known for its colorful fan-like tail",A large flightless bird native to Australia,A highly intelligent black bird found across most of the world,A flightless bird native to New Zealand with a long beak,"A) India's national bird, known for its colorful fan-like tail","The peacock is India's national bird, famous for the male's iridescent, fan-shaped tail feathers.",Birds,Indian Birds
Which of the following best describes the peacock?,"A large, graceful water bird often associated with elegance","A tropical bird known for its large, colorful beak","India's national bird, known for its colorful fan-like tail",A tiny bird known for its ability to hover and fly backward,"C) India's national bird, known for its colorful fan-like tail","The peacock is India's national bird, famous for the male's iridescent, fan-shaped tail feathers.",Birds,Indian Birds
What is the ostrich?,A bird known for laying its eggs in the nests of other bird species,"The largest living bird species, which is flightless",A common Indian bird known for its ability to mimic sounds,A flightless bird native to New Zealand with a long beak,"B) The largest living bird species, which is flightless","The ostrich is the largest living bird species, unable to fly but capable of running very fast.",Birds,Flightless Birds
Which of the following best describes the ostrich?,"The largest living bird species, which is flightless",A large seabird with one of the longest wingspans of any bird,A flightless bird native to New Zealand with a long beak,A bird that travels seasonally between breeding and non-breeding grounds,"A) The largest living bird species, which is flightless","The ostrich is the largest living bird species, unable to fly but capable of running very fast.",Birds,Flightless Birds
What is the penguin?,A bird that travels seasonally between breeding and non-breeding grounds,A bird known for pecking holes in tree trunks with its strong beak,"A tropical bird known for its large, colorful beak","A flightless bird adapted for swimming, found mostly in the Southern Hemisphere","D) A flightless bird adapted for swimming, found mostly in the Southern Hemisphere","The penguin is a flightless bird adapted for swimming, found mainly in the Southern Hemisphere, especially Antarctica.",Birds,Flightless Birds
Which of the following best describes the penguin?,"A tropical bird known for its large, colorful beak","A flightless bird adapted for swimming, found mostly in the Southern Hemisphere","India's national bird, known for its colorful fan-like tail",A bird known for pecking holes in tree trunks with its strong beak,"B) A flightless bird adapted for swimming, found mostly in the Southern Hemisphere","The penguin is a flightless bird adapted for swimming, found mainly in the Southern Hemisphere, especially Antarctica.",Birds,Flightless Birds
What is the bald eagle?,"India's national bird, known for its colorful fan-like tail",A large bird of prey and the national bird of the United States,A bird known for pecking holes in tree trunks with its strong beak,A large seabird with one of the longest wingspans of any bird,B) A large bird of prey and the national bird of the United States,The bald eagle is a large bird of prey known for its white head and is the national bird of the United States.,Birds,Birds of Prey
Which of the following best describes the bald eagle?,"A critically endangered bird found in India, known for its large size",A wading bird known for its pink feathers and long legs,A large water bird known for its distinctive throat pouch,A large bird of prey and the national bird of the United States,D) A large bird of prey and the national bird of the United States,The bald eagle is a large bird of prey known for its white head and is the national bird of the United States.,Birds,Birds of Prey
What is the owl?,A large bird of prey known for feeding on carrion (dead animals),A nocturnal bird of prey known for its ability to rotate its head widely,A large flightless bird native to Australia,A bird known for laying its eggs in the nests of other bird species,B) A nocturnal bird of prey known for its ability to rotate its head widely,"The owl is a nocturnal bird of prey, known for its silent flight and the ability to rotate its head up to 270 degrees.",Birds,Birds of Prey
Which of the following best describes the owl?,"The fastest bird, known for its high-speed diving hunting technique","India's national bird, known for its colorful fan-like tail",A large seabird with one of the longest wingspans of any bird,A nocturnal bird of prey known for its ability to rotate its head widely,D) A nocturnal bird of prey known for its ability to rotate its head widely,"The owl is a nocturnal bird of prey, known for its silent flight and the ability to rotate its head up to 270 degrees.",Birds,Birds of Prey
