Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is computer hardware?,An input device that converts physical documents into digital images,"The physical, tangible components of a computer","Basic Input/Output System, firmware that initializes hardware during startup",An output device that produces a physical copy of digital documents,"B) The physical, tangible components of a computer","Computer hardware refers to the physical components of a computer, such as the CPU, RAM, and monitor.",Hardware,Computer Components
Which of the following best describes computer hardware?,A networking device that directs data traffic between networks,A display that can also function as an input device via touch,A port used to transmit high-definition video and audio,"The physical, tangible components of a computer","D) The physical, tangible components of a computer","Computer hardware refers to the physical components of a computer, such as the CPU, RAM, and monitor.",Hardware,Computer Components
What is the CPU?,"Read-Only Memory, permanent memory that stores essential startup instructions",SSDs are faster than HDDs because they have no moving mechanical parts,An input device commonly used for gaming and simulations,"Central Processing Unit, the primary component that executes instructions","D) Central Processing Unit, the primary component that executes instructions",The CPU (Central Processing Unit) is the primary chip that executes instructions and performs calculations.,Hardware,CPU
Which of the following best describes the CPU?,"A drive that reads and writes data using CDs, DVDs, or Blu-ray discs","Central Processing Unit, the primary component that executes instructions",An output device that displays visual information,An output device that produces sound,"B) Central Processing Unit, the primary component that executes instructions",The CPU (Central Processing Unit) is the primary chip that executes instructions and performs calculations.,Hardware,CPU
What is a CPU core?,"A drive that reads and writes data using CDs, DVDs, or Blu-ray discs",An independent processing unit within a CPU,"Read-Only Memory, permanent memory that stores essential startup instructions",A networking device that directs data traffic between networks,B) An independent processing unit within a CPU,A CPU core is an independent processing unit within a CPU capable of executing instructions on its own.,Hardware,CPU
Which of the following best describes a CPU core?,An output device that produces a physical copy of digital documents,"Very fast, small-capacity memory located close to the CPU",An independent processing unit within a CPU,A storage device with no moving parts that uses flash memory,C) An independent processing unit within a CPU,A CPU core is an independent processing unit within a CPU capable of executing instructions on its own.,Hardware,CPU
What is clock speed?,"The rate at which a CPU executes instructions, measured in Hz","The physical, tangible components of a computer",A component that converts electrical power for use by computer parts,SSDs are faster than HDDs because they have no moving mechanical parts,"A) The rate at which a CPU executes instructions, measured in Hz","Clock speed measures how many cycles a CPU can perform per second, typically in gigahertz (GHz).",Hardware,CPU
Which of the following best describes clock speed?,A component that converts electrical power for use by computer parts,"The physical, tangible components of a computer","The rate at which a CPU executes instructions, measured in Hz",A type of printer that sprays tiny droplets of ink onto paper,"C) The rate at which a CPU executes instructions, measured in Hz","Clock speed measures how many cycles a CPU can perform per second, typically in gigahertz (GHz).",Hardware,CPU
What is RAM?,"Graphics Processing Unit, a chip specialized for rendering images and video","The rate at which a CPU executes instructions, measured in Hz",An input device that converts physical documents into digital images,"Random Access Memory, temporary memory used while a computer is running","D) Random Access Memory, temporary memory used while a computer is running",RAM (Random Access Memory) is volatile memory that temporarily stores data the CPU is actively using.,Hardware,RAM
