Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"In the game Cluedo (Clue), what is the objective?",To collect the most property,To build the tallest structure,To race to the finish line,"To deduce who committed the murder, with what weapon, and in which room","D) To deduce who committed the murder, with what weapon, and in which room","In Cluedo, players use deduction to determine the murderer, the murder weapon, and the room where the crime occurred.",Board Games,Cluedo
What is the origin country traditionally associated with Carrom?,Egypt,China,Japan,India (widely popular across South Asia),D) India (widely popular across South Asia),"Carrom is a tabletop game widely popular in India and across South Asia, believed to have originated in the Indian subcontinent.",Board Games,Board Game History
"In Carrom, what is the main objective?",To collect the most money,To pocket your assigned carrom coins before your opponent,To capture the opponent's king,To reach the finish line first,B) To pocket your assigned carrom coins before your opponent,"In Carrom, players use a striker to pocket their assigned coins (black or white) into the corner pockets before their opponent.",Board Games,Carrom
"In Checkers (Draughts), how do pieces typically move?",Any number of squares in a straight line,In an L-shape,"Diagonally, one square at a time (unless jumping)",Horizontally only,"C) Diagonally, one square at a time (unless jumping)","In Checkers, pieces move diagonally one square at a time, and can jump over an opponent's piece to capture it.",Board Games,Checkers
What shape is a Ludo board?,A square,A cross (plus) shape,A circle,A triangle,B) A cross (plus) shape,"The Ludo board is shaped like a cross, or plus sign, with four colored home areas.",Board Games,Ludo
What type of game is Risk primarily known as?,A racing game,A card-matching game,A word-guessing game,A strategic war/conquest board game,D) A strategic war/conquest board game,"Risk is a strategy board game focused on military conquest, where players attempt to capture territories worldwide.",Board Games,Risk
"In Ludo, what determines how many spaces a token moves?",A roll of the dice,A coin toss,A spinner,A card drawn from a deck,A) A roll of the dice,"In Ludo, a standard six-sided dice is rolled to determine how many spaces a token can move.",Board Games,Ludo
How many pieces does each player have at the start of a game of Chess?,16,12,20,24,A) 16,Each Chess player begins with 16 pieces: 8 pawns and 8 other pieces.,Board Games,Chess
How many tiles does a standard Scrabble game start with in the bag?,100,96,98,104,A) 100,"A standard Scrabble set starts with 100 letter tiles in the bag, including two blank tiles.",Board Games,Scrabble
What is the objective of Snakes and Ladders?,To reach the final numbered square before your opponents,To build the tallest tower,To capture all opposing pieces,To collect the most points,A) To reach the final numbered square before your opponents,"In Snakes and Ladders, players race to reach the final square, using ladders to advance and avoiding snakes that send them backward.",Board Games,Snakes & Ladders
What is the objective of Checkers?,To reach the opposite end of the board first,To collect the most coins,To form a specific pattern,To capture all of the opponent's pieces or block their moves,D) To capture all of the opponent's pieces or block their moves,"The goal of Checkers is to capture all of the opponent's pieces, or to block them so they cannot move.",Board Games,Checkers
What color are the standard playing pieces in most Chess sets?,Black and white,Red and blue,Black and red,Green and yellow,A) Black and white,Standard Chess sets traditionally use black and white pieces to distinguish the two players.,Board Games,Chess
Which classic board game involves buying and trading properties to bankrupt opponents?,Monopoly,Ludo,Scrabble,Risk,A) Monopoly,"Monopoly is a classic board game where players buy, trade, and develop properties to bankrupt their opponents.",Board Games,Monopoly
How many players can typically play Ludo?,2 to 4,2 to 6,1 to 2,3 to 5,A) 2 to 4,"Ludo is traditionally designed for 2 to 4 players, each controlling four tokens.",Board Games,Ludo
What do players collect when passing 'Go' in Monopoly?,A free property,₹500,₹200 (or $200 in the original version),₹100,C) ₹200 (or $200 in the original version),"In the original Monopoly, players collect $200 each time they pass 'Go'.",Board Games,Monopoly
Which classic strategy board game originated in ancient India and is considered an ancestor of Chess?,Backgammon,Chaturanga,Mancala,Go,B) Chaturanga,"Chaturanga, an ancient Indian strategy game, is widely considered a historical ancestor of modern Chess.",Board Games,Board Game History
What is used to strike the coins in Carrom?,A cue stick,A striker,A token,A dice,B) A striker,"A striker, a flat disc, is flicked with the finger to hit and pocket the carrom coins.",Board Games,Carrom
How many squares are there on a Monopoly board?,44,48,40,36,C) 40,"A standard Monopoly board has 40 spaces around its perimeter, including properties, chance, and go.",Board Games,Monopoly
What is the goal of Scrabble?,To eliminate the opponent's letters,To fill the board completely,To trade the most tiles,To score the most points by forming words on the board,D) To score the most points by forming words on the board,"In Scrabble, players form words on the board to score points based on letter values and board bonuses.",Board Games,Scrabble
What is required to win a game of Snakes and Ladders when close to the final square?,A roll of six only,Often an exact roll to land precisely on the final square (in many rule variants),Reaching within 5 squares is enough,Any roll number works,B) Often an exact roll to land precisely on the final square (in many rule variants),"In many traditional rule variants of Snakes and Ladders, players must roll the exact number needed to land on the final square to win.",Board Games,Snakes & Ladders
"Choose the correct answer: In Scrabble, how many points is the letter Z typically worth?",2 to 4,India (widely popular across South Asia),10 points,40,C) 10 points,"In standard English Scrabble scoring, the letter Z is worth 10 points, one of the highest-value letters.",Board Games,Scrabble
Choose the correct answer: What is the objective of Snakes and Ladders?,To reach the final numbered square before your opponents,₹200 (or $200 in the original version),To pocket your assigned carrom coins before your opponent,16,A) To reach the final numbered square before your opponents,"In Snakes and Ladders, players race to reach the final square, using ladders to advance and avoiding snakes that send them backward.",Board Games,Snakes & Ladders
Which option correctly answers this: What die-based mechanic determines movement in Snakes and Ladders?,A striker,12,Rolling a single six-sided die,"An L-shaped move, and it can jump over other pieces",C) Rolling a single six-sided die,Movement in Snakes and Ladders is determined by rolling a single six-sided die each turn.,Board Games,Snakes & Ladders
"In Scrabble, how many points is the letter Q typically worth?",12,India (widely popular across South Asia),It doubles the total value of the word placed on it,10 points,D) 10 points,"In standard English Scrabble scoring, the letter Q is worth 10 points, among the highest-value letters.",Board Games,Scrabble
How many tiles does a standard Scrabble game start with in the bag?,Black and white,A strategic war/conquest board game,100,To pocket your assigned carrom coins before your opponent,C) 100,"A standard Scrabble set starts with 100 letter tiles in the bag, including two blank tiles.",Board Games,Scrabble
"Quiz question: In Scrabble, how many points is the letter Q typically worth?",India (widely popular across South Asia),16,A roll of the dice,10 points,D) 10 points,"In standard English Scrabble scoring, the letter Q is worth 10 points, among the highest-value letters.",Board Games,Scrabble
What happens if a Snakes and Ladders token lands on a snake's head?,To reach the final numbered square before your opponents,To pocket your assigned carrom coins before your opponent,It becomes a 'king' and can move both forward and backward,The token slides down to the snake's tail,D) The token slides down to the snake's tail,Landing on a snake's head sends the player's token sliding back down to the position of the snake's tail.,Board Games,Snakes & Ladders
What happens if a Snakes and Ladders token lands on a snake's head?,The token slides down to the snake's tail,The token climbs up to the top of the ladder,"Diagonally, one square at a time (unless jumping)",Rolling a single six-sided die,A) The token slides down to the snake's tail,Landing on a snake's head sends the player's token sliding back down to the position of the snake's tail.,Board Games,Snakes & Ladders
Which option correctly answers this: What happens if a Snakes and Ladders token lands at the bottom of a ladder?,The token climbs up to the top of the ladder,Monopoly,A striker,A roll of the dice,A) The token climbs up to the top of the ladder,Landing at the base of a ladder in Snakes and Ladders allows the player's token to climb directly to the top of that ladder.,Board Games,Snakes & Ladders
"Which option correctly answers this: In Carrom, what is the main objective?",To pocket your assigned carrom coins before your opponent,To capture all of the opponent's pieces or block their moves,A striker,It becomes a 'king' and can move both forward and backward,A) To pocket your assigned carrom coins before your opponent,"In Carrom, players use a striker to pocket their assigned coins into the corner pockets before their opponent.",Board Games,Carrom
Choose the correct answer: How many pieces does each player have at the start of a game of Chess?,12,16,10 points,It becomes a 'king' and can move both forward and backward,B) 16,Each Chess player begins with 16 pieces: 8 pawns and 8 other pieces.,Board Games,Chess
Quiz question: Which classic board game involves buying and trading properties to bankrupt opponents?,Vocabulary and strategic tile placement,A roll of the dice,Monopoly,2 to 4,C) Monopoly,"Monopoly is a classic board game where players buy, trade, and develop properties to bankrupt their opponents.",Board Games,Monopoly
Quiz question: How many pieces does each player start with in standard Checkers?,To score the most points by forming words on the board,12,A striker,A cross (plus) shape,B) 12,Each player begins a standard game of Checkers with 12 pieces placed on the dark squares.,Board Games,Checkers
"In Risk, what is the primary way a player expands their territory?",A roll of the dice,A cross (plus) shape,A striker,By attacking and conquering territories held by other players,D) By attacking and conquering territories held by other players,"In Risk, players expand their territory primarily by using armies to attack and conquer territories controlled by opponents.",Board Games,Risk
Choose the correct answer: Which classic strategy board game originated in ancient India and is considered an ancestor of Chess?,To capture all of the opponent's pieces or block their moves,2 to 4,Chaturanga,By attacking and conquering territories held by other players,C) Chaturanga,"Chaturanga, an ancient Indian strategy game, is widely considered a historical ancestor of modern Chess.",Board Games,Board Game History
Which option correctly answers this: What is the objective of Snakes and Ladders?,10 points,Chaturanga,To reach the final numbered square before your opponents,₹200 (or $200 in the original version),C) To reach the final numbered square before your opponents,"In Snakes and Ladders, players race to reach the final square, using ladders to advance and avoiding snakes that send them backward.",Board Games,Snakes & Ladders
"Which option correctly answers this: In Cluedo, how many suspects are typically included in the classic version?",Six,10 points,Monopoly,100,A) Six,The classic version of Cluedo includes six suspect characters that players must investigate.,Board Games,Cluedo
Choose the correct answer: What is the objective of Snakes and Ladders?,16,A striker,To reach the final numbered square before your opponents,2 to 4,C) To reach the final numbered square before your opponents,"In Snakes and Ladders, players race to reach the final square, using ladders to advance and avoiding snakes that send them backward.",Board Games,Snakes & Ladders
Quiz question: Which classic strategy board game originated in ancient India and is considered an ancestor of Chess?,Chaturanga,To reach the final numbered square before your opponents,10 points,Monopoly,A) Chaturanga,"Chaturanga, an ancient Indian strategy game, is widely considered a historical ancestor of modern Chess.",Board Games,Board Game History
