Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Choose the correct answer: Which is heavier: a pound of feathers or a pound of bricks?,Roosters do not lay eggs,They weigh the same,"Neither, because the yolk of an egg is yellow, not white","No, because if he has a widow, he is already dead",B) They weigh the same,Both weigh exactly one pound; the trick lies in assuming bricks feel or seem heavier due to their smaller volume.,Trick Questions,Common-Sense Tricks
"Choose the correct answer: What occurs once in a year, twice in a week, but never in a day?","Only once, because after that you are subtracting from 20, not 25",They weigh the same,9,The letter E,D) The letter E,"The letter 'E' appears once in 'year', twice in 'week', but not at all in the word 'day'.",Trick Questions,Word Tricks
"Quiz question: Before Mount Everest was discovered, what was the highest mountain in the world?",They weigh the same,"The years refer to room numbers, not birth and death years (a lateral-thinking twist)",Legs,"Mount Everest (it was always the highest, even before being 'discovered')","D) Mount Everest (it was always the highest, even before being 'discovered')",Mount Everest has always been the tallest mountain on Earth; its height didn't change based on when humans identified or named it.,Trick Questions,Common-Sense Tricks
"Choose the correct answer: If two's company and three's a crowd, what are four and five?","Nine (a purely mathematical answer, ignoring the idiom)","The years refer to room numbers, not birth and death years (a lateral-thinking twist)",A postage stamp,"No, because if he has a widow, he is already dead","A) Nine (a purely mathematical answer, ignoring the idiom)","This trick question plays with switching from an idiomatic phrase about company/crowds to simple arithmetic, since 4 + 5 = 9.",Trick Questions,Trick Logic
Which option correctly answers this: How many seconds are there in a year?,All 12 months,"No, because if he has a widow, he is already dead",Short,"12 (referring to the second of January, February, etc.)","D) 12 (referring to the second of January, February, etc.)",This is a wordplay trick: it plays on the word 'second' meaning both a unit of time and 'the 2nd day' of each month.,Trick Questions,Word Tricks
Quiz question: Is it legal for a man to marry his widow's sister?,A postage stamp,Light (or sound),5 minutes,"No, because if he has a widow, he is already dead","D) No, because if he has a widow, he is already dead","A 'widow' by definition means the man has died, so a dead man cannot legally marry anyone.",Trick Questions,Hidden Meaning
"If two's company and three's a crowd, what are four and five?",Glass,"Nine (a purely mathematical answer, ignoring the idiom)",They weigh the same,All 12 months,"B) Nine (a purely mathematical answer, ignoring the idiom)","This trick question plays with switching from an idiomatic phrase about company/crowds to simple arithmetic, since 4 + 5 = 9.",Trick Questions,Trick Logic
"Which option correctly answers this: If there are three apples and you take away two, how many do you have?",They weigh the same,Light (or sound),The match,Two,D) Two,"The trick is in the phrasing: 'how many do you have' refers to the apples you took, which is two, not how many remain.",Trick Questions,Misleading Questions
A doctor gives you 3 pills and tells you to take one every 30 minutes. How long will the pills last?,Roosters do not lay eggs,"Nine (a purely mathematical answer, ignoring the idiom)","They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",1 hour,D) 1 hour,"Taking the first pill at time 0, the second at 30 minutes, and the third at 60 minutes means the pills last only 1 hour, not 1.5.",Trick Questions,Number Tricks
"If there are three apples and you take away two, how many do you have?",Glass,Light (or sound),The letter E,Two,D) Two,"The trick is in the phrasing: 'how many do you have' refers to the apples you took, which is two, not how many remain.",Trick Questions,Misleading Questions
Which option correctly answers this: How many months of the year have 28 days?,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",All 12 months,A postage stamp,Two,B) All 12 months,"Every month has at least 28 days; only February has exactly 28 (or 29), but all months include at least 28 days.",Trick Questions,Trick Riddles
"Choose the correct answer: A man builds a house with four sides, each facing south. A bear walks by. What color is the bear?",Because he is not dead (he is still living),White (because the house is at the North Pole),1 hour,"12 (referring to the second of January, February, etc.)",B) White (because the house is at the North Pole),"A house with all four sides facing south can only be located at the North Pole, meaning the bear would be a polar bear, which is white.",Trick Questions,Situational Tricks
Choose the correct answer: How many times can you subtract the number 5 from 25?,Are you asleep?,"12 (referring to the second of January, February, etc.)","Only once, because after that you are subtracting from 20, not 25","The years refer to room numbers, not birth and death years (a lateral-thinking twist)","C) Only once, because after that you are subtracting from 20, not 25","This is a trick question relying on precise wording: after the first subtraction, you are no longer subtracting from the original number 25.",Trick Questions,Number Tricks
Which option correctly answers this: Why can't a man living in New York be buried in Chicago?,5 minutes,Because he is not dead (he is still living),Legs,A postage stamp,B) Because he is not dead (he is still living),"The trick lies in the phrase 'a man living in New York' — since he's alive, he can't be buried anywhere.",Trick Questions,Trick Logic
"If a plane crashes exactly on the border between two countries, where do they bury the survivors?",5 minutes,Survivors are not buried,"Neither, because the yolk of an egg is yellow, not white",Because he is not dead (he is still living),B) Survivors are not buried,"Survivors, by definition, are still alive, so they would not be buried at all — this is the trick in the question.",Trick Questions,Trick Logic
"Choose the correct answer: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5 minutes,Roosters do not lay eggs,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)","Nine (a purely mathematical answer, ignoring the idiom)",A) 5 minutes,"Each machine takes 5 minutes to make one widget individually, so 100 machines working simultaneously would also take 5 minutes to make 100 widgets.",Trick Questions,Number Tricks
Quiz question: What is at the end of a rainbow?,The letter W,They weigh the same,"Neither, because the yolk of an egg is yellow, not white",Legs,A) The letter W,This is a wordplay trick: the word 'rainbow' ends with the letter 'w'.,Trick Questions,Word Tricks
"Quiz question: A farmer had 17 sheep, and all but 9 died. How many sheep does he have left?","The years refer to room numbers, not birth and death years (a lateral-thinking twist)","Only once, because after that you are subtracting from 20, not 25",Your right hand,9,D) 9,"The phrase 'all but 9' means all except 9 died, so exactly 9 sheep remain alive.",Trick Questions,Trick Riddles
"If a plane crashes exactly on the border between two countries, where do they bury the survivors?","12 (referring to the second of January, February, etc.)","Nine (a purely mathematical answer, ignoring the idiom)","Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",Survivors are not buried,D) Survivors are not buried,"Survivors, by definition, are still alive, so they would not be buried at all — this is the trick in the question.",Trick Questions,Trick Logic
"Before Mount Everest was discovered, what was the highest mountain in the world?",Glass,"No, because if he has a widow, he is already dead","They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)","Mount Everest (it was always the highest, even before being 'discovered')","D) Mount Everest (it was always the highest, even before being 'discovered')",Mount Everest has always been the tallest mountain on Earth; its height didn't change based on when humans identified or named it.,Trick Questions,Common-Sense Tricks
Quiz question: Why can't a man living in New York be buried in Chicago?,Because he is not dead (he is still living),A postage stamp,Short,"No, because if he has a widow, he is already dead",A) Because he is not dead (he is still living),"The trick lies in the phrase 'a man living in New York' — since he's alive, he can't be buried anywhere.",Trick Questions,Trick Logic
Why can't a man living in New York be buried in Chicago?,"12 (referring to the second of January, February, etc.)","They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",Your right hand,Because he is not dead (he is still living),D) Because he is not dead (he is still living),"The trick lies in the phrase 'a man living in New York' — since he's alive, he can't be buried anywhere.",Trick Questions,Trick Logic
"Which option correctly answers this: If two's company and three's a crowd, what are four and five?",The letter W,Roosters do not lay eggs,The letter E,"Nine (a purely mathematical answer, ignoring the idiom)","D) Nine (a purely mathematical answer, ignoring the idiom)","This trick question plays with switching from an idiomatic phrase about company/crowds to simple arithmetic, since 4 + 5 = 9.",Trick Questions,Trick Logic
Quiz question: Which is heavier: a pound of feathers or a pound of bricks?,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",Survivors are not buried,They weigh the same,Short,C) They weigh the same,Both weigh exactly one pound; the trick lies in assuming bricks feel or seem heavier due to their smaller volume.,Trick Questions,Common-Sense Tricks
"Which option correctly answers this: You enter a dark room with a candle, a wood stove, and a gas lamp; you only have one match. What do you light first?",The match,Survivors are not buried,They weigh the same,Because he is not dead (he is still living),A) The match,You must first light the match itself before using it to light anything else in the room.,Trick Questions,Trick Logic
"Choose the correct answer: A farmer had 17 sheep, and all but 9 died. How many sheep does he have left?",They weigh the same,Survivors are not buried,"Nine (a purely mathematical answer, ignoring the idiom)",9,D) 9,"The phrase 'all but 9' means all except 9 died, so exactly 9 sheep remain alive.",Trick Questions,Trick Riddles
"Choose the correct answer: What occurs once in a year, twice in a week, but never in a day?",The letter E,Survivors are not buried,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",The match,A) The letter E,"The letter 'E' appears once in 'year', twice in 'week', but not at all in the word 'day'.",Trick Questions,Word Tricks
"Before Mount Everest was discovered, what was the highest mountain in the world?","Mount Everest (it was always the highest, even before being 'discovered')","12 (referring to the second of January, February, etc.)","Only once, because after that you are subtracting from 20, not 25",Short,"A) Mount Everest (it was always the highest, even before being 'discovered')",Mount Everest has always been the tallest mountain on Earth; its height didn't change based on when humans identified or named it.,Trick Questions,Common-Sense Tricks
Which option correctly answers this: What can you hold in your left hand but never in your right hand?,Your right hand,"12 (referring to the second of January, February, etc.)","Nine (a purely mathematical answer, ignoring the idiom)","Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",A) Your right hand,"You cannot hold your right hand with your right hand, but you can hold it with your left hand — a play on the question's wording.",Trick Questions,Trick Logic
"Choose the correct answer: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",Legs,Because he is not dead (he is still living),"Mount Everest (it was always the highest, even before being 'discovered')",5 minutes,D) 5 minutes,"Each machine takes 5 minutes to make one widget individually, so 100 machines working simultaneously would also take 5 minutes to make 100 widgets.",Trick Questions,Number Tricks
Choose the correct answer: How many months of the year have 28 days?,All 12 months,"No, because if he has a widow, he is already dead","Only once, because after that you are subtracting from 20, not 25",Roosters do not lay eggs,A) All 12 months,"Every month has at least 28 days; only February has exactly 28 (or 29), but all months include at least 28 days.",Trick Questions,Trick Riddles
What has a bottom at the top?,9,White (because the house is at the North Pole),1 hour,Legs,D) Legs,"This is a play on words: legs have a 'bottom' part that is actually at the top when viewed as part of the whole body, appearing lower down, and the phrase deliberately confuses direction.",Trick Questions,Word Tricks
What word becomes shorter when you add two letters to it?,Short,5 minutes,"12 (referring to the second of January, February, etc.)","Mount Everest (it was always the highest, even before being 'discovered')",A) Short,"The word 'short' becomes 'shorter' when 'er' is added, which is itself a description of becoming 'shorter'.",Trick Questions,Word Tricks
A man was born in 1985 and died in 1975 at the age of 40. How is that possible?,They weigh the same,"The years refer to room numbers, not birth and death years (a lateral-thinking twist)",Legs,Are you asleep?,"B) The years refer to room numbers, not birth and death years (a lateral-thinking twist)","This trick question relies on lateral thinking, where '1985' and '1975' might refer to something other than literal calendar years, such as room or plot numbers.",Trick Questions,Lateral Thinking
Which option correctly answers this: How many seconds are there in a year?,Your right hand,Are you asleep?,"12 (referring to the second of January, February, etc.)","Nine (a purely mathematical answer, ignoring the idiom)","C) 12 (referring to the second of January, February, etc.)",This is a wordplay trick: it plays on the word 'second' meaning both a unit of time and 'the 2nd day' of each month.,Trick Questions,Word Tricks
Choose the correct answer: What question can you never honestly answer 'yes' to?,1 hour,Your right hand,"Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",Are you asleep?,D) Are you asleep?,"You cannot honestly say 'yes' to being asleep, because if you were truly asleep, you wouldn't be able to answer at all.",Trick Questions,Yes/No Tricks
"Which option correctly answers this: What occurs once in a year, twice in a week, but never in a day?",Survivors are not buried,"Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",The match,The letter E,D) The letter E,"The letter 'E' appears once in 'year', twice in 'week', but not at all in the word 'day'.",Trick Questions,Word Tricks
Quiz question: Which weighs more: a ton of feathers or a ton of gold?,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)","Nine (a purely mathematical answer, ignoring the idiom)","Only once, because after that you are subtracting from 20, not 25",Because he is not dead (he is still living),"A) They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)","This classic trick assumes a straightforward comparison, but the deeper trick often involves the difference between troy and avoirdupois weight systems for gold versus feathers.",Trick Questions,Common-Sense Tricks
"Quiz question: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",5 minutes,"Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",The letter E,A postage stamp,A) 5 minutes,"Each machine takes 5 minutes to make one widget individually, so 100 machines working simultaneously would also take 5 minutes to make 100 widgets.",Trick Questions,Number Tricks
What can travel around the world while staying in a corner?,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",A postage stamp,The letter W,Roosters do not lay eggs,B) A postage stamp,A postage stamp travels around the world on letters and packages while remaining fixed in the corner of the envelope.,Trick Questions,Trick Riddles
Quiz question: How many seconds are there in a year?,The letter E,Are you asleep?,"12 (referring to the second of January, February, etc.)","Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily","C) 12 (referring to the second of January, February, etc.)",This is a wordplay trick: it plays on the word 'second' meaning both a unit of time and 'the 2nd day' of each month.,Trick Questions,Word Tricks
"Quiz question: What occurs once in a year, twice in a week, but never in a day?",Legs,The letter E,Two,"Only once, because after that you are subtracting from 20, not 25",B) The letter E,"The letter 'E' appears once in 'year', twice in 'week', but not at all in the word 'day'.",Trick Questions,Word Tricks
What can fill a room but takes up no physical space?,Light (or sound),5 minutes,1 hour,9,A) Light (or sound),Light (or sound) can fill an entire room without taking up any physical space in the way solid objects do.,Trick Questions,Hidden Meaning
A rooster lays an egg on top of a barn roof. Which way does the egg roll?,9,"Mount Everest (it was always the highest, even before being 'discovered')",Roosters do not lay eggs,"Neither, because the yolk of an egg is yellow, not white",C) Roosters do not lay eggs,This is a trick question because roosters are male and do not lay eggs — only hens do.,Trick Questions,Trick Logic
Choose the correct answer: What word becomes shorter when you add two letters to it?,White (because the house is at the North Pole),"Mount Everest (it was always the highest, even before being 'discovered')",Short,The match,C) Short,"The word 'short' becomes 'shorter' when 'er' is added, which is itself a description of becoming 'shorter'.",Trick Questions,Word Tricks
"Quiz question: A farmer had 17 sheep, and all but 9 died. How many sheep does he have left?","The years refer to room numbers, not birth and death years (a lateral-thinking twist)",9,Short,Glass,B) 9,"The phrase 'all but 9' means all except 9 died, so exactly 9 sheep remain alive.",Trick Questions,Trick Riddles
Quiz question: What word becomes shorter when you add two letters to it?,Short,Legs,The match,"12 (referring to the second of January, February, etc.)",A) Short,"The word 'short' becomes 'shorter' when 'er' is added, which is itself a description of becoming 'shorter'.",Trick Questions,Word Tricks
Why can't a man living in New York be buried in Chicago?,Survivors are not buried,"No, because if he has a widow, he is already dead",The letter W,Because he is not dead (he is still living),D) Because he is not dead (he is still living),"The trick lies in the phrase 'a man living in New York' — since he's alive, he can't be buried anywhere.",Trick Questions,Trick Logic
Choose the correct answer: A man was born in 1985 and died in 1975 at the age of 40. How is that possible?,"The years refer to room numbers, not birth and death years (a lateral-thinking twist)",All 12 months,The letter W,5 minutes,"A) The years refer to room numbers, not birth and death years (a lateral-thinking twist)","This trick question relies on lateral thinking, where '1985' and '1975' might refer to something other than literal calendar years, such as room or plot numbers.",Trick Questions,Lateral Thinking
"If two's company and three's a crowd, what are four and five?",Short,"Nine (a purely mathematical answer, ignoring the idiom)",Are you asleep?,"Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily","B) Nine (a purely mathematical answer, ignoring the idiom)","This trick question plays with switching from an idiomatic phrase about company/crowds to simple arithmetic, since 4 + 5 = 9.",Trick Questions,Trick Logic
What has a bottom at the top?,Legs,Are you asleep?,Light (or sound),5 minutes,A) Legs,"This is a play on words: legs have a 'bottom' part that is actually at the top when viewed as part of the whole body, appearing lower down, and the phrase deliberately confuses direction.",Trick Questions,Word Tricks
Which option correctly answers this: What word becomes shorter when you add two letters to it?,"Mount Everest (it was always the highest, even before being 'discovered')",Legs,Short,They weigh the same,C) Short,"The word 'short' becomes 'shorter' when 'er' is added, which is itself a description of becoming 'shorter'.",Trick Questions,Word Tricks
Choose the correct answer: Is it legal for a man to marry his widow's sister?,Your right hand,"No, because if he has a widow, he is already dead","Mount Everest (it was always the highest, even before being 'discovered')",9,"B) No, because if he has a widow, he is already dead","A 'widow' by definition means the man has died, so a dead man cannot legally marry anyone.",Trick Questions,Hidden Meaning
How can you drop a raw egg onto a concrete floor without cracking it?,White (because the house is at the North Pole),"Mount Everest (it was always the highest, even before being 'discovered')",Glass,"Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily","D) Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily","One classic version of this trick question plays on the ambiguity of 'without cracking it', where 'it' could refer to the floor rather than the egg.",Trick Questions,Hidden Meaning
"If a plane crashes exactly on the border between two countries, where do they bury the survivors?",Survivors are not buried,Because he is not dead (he is still living),"Mount Everest (it was always the highest, even before being 'discovered')",A postage stamp,A) Survivors are not buried,"Survivors, by definition, are still alive, so they would not be buried at all — this is the trick in the question.",Trick Questions,Trick Logic
Choose the correct answer: A man was born in 1985 and died in 1975 at the age of 40. How is that possible?,"No, because if he has a widow, he is already dead","The years refer to room numbers, not birth and death years (a lateral-thinking twist)",Two,Because he is not dead (he is still living),"B) The years refer to room numbers, not birth and death years (a lateral-thinking twist)","This trick question relies on lateral thinking, where '1985' and '1975' might refer to something other than literal calendar years, such as room or plot numbers.",Trick Questions,Lateral Thinking
"Which option correctly answers this: You enter a dark room with a candle, a wood stove, and a gas lamp; you only have one match. What do you light first?",The match,Glass,Survivors are not buried,"12 (referring to the second of January, February, etc.)",A) The match,You must first light the match itself before using it to light anything else in the room.,Trick Questions,Trick Logic
Quiz question: A rooster lays an egg on top of a barn roof. Which way does the egg roll?,"12 (referring to the second of January, February, etc.)",White (because the house is at the North Pole),Short,Roosters do not lay eggs,D) Roosters do not lay eggs,This is a trick question because roosters are male and do not lay eggs — only hens do.,Trick Questions,Trick Logic
Which option correctly answers this: How many seconds are there in a year?,"12 (referring to the second of January, February, etc.)",The match,Because he is not dead (he is still living),Survivors are not buried,"A) 12 (referring to the second of January, February, etc.)",This is a wordplay trick: it plays on the word 'second' meaning both a unit of time and 'the 2nd day' of each month.,Trick Questions,Word Tricks
How can you drop a raw egg onto a concrete floor without cracking it?,"12 (referring to the second of January, February, etc.)",All 12 months,"Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",Short,"C) Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily","One classic version of this trick question plays on the ambiguity of 'without cracking it', where 'it' could refer to the floor rather than the egg.",Trick Questions,Hidden Meaning
A rooster lays an egg on top of a barn roof. Which way does the egg roll?,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",Roosters do not lay eggs,Two,The letter E,B) Roosters do not lay eggs,This is a trick question because roosters are male and do not lay eggs — only hens do.,Trick Questions,Trick Logic
"If there are three apples and you take away two, how many do you have?",9,1 hour,Two,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)",C) Two,"The trick is in the phrasing: 'how many do you have' refers to the apples you took, which is two, not how many remain.",Trick Questions,Misleading Questions
How many seconds are there in a year?,Light (or sound),Legs,Roosters do not lay eggs,"12 (referring to the second of January, February, etc.)","D) 12 (referring to the second of January, February, etc.)",This is a wordplay trick: it plays on the word 'second' meaning both a unit of time and 'the 2nd day' of each month.,Trick Questions,Word Tricks
"Which option correctly answers this: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",All 12 months,5 minutes,The match,9,B) 5 minutes,"Each machine takes 5 minutes to make one widget individually, so 100 machines working simultaneously would also take 5 minutes to make 100 widgets.",Trick Questions,Number Tricks
"Quiz question: If a red house is made of red bricks, a blue house is made of blue bricks, and a pink house is made of pink bricks, what is a greenhouse made of?",They weigh the same,Glass,All 12 months,The match,B) Glass,"A greenhouse is a structure typically made of glass, used for growing plants — the color pattern in the question is a deliberate misdirection.",Trick Questions,Trick Logic
"Choose the correct answer: A farmer had 17 sheep, and all but 9 died. How many sheep does he have left?","Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",9,1 hour,5 minutes,B) 9,"The phrase 'all but 9' means all except 9 died, so exactly 9 sheep remain alive.",Trick Questions,Trick Riddles
"Choose the correct answer: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",The match,Your right hand,5 minutes,Roosters do not lay eggs,C) 5 minutes,"Each machine takes 5 minutes to make one widget individually, so 100 machines working simultaneously would also take 5 minutes to make 100 widgets.",Trick Questions,Number Tricks
What can fill a room but takes up no physical space?,White (because the house is at the North Pole),"Mount Everest (it was always the highest, even before being 'discovered')",The letter E,Light (or sound),D) Light (or sound),Light (or sound) can fill an entire room without taking up any physical space in the way solid objects do.,Trick Questions,Hidden Meaning
How many seconds are there in a year?,All 12 months,"12 (referring to the second of January, February, etc.)",Survivors are not buried,"Only once, because after that you are subtracting from 20, not 25","B) 12 (referring to the second of January, February, etc.)",This is a wordplay trick: it plays on the word 'second' meaning both a unit of time and 'the 2nd day' of each month.,Trick Questions,Word Tricks
Which option correctly answers this: Which is correct to say: 'the yolk of an egg is white' or 'the yolk of an egg are white'?,"They weigh the same (though measured differently: gold in troy weight, but by definition here, a 'ton' is equal)","Neither, because the yolk of an egg is yellow, not white","Concrete floors are very hard to crack, so this depends on interpretation — but a common trick answer is that concrete floors don't crack easily",A postage stamp,"B) Neither, because the yolk of an egg is yellow, not white","This trick question focuses on subject-verb agreement, but the real trick is that the underlying fact is false — egg yolks are yellow, not white.",Trick Questions,Trick Logic
