Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which option correctly answers this: Who directed the internationally acclaimed Indian film 'Pather Panchali' (1955)?,Satyajit Ray,Kollywood,Bollywood,Movie songs (film songs),A) Satyajit Ray,"Satyajit Ray directed 'Pather Panchali' (1955), a landmark of Indian and world cinema.",Cinema,Cinema History
Quiz question: What is the term for a film's total earnings from ticket sales?,Tollywood,Box office collection,The Academy Awards (Oscars),"A film created using techniques like drawings or computer graphics to simulate movement, rather than live actors",B) Box office collection,Box office collection refers to the total revenue a film earns from ticket sales.,Cinema,Box Office
Which option correctly answers this: What is the popular nickname for the Tamil-language film industry?,Movie songs (film songs),Kollywood,To oversee the creative and technical aspects of making a film,"A film created using techniques like drawings or computer graphics to simulate movement, rather than live actors",B) Kollywood,"Kollywood is the popular nickname for the Tamil-language film industry, based mainly in Chennai.",Cinema,Tamil Cinema
"What is the term for a movie's soundtrack songs, common in Indian cinema?",Movie songs (film songs),'RRR' (for the song 'Naatu Naatu'),Comedy,The International Film Festival of India (IFFI),A) Movie songs (film songs),"Movie songs, or film songs, are musical compositions included as part of a film's soundtrack, especially prominent in Indian cinema.",Cinema,Movie Songs
"Who directed the film 'Sholay' (1975), a landmark of Indian cinema?",Box office collection,To oversee the creative and technical aspects of making a film,"A brief appearance by a notable performer, often uncredited or in a small role",Ramesh Sippy,D) Ramesh Sippy,"Ramesh Sippy directed 'Sholay' (1975), one of the most iconic and commercially successful films in Indian cinema history.",Cinema,Bollywood
"Which option correctly answers this: Who played the character in a lead role of many iconic Kannada films and is often called a legendary figure of Sandalwood, honored with titles like 'Varanatha Tara'?",Dr. Rajkumar,Box office collection,A film that achieves exceptionally high box office success,Movie songs (film songs),A) Dr. Rajkumar,"Dr. Rajkumar is widely regarded as a legendary figure of Kannada cinema, celebrated for his extensive body of work.",Cinema,Kannada Cinema
"Choose the correct answer: What is the term for the process of adding sound, music, and effects to a film after shooting?",Post-production,The National Film Awards,CGI (computer-generated imagery) films,'RRR' (for the song 'Naatu Naatu'),A) Post-production,"Post-production is the phase after filming where editing, sound design, music, and visual effects are added to a film.",Cinema,Cinema History
Choose the correct answer: Which actor is widely known by the nickname 'Shahenshah of Bollywood'?,Bollywood,Amitabh Bachchan,Ramesh Sippy,"A film created using techniques like drawings or computer graphics to simulate movement, rather than live actors",B) Amitabh Bachchan,"Amitabh Bachchan is widely referred to by fans and media as the 'Shahenshah of Bollywood', among other honorifics.",Cinema,Actors
What is the role of a film director?,A film that continues the story of an earlier film,The National Film Awards,The International Film Festival of India (IFFI),To oversee the creative and technical aspects of making a film,D) To oversee the creative and technical aspects of making a film,"A film director oversees the creative and technical aspects of a film's production, guiding the cast and crew.",Cinema,Directors
"Choose the correct answer: Who directed the film 'Sholay' (1975), a landmark of Indian cinema?",Ramesh Sippy,Amitabh Bachchan,A film that portrays events occurring before an earlier film's story,Hollywood,A) Ramesh Sippy,"Ramesh Sippy directed 'Sholay' (1975), one of the most iconic and commercially successful films in Indian cinema history.",Cinema,Bollywood
