Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"A person walks 8 km east, then 15 km further east. How far is he from the starting point?",15 km,7 km,23 km,8 km,C) 23 km,Walking in the same direction adds the distances: 8 + 15 = 23 km from the start.,Puzzles,Direction Puzzles
I am an odd number. Take away one letter and I become even. What number am I?,Five,Nine,Seven,Three,C) Seven,"'Seven' minus the letter 's' becomes 'even', matching the riddle's clue.",Puzzles,Riddles
A father and son have a combined age of 66. The father is 42 years older than the son. How old is the son?,10,16,12,14,C) 12,Let the son's age be x; the father is x+42. Together: x + (x+42) = 66 → 2x = 24 → x = 12.,Puzzles,Number Puzzles
"Find the next number in the series: 5, 7, 9, 11, 13, ?",13,15,17,16,B) 15,"Each term increases by 2, so the next number is 13 + 2 = 15.",Puzzles,Sequence Puzzles
"A basket contains 6 apples, and 6 children each take one apple, yet one apple remains in the basket. How?",The last child took the basket with the apple still in it,There were actually 7 apples,One apple was fake,One child didn't take an apple,A) The last child took the basket with the apple still in it,"The last child took their apple along with the basket, leaving one apple still inside the basket they carried.",Puzzles,Brain Teasers
"A person walks 15 km east, then 2 km further east. How far is he from the starting point?",17 km,15 km,13 km,2 km,A) 17 km,Walking in the same direction adds the distances: 15 + 2 = 17 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 10, 12, 14, 16, 18, ?",21,19,20,22,C) 20,"Each term increases by 2, so the next number is 18 + 2 = 20.",Puzzles,Sequence Puzzles
"A person walks 15 km east, then 6 km further east. How far is he from the starting point?",9 km,15 km,6 km,21 km,D) 21 km,Walking in the same direction adds the distances: 15 + 6 = 21 km from the start.,Puzzles,Direction Puzzles
"Find the odd one out: Circle, Square, Triangle, Sphere.",Triangle,Circle,Sphere,Square,C) Sphere,"Circle, Square, and Triangle are 2D shapes, while a Sphere is a 3D shape, making it the odd one out.",Puzzles,Odd One Out
What five-letter word becomes shorter when you add two letters to it?,Short,Brief,Tiny,Small,A) Short,The word 'short' becomes 'shorter' when 'er' is added — literally spelling out becoming 'shorter'.,Puzzles,Word Puzzles
"A person walks 11 km east, then 15 km further east. How far is he from the starting point?",4 km,11 km,26 km,15 km,C) 26 km,Walking in the same direction adds the distances: 11 + 15 = 26 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 11, 22, 33, 44, 55, ?",66,55,60,71,A) 66,"Each term increases by 11, so the next number is 55 + 11 = 66.",Puzzles,Sequence Puzzles
"A person walks 14 km east, then 12 km further east. How far is he from the starting point?",14 km,26 km,2 km,12 km,B) 26 km,Walking in the same direction adds the distances: 14 + 12 = 26 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 18, 26, 34, 42, 50, ?",55,50,58,54,C) 58,"Each term increases by 8, so the next number is 50 + 8 = 58.",Puzzles,Sequence Puzzles
"A person walks 8 km east, then 3 km further east. How far is he from the starting point?",3 km,8 km,11 km,5 km,C) 11 km,Walking in the same direction adds the distances: 8 + 3 = 11 km from the start.,Puzzles,Direction Puzzles
"A person has 8 coins and exactly one is heavier than the rest, which look identical. Using a balance scale, what is the minimum number of weighings needed to find the heavier coin?",4,1,2,3,C) 2,"By dividing the coins into groups of three, three, and two, the heavier coin can be found in just 2 weighings.",Puzzles,Brain Teasers
A farmer has 10 sheep. All but 3 run away. How many remain?,0,3,10,7,B) 3,"'All but 3' means all except 3 ran away, so exactly 3 sheep remain.",Puzzles,Riddles
"Find the next number in the series: 10, 18, 26, 34, 42, ?",50,54,44,43,A) 50,"Each term increases by 8, so the next number is 42 + 8 = 50.",Puzzles,Sequence Puzzles
"Find the next number in the series: 14, 21, 28, 35, 42, ?",49,51,44,47,A) 49,"Each term increases by 7, so the next number is 42 + 7 = 49.",Puzzles,Sequence Puzzles
"If today is Monday, what day will it be after 121 days?",Tuesday,Thursday,Friday,Wednesday,D) Wednesday,"121 divided by 7 leaves a remainder of 2, so counting 2 days from Monday gives Wednesday.",Puzzles,Logic Puzzles
"Find the next number in the series: 15, 17, 19, 21, 23, ?",23,26,25,24,C) 25,"Each term increases by 2, so the next number is 23 + 2 = 25.",Puzzles,Sequence Puzzles
"A person walks 12 km east, then 5 km further east. How far is he from the starting point?",7 km,5 km,12 km,17 km,D) 17 km,Walking in the same direction adds the distances: 12 + 5 = 17 km from the start.,Puzzles,Direction Puzzles
What has keys but cannot open locks?,A safe,A door,A car,A piano,D) A piano,A piano has keys (its keyboard keys) but they are not used to open locks.,Puzzles,Riddles
"Find the next number in the series: 15, 23, 31, 39, 47, ?",57,47,59,55,D) 55,"Each term increases by 8, so the next number is 47 + 8 = 55.",Puzzles,Sequence Puzzles
A room has 4 corners. One cat sits in each corner. How many cats are in the room?,4,16,8,2,A) 4,"There are 4 corners, and one cat sits in each, so there are 4 cats total.",Puzzles,Brain Teasers
"If all roses are flowers and some flowers fade quickly, can we conclude all roses fade quickly?","No, it cannot be concluded","Yes, definitely",Only in summer,Only red roses fade quickly,"A) No, it cannot be concluded","The statement only says 'some' flowers fade quickly, so it doesn't logically follow that all roses do.",Puzzles,Logic Puzzles
"Find the next number in the series: 15, 27, 39, 51, 63, ?",82,75,66,74,B) 75,"Each term increases by 12, so the next number is 63 + 12 = 75.",Puzzles,Sequence Puzzles
"A person walks 5 km east, then 7 km further east. How far is he from the starting point?",5 km,7 km,2 km,12 km,D) 12 km,Walking in the same direction adds the distances: 5 + 7 = 12 km from the start.,Puzzles,Direction Puzzles
"A person walks 4 km east, then 6 km further east. How far is he from the starting point?",2 km,10 km,6 km,4 km,B) 10 km,Walking in the same direction adds the distances: 4 + 6 = 10 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 5, 17, 29, 41, 53, ?",77,66,65,72,C) 65,"Each term increases by 12, so the next number is 53 + 12 = 65.",Puzzles,Sequence Puzzles
What gets wetter as it dries?,An umbrella,A sponge,A shirt,A towel,D) A towel,A towel gets wetter as it absorbs moisture while drying something else.,Puzzles,Riddles
"A person walks 15 km east, then 3 km further east. How far is he from the starting point?",18 km,3 km,15 km,12 km,A) 18 km,Walking in the same direction adds the distances: 15 + 3 = 18 km from the start.,Puzzles,Direction Puzzles
"A person walks 7 km east, then 15 km further east. How far is he from the starting point?",8 km,7 km,22 km,15 km,C) 22 km,Walking in the same direction adds the distances: 7 + 15 = 22 km from the start.,Puzzles,Direction Puzzles
"A person walks 11 km east, then 15 km further east. How far is he from the starting point?",26 km,15 km,11 km,4 km,A) 26 km,Walking in the same direction adds the distances: 11 + 15 = 26 km from the start.,Puzzles,Direction Puzzles
"A person walks 5 km east, then 4 km further east. How far is he from the starting point?",4 km,9 km,5 km,1 km,B) 9 km,Walking in the same direction adds the distances: 5 + 4 = 9 km from the start.,Puzzles,Direction Puzzles
"A person walks 8 km east, then 9 km further east. How far is he from the starting point?",17 km,8 km,9 km,1 km,A) 17 km,Walking in the same direction adds the distances: 8 + 9 = 17 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 2, 9, 16, 23, 30, ?",37,42,31,35,A) 37,"Each term increases by 7, so the next number is 30 + 7 = 37.",Puzzles,Sequence Puzzles
"If CAT is coded as DBU (each letter shifted by 1), how would DOG be coded?",CNF,EPH,DPH,EPI,B) EPH,"Shifting each letter of DOG forward by one in the alphabet gives D→E, O→P, G→H, so EPH.",Puzzles,Word Puzzles
"A person walks 14 km east, then 7 km further east. How far is he from the starting point?",14 km,7 km,21 km,7 km,C) 21 km,Walking in the same direction adds the distances: 14 + 7 = 21 km from the start.,Puzzles,Direction Puzzles
"A person walks 12 km east, then 2 km further east. How far is he from the starting point?",2 km,14 km,12 km,10 km,B) 14 km,Walking in the same direction adds the distances: 12 + 2 = 14 km from the start.,Puzzles,Direction Puzzles
"A person walks 8 km east, then 12 km further east. How far is he from the starting point?",20 km,8 km,4 km,12 km,A) 20 km,Walking in the same direction adds the distances: 8 + 12 = 20 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 4, 16, 28, 40, 52, ?",64,73,67,62,A) 64,"Each term increases by 12, so the next number is 52 + 12 = 64.",Puzzles,Sequence Puzzles
"Find the next number in the series: 4, 7, 10, 13, 16, ?",18,16,19,17,C) 19,"Each term increases by 3, so the next number is 16 + 3 = 19.",Puzzles,Sequence Puzzles
"Find the next number in the series: 10, 22, 34, 46, 58, ?",69,67,70,68,C) 70,"Each term increases by 12, so the next number is 58 + 12 = 70.",Puzzles,Sequence Puzzles
"A person walks 8 km east, then 15 km further east. How far is he from the starting point?",15 km,23 km,7 km,8 km,B) 23 km,Walking in the same direction adds the distances: 8 + 15 = 23 km from the start.,Puzzles,Direction Puzzles
"Find the next number in the series: 5, 16, 27, 38, 49, ?",59,65,61,60,D) 60,"Each term increases by 11, so the next number is 49 + 11 = 60.",Puzzles,Sequence Puzzles
A clock shows 6:00. What is the angle between the hour and minute hands?,360 degrees,0 degrees,180 degrees,90 degrees,C) 180 degrees,"At 6:00, the hour and minute hands point in opposite directions, forming a straight line of 180 degrees.",Puzzles,Direction Puzzles
"Find the next number in the series: 15, 19, 23, 27, 31, ?",33,32,34,35,D) 35,"Each term increases by 4, so the next number is 31 + 4 = 35.",Puzzles,Sequence Puzzles
"A person walks 8 km east, then 3 km further east. How far is he from the starting point?",3 km,11 km,8 km,5 km,B) 11 km,Walking in the same direction adds the distances: 8 + 3 = 11 km from the start.,Puzzles,Direction Puzzles
"A person walks 8 km east, then 8 km further east. How far is he from the starting point?",16 km,8 km,8 km,0 km,A) 16 km,Walking in the same direction adds the distances: 8 + 8 = 16 km from the start.,Puzzles,Direction Puzzles
