Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is photosynthesis?,A widely cultivated flower known for its fragrance and thorny stem,The process by which plants use sunlight to make food from carbon dioxide and water,"India's national flower, which grows in water",The process by which a seed develops into a new plant,B) The process by which plants use sunlight to make food from carbon dioxide and water,"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen.",Plants,Photosynthesis
Which of the following best describes photosynthesis?,The part of a plant primarily responsible for photosynthesis,"India's national tree, known for its aerial roots",The transfer of pollen from a male part to a female part of a flower,The process by which plants use sunlight to make food from carbon dioxide and water,D) The process by which plants use sunlight to make food from carbon dioxide and water,"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen.",Plants,Photosynthesis
What is a root?,A tree that retains its leaves throughout the year,The part of a plant that absorbs water and nutrients from soil,"A plant adapted to store water, commonly found in deserts",The process by which plants lose water vapor through their leaves,B) The part of a plant that absorbs water and nutrients from soil,Roots are the part of a plant that anchor it in soil and absorb water and nutrients.,Plants,Plant Biology
Which of the following best describes a root?,The part of a plant that absorbs water and nutrients from soil,"India's national tree, known for its aerial roots",The process by which plants lose water vapor through their leaves,"A medicinal tree native to India, valued for its antibacterial properties",A) The part of a plant that absorbs water and nutrients from soil,Roots are the part of a plant that anchor it in soil and absorb water and nutrients.,Plants,Plant Biology
What is a leaf?,A widely cultivated flower known for its fragrance and thorny stem,A tree that retains its leaves throughout the year,The part of a plant primarily responsible for photosynthesis,"India's national tree, known for its aerial roots",C) The part of a plant primarily responsible for photosynthesis,"Leaves are the primary site of photosynthesis in most plants, capturing sunlight to produce food.",Plants,Plant Biology
Which of the following best describes a leaf?,The part of a plant primarily responsible for photosynthesis,A medicinal and sacred plant commonly grown in Indian households,"The mature, seed-bearing part of a flowering plant",The process by which plants lose water vapor through their leaves,A) The part of a plant primarily responsible for photosynthesis,"Leaves are the primary site of photosynthesis in most plants, capturing sunlight to produce food.",Plants,Plant Biology
What is chlorophyll?,A small embryonic plant enclosed in a protective outer covering,The green pigment in plants responsible for absorbing light for photosynthesis,A tree that retains its leaves throughout the year,A medicinal and sacred plant commonly grown in Indian households,B) The green pigment in plants responsible for absorbing light for photosynthesis,Chlorophyll is the green pigment found in plant cells that absorbs light energy for photosynthesis.,Plants,Photosynthesis
Which of the following best describes chlorophyll?,The process by which plants use sunlight to make food from carbon dioxide and water,The green pigment in plants responsible for absorbing light for photosynthesis,"India's national flower, which grows in water","A plant adapted to survive in dry, arid environments",B) The green pigment in plants responsible for absorbing light for photosynthesis,Chlorophyll is the green pigment found in plant cells that absorbs light energy for photosynthesis.,Plants,Photosynthesis
What is the banyan tree?,The process by which plants lose water vapor through their leaves,"India's national tree, known for its aerial roots",A tropical fruit and India's national fruit,The green pigment in plants responsible for absorbing light for photosynthesis,"B) India's national tree, known for its aerial roots","The banyan tree is India's national tree, notable for its extensive aerial roots that grow into new trunks.",Plants,Indian Plants
Which of the following best describes the banyan tree?,The part of a plant primarily responsible for photosynthesis,"India's national tree, known for its aerial roots",The part of a plant that absorbs water and nutrients from soil,"A plant adapted to store water, commonly found in deserts","B) India's national tree, known for its aerial roots","The banyan tree is India's national tree, notable for its extensive aerial roots that grow into new trunks.",Plants,Indian Plants
What is the lotus?,The part of a plant primarily responsible for photosynthesis,A small embryonic plant enclosed in a protective outer covering,"A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem","India's national flower, which grows in water","D) India's national flower, which grows in water","The lotus, India's national flower, grows in water and is a symbol of purity in Indian culture.",Plants,Flowers
Which of the following best describes the lotus?,A plant used for its therapeutic or healing properties,A tree that retains its leaves throughout the year,"India's national flower, which grows in water",The transfer of pollen from a male part to a female part of a flower,"C) India's national flower, which grows in water","The lotus, India's national flower, grows in water and is a symbol of purity in Indian culture.",Plants,Flowers
What is a medicinal plant?,The part of a plant primarily responsible for photosynthesis,The transfer of pollen from a male part to a female part of a flower,A plant used for its therapeutic or healing properties,The part of a plant that absorbs water and nutrients from soil,C) A plant used for its therapeutic or healing properties,Medicinal plants are used in traditional or modern medicine for their therapeutic and healing properties.,Plants,Medicinal Plants
Which of the following best describes a medicinal plant?,"A fragrant tree native to India, valued for its aromatic wood",The green pigment in plants responsible for absorbing light for photosynthesis,A tree that retains its leaves throughout the year,A plant used for its therapeutic or healing properties,D) A plant used for its therapeutic or healing properties,Medicinal plants are used in traditional or modern medicine for their therapeutic and healing properties.,Plants,Medicinal Plants
What is neem?,The transfer of pollen from a male part to a female part of a flower,"A medicinal tree native to India, valued for its antibacterial properties",A small embryonic plant enclosed in a protective outer covering,The green pigment in plants responsible for absorbing light for photosynthesis,"B) A medicinal tree native to India, valued for its antibacterial properties","Neem is a tree native to the Indian subcontinent, widely valued in traditional medicine for its antibacterial and antifungal properties.",Plants,Medicinal Plants
Which of the following best describes neem?,"A medicinal tree native to India, valued for its antibacterial properties",A small embryonic plant enclosed in a protective outer covering,"The mature, seed-bearing part of a flowering plant",The process by which plants lose water vapor through their leaves,"A) A medicinal tree native to India, valued for its antibacterial properties","Neem is a tree native to the Indian subcontinent, widely valued in traditional medicine for its antibacterial and antifungal properties.",Plants,Medicinal Plants
What is tulsi (holy basil)?,The reproductive structure of a flowering plant,A medicinal and sacred plant commonly grown in Indian households,"India's national flower, which grows in water",The part of a plant primarily responsible for photosynthesis,B) A medicinal and sacred plant commonly grown in Indian households,"Tulsi, or holy basil, is a medicinal plant considered sacred in India and commonly grown in households.",Plants,Medicinal Plants
Which of the following best describes tulsi (holy basil)?,The process by which a seed develops into a new plant,The part of a plant that supports leaves and flowers and transports nutrients,A medicinal and sacred plant commonly grown in Indian households,A small embryonic plant enclosed in a protective outer covering,C) A medicinal and sacred plant commonly grown in Indian households,"Tulsi, or holy basil, is a medicinal plant considered sacred in India and commonly grown in households.",Plants,Medicinal Plants
What is a fruit?,"The mature, seed-bearing part of a flowering plant",The part of a plant that absorbs water and nutrients from soil,The transfer of pollen from a male part to a female part of a flower,A medicinal and sacred plant commonly grown in Indian households,"A) The mature, seed-bearing part of a flowering plant","A fruit is the mature ovary of a flowering plant, typically containing seeds, that develops after fertilization.",Plants,Fruits
Which of the following best describes a fruit?,"The mature, seed-bearing part of a flowering plant",The process by which plants lose water vapor through their leaves,"India's national tree, known for its aerial roots","A tree that sheds its leaves seasonally, usually in autumn","A) The mature, seed-bearing part of a flowering plant","A fruit is the mature ovary of a flowering plant, typically containing seeds, that develops after fertilization.",Plants,Fruits
What is a vegetable?,A plant used for its therapeutic or healing properties,The part of a plant that absorbs water and nutrients from soil,"An edible part of a plant, such as its leaves, stems, or roots",The process by which a seed develops into a new plant,"C) An edible part of a plant, such as its leaves, stems, or roots","A vegetable is an edible plant part, such as leaves, stems, or roots, typically eaten as part of a meal.",Plants,Vegetables
Which of the following best describes a vegetable?,The transfer of pollen from a male part to a female part of a flower,"The mature, seed-bearing part of a flowering plant",The process by which a seed develops into a new plant,"An edible part of a plant, such as its leaves, stems, or roots","D) An edible part of a plant, such as its leaves, stems, or roots","A vegetable is an edible plant part, such as leaves, stems, or roots, typically eaten as part of a meal.",Plants,Vegetables
What is mango?,"India's national flower, which grows in water",A tropical fruit and India's national fruit,A tree that retains its leaves throughout the year,"The mature, seed-bearing part of a flowering plant",B) A tropical fruit and India's national fruit,"The mango is a tropical fruit widely grown in India, and is recognized as India's national fruit.",Plants,Fruits
Which of the following best describes mango?,"A plant adapted to store water, commonly found in deserts",The process by which plants lose water vapor through their leaves,The reproductive structure of a flowering plant,A tropical fruit and India's national fruit,D) A tropical fruit and India's national fruit,"The mango is a tropical fruit widely grown in India, and is recognized as India's national fruit.",Plants,Fruits
What is germination?,"A plant adapted to store water, commonly found in deserts",The process by which a seed develops into a new plant,A plant used for its therapeutic or healing properties,"A fragrant tree native to India, valued for its aromatic wood",B) The process by which a seed develops into a new plant,Germination is the process by which a seed sprouts and develops into a new seedling plant.,Plants,Plant Biology
Which of the following best describes germination?,A medicinal and sacred plant commonly grown in Indian households,A widely cultivated flower known for its fragrance and thorny stem,The process by which a seed develops into a new plant,A plant used for its therapeutic or healing properties,C) The process by which a seed develops into a new plant,Germination is the process by which a seed sprouts and develops into a new seedling plant.,Plants,Plant Biology
What is a deciduous tree?,A tropical fruit and India's national fruit,A widely cultivated flower known for its fragrance and thorny stem,"A tree that sheds its leaves seasonally, usually in autumn",A plant used for its therapeutic or healing properties,"C) A tree that sheds its leaves seasonally, usually in autumn","A deciduous tree sheds all of its leaves seasonally, typically during autumn, to conserve resources.",Plants,Trees
Which of the following best describes a deciduous tree?,"A tree that sheds its leaves seasonally, usually in autumn",The process by which plants use sunlight to make food from carbon dioxide and water,The process by which plants lose water vapor through their leaves,The reproductive structure of a flowering plant,"A) A tree that sheds its leaves seasonally, usually in autumn","A deciduous tree sheds all of its leaves seasonally, typically during autumn, to conserve resources.",Plants,Trees
What is an evergreen tree?,A medicinal and sacred plant commonly grown in Indian households,"India's national tree, known for its aerial roots",A tree that retains its leaves throughout the year,"The mature, seed-bearing part of a flowering plant",C) A tree that retains its leaves throughout the year,"An evergreen tree retains its green leaves throughout the year, rather than shedding them seasonally.",Plants,Trees
Which of the following best describes an evergreen tree?,The transfer of pollen from a male part to a female part of a flower,A tree that retains its leaves throughout the year,The part of a plant that absorbs water and nutrients from soil,"An edible part of a plant, such as its leaves, stems, or roots",B) A tree that retains its leaves throughout the year,"An evergreen tree retains its green leaves throughout the year, rather than shedding them seasonally.",Plants,Trees
What is a xerophyte?,"India's national tree, known for its aerial roots","A fragrant tree native to India, valued for its aromatic wood","A plant adapted to survive in dry, arid environments",The green pigment in plants responsible for absorbing light for photosynthesis,"C) A plant adapted to survive in dry, arid environments","A xerophyte is a plant adapted to survive with very little water, such as a cactus in a desert environment.",Plants,Plant Habitats
Which of the following best describes a xerophyte?,A plant used for its therapeutic or healing properties,"A plant adapted to survive in dry, arid environments",The reproductive structure of a flowering plant,The part of a plant that supports leaves and flowers and transports nutrients,"B) A plant adapted to survive in dry, arid environments","A xerophyte is a plant adapted to survive with very little water, such as a cactus in a desert environment.",Plants,Plant Habitats
What is the cactus?,The transfer of pollen from a male part to a female part of a flower,"A plant adapted to store water, commonly found in deserts","A tree that sheds its leaves seasonally, usually in autumn","An edible part of a plant, such as its leaves, stems, or roots","B) A plant adapted to store water, commonly found in deserts",The cactus is a desert plant adapted to store water in its thick stems and often has spines instead of leaves.,Plants,Plant Habitats
Which of the following best describes the cactus?,The reproductive structure of a flowering plant,"The mature, seed-bearing part of a flowering plant",The green pigment in plants responsible for absorbing light for photosynthesis,"A plant adapted to store water, commonly found in deserts","D) A plant adapted to store water, commonly found in deserts",The cactus is a desert plant adapted to store water in its thick stems and often has spines instead of leaves.,Plants,Plant Habitats
What is pollination?,The transfer of pollen from a male part to a female part of a flower,The reproductive structure of a flowering plant,"A plant adapted to survive in dry, arid environments",A small embryonic plant enclosed in a protective outer covering,A) The transfer of pollen from a male part to a female part of a flower,"Pollination is the transfer of pollen from the male part (anther) to the female part (stigma) of a flower, enabling fertilization.",Plants,Plant Biology
Which of the following best describes pollination?,The transfer of pollen from a male part to a female part of a flower,A tree that retains its leaves throughout the year,The process by which a seed develops into a new plant,The green pigment in plants responsible for absorbing light for photosynthesis,A) The transfer of pollen from a male part to a female part of a flower,"Pollination is the transfer of pollen from the male part (anther) to the female part (stigma) of a flower, enabling fertilization.",Plants,Plant Biology
What is a stem?,"A medicinal tree native to India, valued for its antibacterial properties","A plant adapted to survive in dry, arid environments",The part of a plant that supports leaves and flowers and transports nutrients,A tree that retains its leaves throughout the year,C) The part of a plant that supports leaves and flowers and transports nutrients,"A stem supports the leaves, flowers, and fruits of a plant, and transports water and nutrients throughout it.",Plants,Plant Biology
Which of the following best describes a stem?,The part of a plant that supports leaves and flowers and transports nutrients,"A medicinal tree native to India, valued for its antibacterial properties","India's national tree, known for its aerial roots",The process by which plants lose water vapor through their leaves,A) The part of a plant that supports leaves and flowers and transports nutrients,"A stem supports the leaves, flowers, and fruits of a plant, and transports water and nutrients throughout it.",Plants,Plant Biology
What is sandalwood?,The transfer of pollen from a male part to a female part of a flower,"India's national tree, known for its aerial roots","A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem","A fragrant tree native to India, valued for its aromatic wood","D) A fragrant tree native to India, valued for its aromatic wood","Sandalwood is a fragrant tree native to India, highly valued for its aromatic wood and oil.",Plants,Indian Plants
Which of the following best describes sandalwood?,A small embryonic plant enclosed in a protective outer covering,The process by which plants lose water vapor through their leaves,"A fragrant tree native to India, valued for its aromatic wood","A medicinal tree native to India, valued for its antibacterial properties","C) A fragrant tree native to India, valued for its aromatic wood","Sandalwood is a fragrant tree native to India, highly valued for its aromatic wood and oil.",Plants,Indian Plants
What is a flower?,The reproductive structure of a flowering plant,"India's national tree, known for its aerial roots","The mature, seed-bearing part of a flowering plant",A tropical fruit and India's national fruit,A) The reproductive structure of a flowering plant,"A flower is the reproductive structure of a flowering plant, often involved in attracting pollinators.",Plants,Flowers
Which of the following best describes a flower?,"India's national tree, known for its aerial roots",The reproductive structure of a flowering plant,"A tree that sheds its leaves seasonally, usually in autumn",The process by which plants lose water vapor through their leaves,B) The reproductive structure of a flowering plant,"A flower is the reproductive structure of a flowering plant, often involved in attracting pollinators.",Plants,Flowers
What is a herb?,"India's national tree, known for its aerial roots","A plant adapted to survive in dry, arid environments","A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem",The part of a plant that supports leaves and flowers and transports nutrients,"C) A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem","A herb is a plant valued for its flavor, fragrance, or medicinal properties, usually having a soft, non-woody stem.",Plants,Medicinal Plants
Which of the following best describes a herb?,A plant used for its therapeutic or healing properties,"A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem","India's national tree, known for its aerial roots",A widely cultivated flower known for its fragrance and thorny stem,"B) A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem","A herb is a plant valued for its flavor, fragrance, or medicinal properties, usually having a soft, non-woody stem.",Plants,Medicinal Plants
What is the rose?,"The mature, seed-bearing part of a flowering plant",The transfer of pollen from a male part to a female part of a flower,A widely cultivated flower known for its fragrance and thorny stem,"India's national flower, which grows in water",C) A widely cultivated flower known for its fragrance and thorny stem,The rose is a widely cultivated flowering plant known for its fragrant blooms and thorny stems.,Plants,Flowers
Which of the following best describes the rose?,"A medicinal tree native to India, valued for its antibacterial properties",A widely cultivated flower known for its fragrance and thorny stem,The process by which plants lose water vapor through their leaves,"An edible part of a plant, such as its leaves, stems, or roots",B) A widely cultivated flower known for its fragrance and thorny stem,The rose is a widely cultivated flowering plant known for its fragrant blooms and thorny stems.,Plants,Flowers
What is transpiration?,A widely cultivated flower known for its fragrance and thorny stem,"India's national tree, known for its aerial roots",The process by which plants lose water vapor through their leaves,"A plant valued for its flavor, scent, or medicinal properties, typically with a soft stem",C) The process by which plants lose water vapor through their leaves,Transpiration is the process by which water evaporates from a plant's leaves through small pores called stomata.,Plants,Plant Biology
