Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which scientist proposed the theory of relativity?,Albert Einstein,Niels Bohr,Galileo Galilei,Isaac Newton,A) Albert Einstein,"Albert Einstein developed the theory of relativity, revolutionizing the understanding of space, time, and gravity.",Science,Famous Scientists
What causes a rainbow?,Electric charges in clouds,Reflection of moonlight,Pollution in the atmosphere,Refraction and dispersion of sunlight through water droplets,D) Refraction and dispersion of sunlight through water droplets,"A rainbow forms when sunlight is refracted, dispersed, and reflected inside water droplets in the atmosphere.",Science,Physics
What is the chemical formula of water?,NaCl,CO₂,O₂,H₂O,D) H₂O,"Water is made of two hydrogen atoms and one oxygen atom, giving the formula H₂O.",Science,Chemistry
What is the process by which plants lose water through their leaves called?,Respiration,Transpiration,Germination,Photosynthesis,B) Transpiration,Transpiration is the process by which water evaporates from plant leaves through small pores called stomata.,Science,Biology
What gas do humans need for respiration?,Nitrogen,Carbon dioxide,Hydrogen,Oxygen,D) Oxygen,"Humans need oxygen for cellular respiration, which releases energy from food.",Science,Biology
Which organ pumps blood through the human body?,Kidney,Lungs,Liver,Heart,D) Heart,The heart is a muscular organ that pumps blood throughout the circulatory system.,Science,Human Science
Which option correctly answers this: What is the process of a solid turning directly into a gas called?,Sublimation,Metamorphosis,100°C,Heart,A) Sublimation,Sublimation is the process by which a solid changes directly into a gas without passing through a liquid state.,Science,Matter
Choose the correct answer: What is evaporation?,O,Isaac Newton,The process of a liquid turning into vapor,A community of living organisms interacting with their physical environment,C) The process of a liquid turning into vapor,"Evaporation is the process by which a liquid changes into a gas or vapor, typically due to heat.",Science,Earth Science
Quiz question: Which metal is liquid at room temperature?,Vitamin D,The Law of Inertia,Mercury,White blood cells,C) Mercury,Mercury is the only metal that exists in liquid form at standard room temperature.,Science,Chemistry
Quiz question: What is the process of a solid turning directly into a gas called?,Sublimation,To carry oxygen throughout the body,Solar energy,Charles Darwin,A) Sublimation,Sublimation is the process by which a solid changes directly into a gas without passing through a liquid state.,Science,Matter
Quiz question: Which blood cells help fight infection?,The genetic material that carries hereditary information,The process by which plants convert sunlight into chemical energy,White blood cells,Albert Einstein,C) White blood cells,White blood cells are part of the immune system and help the body fight infections.,Science,Biology
Quiz question: What is evaporation?,The movement of water molecules through a semi-permeable membrane,Dmitri Mendeleev,The process of a liquid turning into vapor,Alexander Fleming,C) The process of a liquid turning into vapor,"Evaporation is the process by which a liquid changes into a gas or vapor, typically due to heat.",Science,Earth Science
What is the unit of electrical resistance?,Ohm,Nitrogen,Seismology,To carry oxygen throughout the body,A) Ohm,"The unit of electrical resistance is the Ohm, symbolized by the Greek letter Omega.",Science,Physics
