Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which vitamin is essential for healthy bones and is produced through sunlight exposure?,Vitamin A,Vitamin D,Vitamin B12,Vitamin C,B) Vitamin D,"Vitamin D helps the body absorb calcium, supporting healthy bones, and is synthesized in the skin from sunlight.",Health & Human Body,Nutrition
Which organ produces insulin to regulate blood sugar?,The pancreas,The liver,The kidney,The stomach,A) The pancreas,"The pancreas produces insulin, a hormone that regulates blood sugar levels.",Health & Human Body,Human Organs
What is the main function of platelets in the blood?,To carry oxygen,To fight infection,To help blood clot and stop bleeding,To digest food,C) To help blood clot and stop bleeding,"Platelets help the blood clot, preventing excessive bleeding when a blood vessel is injured.",Health & Human Body,Blood
How many chambers does the human heart have?,Three,Four,Five,Two,B) Four,The human heart has four chambers: two atria and two ventricles.,Health & Human Body,Heart
What is the average number of teeth in a full adult human mouth?,32,28,36,30,A) 32,"A full set of adult (permanent) teeth typically numbers 32, including wisdom teeth.",Health & Human Body,Human Body Facts
Which body system is responsible for breathing?,The skeletal system,The nervous system,The digestive system,The respiratory system,D) The respiratory system,"The respiratory system, including the lungs, is responsible for breathing and gas exchange.",Health & Human Body,Respiratory System
Which organ pumps blood throughout the human body?,Liver,Heart,Lungs,Kidney,B) Heart,The heart is a muscular organ that pumps blood through the circulatory system.,Health & Human Body,Heart
What is the normal average resting heart rate for adults (beats per minute)?,150–180 bpm,60–100 bpm,30–50 bpm,120–150 bpm,B) 60–100 bpm,A normal resting heart rate for adults typically ranges from 60 to 100 beats per minute.,Health & Human Body,Heart
Which organ is responsible for filtering waste from the blood?,Lungs,Liver,Kidneys,Stomach,C) Kidneys,"The kidneys filter waste products and excess fluid from the blood, forming urine.",Health & Human Body,Human Organs
Which part of the digestive system primarily absorbs nutrients?,The stomach,The small intestine,The large intestine,The esophagus,B) The small intestine,The small intestine is the primary site for nutrient absorption in the digestive system.,Health & Human Body,Digestive System
Which system controls and coordinates body activities using electrical signals?,The digestive system,The skeletal system,The respiratory system,The nervous system,D) The nervous system,"The nervous system, including the brain and spinal cord, coordinates body activities using electrical signals.",Health & Human Body,Nervous System
Which gas do the lungs primarily take in during breathing?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,B) Oxygen,"The lungs take in oxygen from the air and release carbon dioxide, a waste product of respiration.",Health & Human Body,Respiratory System
What is the medical term for the human backbone?,The spine (vertebral column),The pelvis,The femur,The sternum,A) The spine (vertebral column),"The spine, or vertebral column, is the series of bones that supports the body and protects the spinal cord.",Health & Human Body,Skeleton
What is the basic unit of the nervous system called?,An axon,A cell,A neuron,A synapse,C) A neuron,"A neuron is the basic functional unit of the nervous system, transmitting electrical and chemical signals.",Health & Human Body,Nervous System
Which organ is primarily responsible for detoxifying alcohol in the body?,The kidney,The stomach,The pancreas,The liver,D) The liver,"The liver metabolizes and detoxifies substances like alcohol, breaking them down for elimination from the body.",Health & Human Body,Human Organs
