Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is castling?,A move where a pawn changes into a queen,"A special move involving the king and a rook, moving them simultaneously",A method of capturing en passant,Sacrificing the queen,"B) A special move involving the king and a rook, moving them simultaneously","Castling is a special move where the king moves two squares toward a rook, and the rook moves to the square next to the king.",Chess,Middlegame
What is a fork in chess?,A type of castling,A method of promoting a pawn,A move that blocks a check,A move where one piece attacks two or more opponent pieces at once,D) A move where one piece attacks two or more opponent pieces at once,A fork is a tactic where a single piece simultaneously attacks two or more of the opponent's pieces.,Chess,Chess Tactics
Which piece can only move one square in any direction (except when castling)?,The rook,The knight,The queen,The king,D) The king,"The king can move only one square in any direction, except during the special castling move.",Chess,Chess Pieces
How does a bishop move on the chessboard?,Horizontally and vertically,"Diagonally, any number of squares",In an L-shape,"Only forward, one square at a time","B) Diagonally, any number of squares",A bishop moves diagonally across the board any number of unblocked squares.,Chess,Chess Pieces
"What is the final phase of a chess game, with few pieces left, called?",Checkmate phase,The middlegame,The opening,The endgame,D) The endgame,"The 'endgame' is the final phase of a chess game, typically played with few pieces remaining on the board.",Chess,Endgame
How many points is a rook commonly assigned?,1,3,9,5,D) 5,"In standard piece valuation, the rook is worth approximately 5 points.",Chess,Chess Tactics
How many points is a bishop or knight commonly assigned?,5,9,3,1,C) 3,Both the bishop and knight are typically valued at around 3 points each.,Chess,Chess Tactics
How many pieces does each player start with?,14,12,18,16,D) 16,Each player begins a chess game with 16 pieces: 8 pawns and 8 other pieces.,Chess,Chess Pieces
How many points is a queen commonly assigned in chess piece valuation?,5,9,3,7,B) 9,"In standard piece valuation, the queen is worth approximately 9 points.",Chess,Chess Tactics
What is a gambit in chess?,A checkmate pattern,A type of endgame,A rule about pawn movement,An opening in which a player sacrifices material for positional advantage,D) An opening in which a player sacrifices material for positional advantage,A gambit is an opening strategy where a player intentionally sacrifices a pawn or piece for a positional or developmental advantage.,Chess,Chess Openings
How many pawns does each player have at the start?,10,8,6,12,B) 8,"Each player starts with 8 pawns, one in front of each other piece.",Chess,Chess Pieces
Who was the first Indian to become World Chess Champion?,R. Praggnanandhaa,Koneru Humpy,Viswanathan Anand,Pentala Harikrishna,C) Viswanathan Anand,"Viswanathan Anand became the first Indian World Chess Champion, holding the title in various formats from 2000 to 2013.",Chess,Chess Champions
Who is considered the World Chess Champion for the longest continuous reign in history?,Magnus Carlsen,Bobby Fischer,Garry Kasparov,Emanuel Lasker,D) Emanuel Lasker,"Emanuel Lasker held the World Chess Championship title for 27 years, from 1894 to 1921, the longest reign in history.",Chess,Chess Champions
How does a knight move on the chessboard?,Horizontally only,In an L-shape: two squares in one direction and one perpendicular,One square in any direction,Diagonally only,B) In an L-shape: two squares in one direction and one perpendicular,"A knight moves in an L-shape — two squares in one direction, then one square perpendicular — and can jump over other pieces.",Chess,Chess Pieces
Which chess piece can jump over other pieces?,The bishop,The rook,The knight,The queen,C) The knight,The knight is the only chess piece that can jump over other pieces on the board.,Chess,Chess Pieces
How does a rook move on the chessboard?,"Horizontally or vertically, any number of squares",Only one square at a time,In an L-shape,Diagonally only,"A) Horizontally or vertically, any number of squares",A rook moves any number of squares horizontally or vertically.,Chess,Chess Pieces
