Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"If 11:2 = x:8, find x.",38,44,47,46,B) 44,11:2 = x:8 → x = (11×8)/2 = 44.,Aptitude,Ratio & Proportion
"Find the average of 101, 100, 19, 32, 38.",58,60,66,53,A) 58,Sum = 290. Average = 290÷5 = 58.,Aptitude,Averages
"If 4:2 = x:8, find x.",16,14,11,12,A) 16,4:2 = x:8 → x = (4×8)/2 = 16.,Aptitude,Ratio & Proportion
"If 2:8 = x:64, find x.",16,24,17,9,A) 16,2:8 = x:64 → x = (2×64)/8 = 16.,Aptitude,Ratio & Proportion
A number multiplied by 5 gives 475. Find the number.,98,95,102,92,B) 95,Let the number be x. 5x = 475 → x = 95.,Aptitude,Number Problems
"A survey has results 80, 62, 29, 61 across four categories A, B, C, D respectively. What percentage of the total does Category D represent (rounded)?",31%,26%,21%,36%,B) 26%,Total = 232. Category D's share = (61/232)×100 ≈ 26%.,Aptitude,Data Interpretation
"A survey has results 74, 92, 84, 39 across four categories A, B, C, D respectively. What percentage of the total does Category D represent (rounded)?",18%,8%,23%,13%,D) 13%,Total = 289. Category D's share = (39/289)×100 ≈ 13%.,Aptitude,Data Interpretation
"A survey has results 73, 85, 93, 69 across four categories A, B, C, D respectively. What percentage of the total does Category B represent (rounded)?",32%,37%,22%,27%,D) 27%,Total = 320. Category B's share = (85/320)×100 ≈ 27%.,Aptitude,Data Interpretation
"A survey has results 70, 32, 76, 99 across four categories A, B, C, D respectively. What percentage of the total does Category B represent (rounded)?",12%,17%,22%,7%,A) 12%,Total = 277. Category B's share = (32/277)×100 ≈ 12%.,Aptitude,Data Interpretation
"If 11:3 = x:24, find x.",82,83,86,88,D) 88,11:3 = x:24 → x = (11×24)/3 = 88.,Aptitude,Ratio & Proportion
"A survey has results 46, 96, 82, 51 across four categories A, B, C, D respectively. What percentage of the total does Category C represent (rounded)?",30%,40%,25%,35%,A) 30%,Total = 275. Category C's share = (82/275)×100 ≈ 30%.,Aptitude,Data Interpretation
"Find the average of 17, 76, 72, 48, 52.",43,48,53,51,C) 53,Sum = 265. Average = 265÷5 = 53.,Aptitude,Averages
"Find the average of 96, 16, 24, 24, 25.",42,36,37,34,C) 37,Sum = 185. Average = 185÷5 = 37.,Aptitude,Averages
"If 3 workers complete a job in 12 days, how many worker-days are required for the job?",36,30,41,34,A) 36,Worker-days = number of workers × number of days = 3×12 = 36.,Aptitude,Time & Work
"Find the average of 41, 42, 43.",42,40,47,49,A) 42,Sum = 126. Average = 126÷3 = 42.,Aptitude,Averages
"A survey has results 67, 52, 45, 50 across four categories A, B, C, D respectively. What percentage of the total does Category C represent (rounded)?",21%,26%,16%,31%,A) 21%,Total = 214. Category C's share = (45/214)×100 ≈ 21%.,Aptitude,Data Interpretation
