Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"If CAT is coded as FDW (each letter shifted forward by 3), how is BREAD coded?",FVIEH,DTGCF,DAERB,EUHDG,D) EUHDG,Each letter in the code is shifted forward by 3 positions in the alphabet. Applying this to BREAD gives EUHDG.,Logical Reasoning,Coding-Decoding
"Which number does NOT belong with the others: 43, 93, 63, 4?",63,93,4,43,C) 4,"The other numbers share the property of being odd, while 4 does not.",Logical Reasoning,Odd One Out
"Find the next number in the series: 41, 54, 67, 80, 93, ?",110,118,99,106,D) 106,Each term increases by 13. Next term = 93 + 13 = 106.,Logical Reasoning,Number Series
"If FISH is coded as HKUJ (each letter shifted forward by 2), how is DESK coded?",GHVN,EFTL,FGUM,KSED,C) FGUM,Each letter in the code is shifted forward by 2 positions in the alphabet. Applying this to DESK gives FGUM.,Logical Reasoning,Coding-Decoding
"6 people E, B, D, A, C, G sit in a row. D sits immediately to the right of B. Who sits immediately to the left of D?",C,A,B,E,C) B,"Since D sits immediately to the right of B, B sits immediately to the left of D.",Logical Reasoning,Seating Arrangement
"4 people E, B, A, F sit in a row. B sits immediately to the right of E. Who sits immediately to the left of B?",A,B,F,E,D) E,"Since B sits immediately to the right of E, E sits immediately to the left of B.",Logical Reasoning,Seating Arrangement
"In a class of 8 students, Anita ranks 8th from the top. What is Anita's rank from the bottom?",3,4,1,2,C) 1,"If Anita ranks 8 from the top in a class of 8, their rank from the bottom = 8 - 8 + 1 = 1.",Logical Reasoning,Ranking
"Which of the following does NOT belong with the others: Lion, Tiger, Eagle, Leopard?",Leopard,Eagle,Lion,Tiger,B) Eagle,"Lion, Tiger, Leopard, Cheetah are all big cats, while Eagle is not, making it the odd one out.",Logical Reasoning,Classification
"Which number does NOT belong with the others: 2, 29, 8, 5?",2,5,29,8,D) 8,"The other numbers share the property of being prime, while 8 does not.",Logical Reasoning,Odd One Out
"Which number does NOT belong with the others: 105, 64, 144, 121?",64,144,121,105,D) 105,"The other numbers share the property of being square, while 105 does not.",Logical Reasoning,Odd One Out
"7 people D, A, B, F, C, E, G sit in a row. A sits immediately to the right of D. Who sits immediately to the left of A?",C,G,E,D,D) D,"Since A sits immediately to the right of D, D sits immediately to the left of A.",Logical Reasoning,Seating Arrangement
"A person walks 15 km north, then 20 km further north. How far is he from the starting point?",15 km,5 km,35 km,20 km,C) 35 km,Walking in the same direction adds the distances: 15 + 20 = 35 km.,Logical Reasoning,Direction Sense
"Find the next number in the series: 9, 19, 29, 39, 49, ?",68,62,59,58,C) 59,Each term increases by 10. Next term = 49 + 10 = 59.,Logical Reasoning,Number Series
"In a class of 8 students, Suresh ranks 6th from the top. What is Suresh's rank from the bottom?",6,5,1,3,D) 3,"If Suresh ranks 6 from the top in a class of 8, their rank from the bottom = 8 - 6 + 1 = 3.",Logical Reasoning,Ranking
"In a class of 9 students, Meena ranks 6th from the top. What is Meena's rank from the bottom?",3,6,1,4,D) 4,"If Meena ranks 6 from the top in a class of 9, their rank from the bottom = 9 - 6 + 1 = 4.",Logical Reasoning,Ranking
