Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Which fruit is technically classified as a berry, unlike strawberries which are not true berries botanically?",The banana,"It can regrow an entire lost arm, and some species can regenerate a whole body from just one arm",Sweden (the ICEHOTEL),Venus,A) The banana,"Botanically speaking, bananas are classified as true berries, while strawberries, surprisingly, are not.",Crazy Facts,Food Facts
Which option correctly answers this: What everyday item was originally invented as a wallpaper cleaner before becoming a children's toy?,It is often more related to mood and communication than simple camouflage,Play-Doh,Neptune,The Mariana Trench,B) Play-Doh,Play-Doh was originally created and marketed as a wallpaper cleaning product before being repurposed as a children's modeling toy.,Crazy Facts,Strange Inventions
"Which option correctly answers this: Which country is home to a hotel entirely constructed from blocks of ice, rebuilt annually?",The Great Barrier Reef,Honey,Sweden (the ICEHOTEL),It can perceive a far wider range of colors than humans,C) Sweden (the ICEHOTEL),"Sweden is home to the famous ICEHOTEL, a hotel built entirely from ice and snow, reconstructed every year.",Crazy Facts,Unusual Places
Quiz question: Which is the only ocean that touches all of Earth's other major oceans?,The Southern Ocean (surrounding Antarctica),Venus,English,"It can revert its cells to an earlier stage of life, effectively avoiding natural death",A) The Southern Ocean (surrounding Antarctica),"The Southern Ocean, surrounding Antarctica, connects to and touches the Pacific, Atlantic, and Indian Oceans.",Crazy Facts,Ocean Facts
Which country has the most time zones due to its overseas territories?,Chess,France,The banana,Neptune,B) France,"France has the most time zones of any country in the world, largely due to its various overseas territories.",Crazy Facts,World Facts
Which option correctly answers this: What is unusual about how a chameleon primarily changes its skin color?,It can perceive a far wider range of colors than humans,It is often more related to mood and communication than simple camouflage,The Mariana Trench,The ant,B) It is often more related to mood and communication than simple camouflage,"Contrary to popular belief, a chameleon's color change is often more related to mood, temperature, and communication than to simple camouflage.",Crazy Facts,Weird Animal Facts
"Which option correctly answers this: What technological device was invented before the traditional computer mouse but is much older, involving punched holes?",English,The punch card,Venus,Neptune,B) The punch card,"Punch cards, used for programming and data storage, predate the computer mouse by many decades, originating in the 19th century.",Crazy Facts,Technology Facts
Choose the correct answer: Which animal can sleep for up to three years at a time in a form of hibernation-like state?,Play-Doh,The bat,The snail,Neptune,C) The snail,"Certain snail species can enter a dormant, hibernation-like state and survive for up to three years without eating.",Crazy Facts,Weird Animal Facts
Choose the correct answer: Which country has the most time zones due to its overseas territories?,France,Chess,"It can regrow an entire lost arm, and some species can regenerate a whole body from just one arm",It is often more related to mood and communication than simple camouflage,A) France,"France has the most time zones of any country in the world, largely due to its various overseas territories.",Crazy Facts,World Facts
What is unusual about the mantis shrimp's ability related to vision?,It can perceive a far wider range of colors than humans,The Great Barrier Reef,"Saturn is less dense than water, meaning it would theoretically float",The snail,A) It can perceive a far wider range of colors than humans,"The mantis shrimp has one of the most complex visual systems known, able to perceive a vastly wider range of colors than humans.",Crazy Facts,Weird Animal Facts
"Which option correctly answers this: What is the largest living structure on Earth, visible even from space?","About 300,000 kilometers per second",The Great Barrier Reef,The bat,Honey,B) The Great Barrier Reef,"The Great Barrier Reef, off the coast of Australia, is the largest living structure on Earth and is visible from space.",Crazy Facts,World Facts
Approximately how fast does light travel in a vacuum?,Neptune,"About 300,000 kilometers per second",The Great Barrier Reef,Chess,"B) About 300,000 kilometers per second","Light travels at approximately 300,000 kilometers per second in a vacuum, making it the fastest known speed in the universe.",Crazy Facts,Crazy Science Facts
"What technological device was invented before the traditional computer mouse but is much older, involving punched holes?",The banana,Sweden (the ICEHOTEL),The punch card,Neptune,C) The punch card,"Punch cards, used for programming and data storage, predate the computer mouse by many decades, originating in the 19th century.",Crazy Facts,Technology Facts
Quiz question: What is unusual about a starfish's ability to regenerate?,Chess,Honey,"It can regrow an entire lost arm, and some species can regenerate a whole body from just one arm",Meghalaya (near Mawsynram and Cherrapunji),"C) It can regrow an entire lost arm, and some species can regenerate a whole body from just one arm","Starfish have a remarkable ability to regenerate lost limbs, and in some species, an entirely new starfish can regrow from a single detached arm.",Crazy Facts,Weird Animal Facts
Which option correctly answers this: Which record-breaking natural landmark is the deepest point in the world's oceans?,The Mariana Trench,Honey,The Great Barrier Reef,"Octopus blood is blue, due to a copper-based protein rather than iron-based hemoglobin",A) The Mariana Trench,"The Mariana Trench, in the Pacific Ocean, is the deepest known point in any of Earth's oceans.",Crazy Facts,Record-Breaking Facts
