Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Using linear search, what is the index (0-based) of 176 in the array [169, 71, 176, 117, 138, 126, 197, 93, 184, 77]?",4,2,3,1,B) 2,"Linear search checks each element in order; 176 is found at index 2 (0-based) in [169, 71, 176, 117, 138, 126, 197, 93, 184, 77].",Algorithms & Data Structures,Searching
"Using binary search on the sorted array [51, 81, 100, 121, 165, 229, 234, 251, 347, 353, 354, 380, 425, 441, 456], how many comparisons are needed to find 100?",2,6,3,4,D) 4,Binary search halves the search space each comparison; finding 100 in this array takes 4 comparison(s).,Algorithms & Data Structures,Searching
A stack starts empty. After performing: push(6); push(37); pop(); push(8); push(89); push(4) — what is on top of the stack?,79,43,95,4,D) 4,Following LIFO order through these operations leaves 4 on top of the stack.,Algorithms & Data Structures,Stacks
What is algorithm complexity?,An operation that adds an element to the top of a stack,A measure of how an algorithm's running time grows with input size,A measure of the resources (time or space) an algorithm requires,A divide-and-conquer sorting algorithm that uses a pivot element,C) A measure of the resources (time or space) an algorithm requires,Algorithm complexity measures how the time or space required by an algorithm grows with the size of its input.,Algorithms & Data Structures,Algorithm Complexity
A stack starts empty. After performing: push(47); push(15); push(69); push(94) — what is on top of the stack?,77,9,36,94,D) 94,Following LIFO order through these operations leaves 94 on top of the stack.,Algorithms & Data Structures,Stacks
"Using linear search, what is the index (0-based) of 115 in the array [96, 78, 34, 115, 109]?",0,3,1,5,B) 3,"Linear search checks each element in order; 115 is found at index 3 (0-based) in [96, 78, 34, 115, 109].",Algorithms & Data Structures,Searching
A stack starts empty. After performing: push(59); push(8); push(64); push(28); push(11) — what is on top of the stack?,11,41,60,34,A) 11,Following LIFO order through these operations leaves 11 on top of the stack.,Algorithms & Data Structures,Stacks
"Using binary search on the sorted array [22, 60, 88, 102, 123, 142, 145, 151, 162, 173, 186, 208, 258, 265, 270, 283, 298, 309, 329, 343, 348, 356, 365, 380, 394, 395, 408, 424, 440, 442, 465], how many comparisons are needed to find 145?",6,5,4,3,B) 5,Binary search halves the search space each comparison; finding 145 in this array takes 5 comparison(s).,Algorithms & Data Structures,Searching
A queue starts empty. After performing: enqueue(5); enqueue(43); dequeue(); dequeue(); enqueue(27); dequeue() — what is at the front of the queue?,32,18,Queue is empty,40,C) Queue is empty,Following FIFO order through these operations leaves Queue is empty at the front of the queue.,Algorithms & Data Structures,Queues
A stack starts empty. After performing: push(20); pop(); push(79); push(20); push(20) — what is on top of the stack?,45,92,20,69,C) 20,Following LIFO order through these operations leaves 20 on top of the stack.,Algorithms & Data Structures,Stacks
A stack starts empty. After performing: push(74); push(50); pop(); pop() — what is on top of the stack?,20,Stack is empty,52,28,B) Stack is empty,Following LIFO order through these operations leaves Stack is empty on top of the stack.,Algorithms & Data Structures,Stacks
