Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is HTML?,A pattern used to select and style HTML elements,A system used to store and manage data for a web application,"HyperText Markup Language, used to structure content on web pages",A set of rules that allows different software systems to communicate,"C) HyperText Markup Language, used to structure content on web pages",HTML (HyperText Markup Language) is the standard markup language used to structure content on web pages.,Web Development,HTML
Which of the following best describes HTML?,"HyperText Markup Language, used to structure content on web pages",Small pieces of data stored by a browser to remember information about a user,"Uniform Resource Locator, the address of a resource on the web",A human-readable address used to identify a website,"A) HyperText Markup Language, used to structure content on web pages",HTML (HyperText Markup Language) is the standard markup language used to structure content on web pages.,Web Development,HTML
What is CSS?,A programming language used to add interactivity to web pages,A markup element used to define the structure of content,A web security vulnerability that allows attackers to interfere with database queries,"Cascading Style Sheets, used to style and layout web pages","D) Cascading Style Sheets, used to style and layout web pages",CSS (Cascading Style Sheets) is used to control the appearance and layout of HTML elements on a web page.,Web Development,CSS
Which of the following best describes CSS?,A human-readable address used to identify a website,A web security vulnerability allowing attackers to inject malicious scripts,"Document Object Model, a programming representation of a web page's structure","Cascading Style Sheets, used to style and layout web pages","D) Cascading Style Sheets, used to style and layout web pages",CSS (Cascading Style Sheets) is used to control the appearance and layout of HTML elements on a web page.,Web Development,CSS
What is JavaScript?,"HyperText Markup Language, used to structure content on web pages","Uniform Resource Locator, the address of a resource on the web",A set of rules that allows different software systems to communicate,A programming language used to add interactivity to web pages,D) A programming language used to add interactivity to web pages,JavaScript is a scripting language used to add interactivity and dynamic behavior to web pages.,Web Development,JavaScript
Which of the following best describes JavaScript?,A programming language used to add interactivity to web pages,"A digital certificate used to enable secure, encrypted connections",A human-readable address used to identify a website,A web security vulnerability allowing attackers to inject malicious scripts,A) A programming language used to add interactivity to web pages,JavaScript is a scripting language used to add interactivity and dynamic behavior to web pages.,Web Development,JavaScript
What is a URL?,An API design style using standard HTTP methods to access resources,"Uniform Resource Locator, the address of a resource on the web",A reusable block of code that performs a specific task,A set of rules that allows different software systems to communicate,"B) Uniform Resource Locator, the address of a resource on the web","A URL (Uniform Resource Locator) is the address used to locate a resource, such as a webpage, on the internet.",Web Development,Frontend
Which of the following best describes a URL?,"Cascading Style Sheets, used to style and layout web pages","Uniform Resource Locator, the address of a resource on the web","HyperText Markup Language, used to structure content on web pages",A generic container used to group content in HTML,"B) Uniform Resource Locator, the address of a resource on the web","A URL (Uniform Resource Locator) is the address used to locate a resource, such as a webpage, on the internet.",Web Development,Frontend
What is HTTP?,A programming language used to add interactivity to web pages,A web security vulnerability that allows attackers to interfere with database queries,"JavaScript Object Notation, a lightweight format for data exchange","HyperText Transfer Protocol, used to transfer data between browsers and servers","D) HyperText Transfer Protocol, used to transfer data between browsers and servers",HTTP (HyperText Transfer Protocol) is the protocol used to transfer data between a web browser and a server.,Web Development,Backend
