Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is a language learning app?,"An app designed to help users manage tasks, notes, or documents",A digital marketplace where users can download mobile apps,An app designed to help users learn a new language,An app that allows users to listen to music online without downloading files,C) An app designed to help users learn a new language,"A language learning app, like Duolingo, helps users learn a new language through interactive lessons and exercises.",Mobile & Apps,Education Apps
What is a casual mobile game?,A widely used navigation and mapping app developed by Google,"A simple, easy-to-learn game designed for short play sessions on mobile",The official app marketplace for iOS devices,The official app marketplace for Android devices,"B) A simple, easy-to-learn game designed for short play sessions on mobile","A casual mobile game is designed to be simple and easy to learn, suited for short play sessions on the go.",Mobile & Apps,Mobile Gaming
a productivity app can be best defined as which of the following?,An app that allows users to perform banking transactions from their phone,An app used to book a car ride from a driver nearby,"An app designed to help users manage tasks, notes, or documents",An app designed to detect and remove malware from a smartphone,"C) An app designed to help users manage tasks, notes, or documents","A productivity app, like a note-taking or task management tool, helps users organize their work and personal tasks.",Mobile & Apps,Productivity Apps
Which option best explains the meaning of early mobile app stores?,"A simple, easy-to-learn game designed for short play sessions on mobile",The official app marketplace for Android devices,A permission that allows an app to access a device's GPS location,Digital marketplaces for apps that emerged in the late 2000s alongside smartphones,D) Digital marketplaces for apps that emerged in the late 2000s alongside smartphones,"Early mobile app stores emerged in the late 2000s, following the rise of smartphones like the iPhone and early Android devices.",Mobile & Apps,App History
Which option best explains the meaning of Android?,"An app used to manage money, budgeting, or banking on a mobile device","A simple, easy-to-learn game designed for short play sessions on mobile",An app designed to help users learn new skills or subjects,"A mobile operating system based on the Linux kernel, developed by Google","D) A mobile operating system based on the Linux kernel, developed by Google","Android is a mobile operating system based on the Linux kernel, developed primarily by Google.",Mobile & Apps,Android
Which statement correctly explains a mobile processor (chipset)?,The main chip that powers a smartphone's computing tasks,A permission that allows an app to access a device's GPS location,A software program designed to run on a mobile device,An app used to send text messages and media over the internet,A) The main chip that powers a smartphone's computing tasks,"A mobile processor, or chipset, is the main chip responsible for handling computing tasks on a smartphone.",Mobile & Apps,Mobile Hardware
Choose the correct definition of a popular ride-hailing app.,An app used to book a car ride from a driver nearby,A social media app primarily focused on sharing photos and videos,An app that provides directions and maps for travel,An app designed to help users learn a new language,A) An app used to book a car ride from a driver nearby,"A ride-hailing app, like Uber, connects users with nearby drivers to book and pay for car rides through their phone.",Mobile & Apps,Popular Apps
Choose the correct definition of a mobile calendar app.,A software program designed to run on a mobile device,"An app designed to provide media like videos, music, or games for enjoyment","An app used to schedule and track events, appointments, and reminders",Measures taken to protect smartphones and their data from threats,"C) An app used to schedule and track events, appointments, and reminders","A mobile calendar app helps users schedule and keep track of events, appointments, and reminders.",Mobile & Apps,Productivity Apps
What is an app store?,A digital marketplace where users can download mobile apps,"An app that allows users to connect, share content, and communicate publicly or privately",Settings that control what data and features an app can access on a device,The mobile operating system developed by Apple for iPhones,A) A digital marketplace where users can download mobile apps,"An app store is a digital marketplace, like the Google Play Store or Apple App Store, where users browse and download apps.",Mobile & Apps,App Stores
What is app permissions?,An app designed to help users learn new skills or subjects,Settings that control what data and features an app can access on a device,An app designed to detect and remove malware from a smartphone,"A display that responds to touch, used as the primary input on smartphones",B) Settings that control what data and features an app can access on a device,"App permissions are settings that control what data (like camera, contacts, or location) an installed app is allowed to access.",Mobile & Apps,App Permissions
Choose the correct definition of a SIM card.,The official app marketplace for Android devices,"Released by Apple in 2007, considered a landmark device in smartphone history",A digital marketplace where users can download mobile apps,A small card that identifies a subscriber on a mobile network,D) A small card that identifies a subscriber on a mobile network,A SIM card is a small chip inserted into a phone that identifies the subscriber and connects them to a mobile network.,Mobile & Apps,Mobile Hardware
Which of the following best describes an education app?,An app designed to help users learn new skills or subjects,An app designed to help users learn a new language,"An app designed to provide media like videos, music, or games for enjoyment","A mobile operating system based on the Linux kernel, developed by Google",A) An app designed to help users learn new skills or subjects,"An education app is designed to help users learn new skills, languages, or academic subjects through mobile devices.",Mobile & Apps,Education Apps
What is a popular food delivery app?,An app used to order food from restaurants for delivery,An app designed to detect and remove malware from a smartphone,"A display that responds to touch, used as the primary input on smartphones",A digital marketplace where users can download mobile apps,A) An app used to order food from restaurants for delivery,A food delivery app allows users to browse restaurant menus and order food for delivery directly to their location.,Mobile & Apps,Popular Apps
What is a social media app?,An app used to send text messages and media over the internet,"Released by Apple in 2007, considered a landmark device in smartphone history","An app that allows users to connect, share content, and communicate publicly or privately",A social media app primarily focused on sharing photos and videos,"C) An app that allows users to connect, share content, and communicate publicly or privately","A social media app, like Instagram or Facebook, allows users to connect with others, share content, and communicate.",Mobile & Apps,Social Media Apps
Which statement correctly explains a popular food delivery app?,The main chip that powers a smartphone's computing tasks,An app used to order food from restaurants for delivery,An app that provides directions and maps for travel,"An app designed to provide media like videos, music, or games for enjoyment",B) An app used to order food from restaurants for delivery,A food delivery app allows users to browse restaurant menus and order food for delivery directly to their location.,Mobile & Apps,Popular Apps
the Google Play Store can be best defined as which of the following?,A mobile phone with advanced computing capability and internet access,An app designed to help users learn new skills or subjects,The official app marketplace for Android devices,Settings that control what data and features an app can access on a device,C) The official app marketplace for Android devices,"The Google Play Store is the official app marketplace where Android users can download apps, games, and other content.",Mobile & Apps,App Stores
a mobile antivirus app can be best defined as which of the following?,An app designed to detect and remove malware from a smartphone,The main chip that powers a smartphone's computing tasks,The official app marketplace for Android devices,Playing video games on a smartphone or tablet,A) An app designed to detect and remove malware from a smartphone,A mobile antivirus app scans for and removes malicious software that could threaten a smartphone's security.,Mobile & Apps,Mobile Security
Choose the correct definition of an app store.,"A mobile operating system based on the Linux kernel, developed by Google",A digital marketplace where users can download mobile apps,The mobile operating system developed by Apple for iPhones,Measures taken to protect smartphones and their data from threats,B) A digital marketplace where users can download mobile apps,"An app store is a digital marketplace, like the Google Play Store or Apple App Store, where users browse and download apps.",Mobile & Apps,App Stores
