Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"What is the average of 33, 70, 38, 15, 84?",40,51,43,48,D) 48,Sum = 240. Average = 240÷5 = 48.,Mental Math,Averages
What is 114.43 - 42.61?,69.94,74.73,71.82,78.34,C) 71.82,114.43 - 42.61 = 71.82.,Mental Math,Decimals
What is 473 + 646?,1245,1119,1169,1244,B) 1119,473 + 646 = 1119.,Mental Math,Quick Addition
"What is the average of 5, 54, 79, 68, 49?",49,46,45,51,D) 51,Sum = 255. Average = 255÷5 = 51.,Mental Math,Averages
"If it is 4:45, what time will it be after 73 minutes (12-hour clock, ignoring AM/PM)?",5:13,5:58,6:58,4:58,B) 5:58,Adding 73 minutes to 4:45 gives 5:58.,Mental Math,Time Calculations
"If it is 4:45, what time will it be after 52 minutes (12-hour clock, ignoring AM/PM)?",6:37,4:37,5:37,5:52,C) 5:37,Adding 52 minutes to 4:45 gives 5:37.,Mental Math,Time Calculations
₹184 is divided in the ratio 10:13. What is the first share?,82,80,79,64,B) 80,Total parts = 10+13 = 23. One part = 184÷23 = 8. First share = 10×8 = 80.,Mental Math,Ratios
"What is the average of 89, 49, 27?",63,51,55,60,C) 55,Sum = 165. Average = 165÷3 = 55.,Mental Math,Averages
"If it is 1:15, what time will it be after 67 minutes (12-hour clock, ignoring AM/PM)?",1:22,3:22,2:37,2:22,D) 2:22,Adding 67 minutes to 1:15 gives 2:22.,Mental Math,Time Calculations
What is 152.5 + 26.79?,179.29,187.57,180.0,175.38,A) 179.29,152.5 + 26.79 = 179.29.,Mental Math,Decimals
Round 7704 to the nearest hundred.,7707,7700,7839,7507,B) 7700,7704 rounded to the nearest hundred is 7700.,Mental Math,Estimation
What is 42²?,1764,1827,1683,1593,A) 1764,42² = 42 × 42 = 1764.,Mental Math,Squares
"What is the average of 51, 36, 3, 42?",29,36,33,27,C) 33,Sum = 132. Average = 132÷4 = 33.,Mental Math,Averages
What is 836 + 538?,1230,1374,1328,1310,B) 1374,836 + 538 = 1374.,Mental Math,Quick Addition
"What is the average of 11, 87, 89, 57?",61,65,52,51,A) 61,Sum = 244. Average = 244÷4 = 61.,Mental Math,Averages
"What is the average of 10, 94, 21, 75?",43,50,57,56,B) 50,Sum = 200. Average = 200÷4 = 50.,Mental Math,Averages
Round 5969 to the nearest hundred.,6070,6000,6171,5958,B) 6000,5969 rounded to the nearest hundred is 6000.,Mental Math,Estimation
What is 77.13 - 64.97?,8.19,17.18,12.16,13.29,C) 12.16,77.13 - 64.97 = 12.16.,Mental Math,Decimals
What is 238 + 100?,370,338,361,369,B) 338,238 + 100 = 338.,Mental Math,Quick Addition
What is 15% of 1000?,174,120,154,150,D) 150,15% of 1000 = (15/100) × 1000 = 150.,Mental Math,Percentages
"If it is 10:00, what time will it be after 26 minutes (12-hour clock, ignoring AM/PM)?",10:41,9:26,10:26,11:26,C) 10:26,Adding 26 minutes to 10:00 gives 10:26.,Mental Math,Time Calculations
What is 593 - 199?,387,394,420,360,B) 394,593 - 199 = 394.,Mental Math,Quick Subtraction
"What is the average of 95, 72, 17, 6, 60?",50,47,44,46,A) 50,Sum = 250. Average = 250÷5 = 50.,Mental Math,Averages
What is 75 + 262?,300,378,368,337,D) 337,75 + 262 = 337.,Mental Math,Quick Addition
"If it is 9:30, what time will it be after 114 minutes (12-hour clock, ignoring AM/PM)?",11:39,11:24,12:24,10:24,B) 11:24,Adding 114 minutes to 9:30 gives 11:24.,Mental Math,Time Calculations
"What is the average of 87, 77, 23, 92, 21?",60,67,65,57,A) 60,Sum = 300. Average = 300÷5 = 60.,Mental Math,Averages
"What is the average of 3, 78, 81, 39, 34?",47,45,48,51,A) 47,Sum = 235. Average = 235÷5 = 47.,Mental Math,Averages
What is 40 × 11?,497,482,440,488,C) 440,40 × 11 = 440.,Mental Math,Quick Multiplication
What is 969 - 452?,517,483,510,566,A) 517,969 - 452 = 517.,Mental Math,Quick Subtraction
"What is the average of 14, 88, 86, 18, 34?",48,52,45,54,A) 48,Sum = 240. Average = 240÷5 = 48.,Mental Math,Averages
₹46 is divided in the ratio 9:14. What is the first share?,18,17,16,19,A) 18,Total parts = 9+14 = 23. One part = 46÷23 = 2. First share = 9×2 = 18.,Mental Math,Ratios
"If it is 11:45, what time will it be after 145 minutes (12-hour clock, ignoring AM/PM)?",3:10,2:25,2:10,1:10,C) 2:10,Adding 145 minutes to 11:45 gives 2:10.,Mental Math,Time Calculations
What is 403 - 247?,150,156,153,155,B) 156,403 - 247 = 156.,Mental Math,Quick Subtraction
What is 390 + 984?,1374,1314,1427,1475,A) 1374,390 + 984 = 1374.,Mental Math,Quick Addition
Round 8705 to the nearest hundred.,8788,8846,8525,8700,D) 8700,8705 rounded to the nearest hundred is 8700.,Mental Math,Estimation
What is 857 - 418?,439,448,482,456,A) 439,857 - 418 = 439.,Mental Math,Quick Subtraction
"If it is 9:00, what time will it be after 91 minutes (12-hour clock, ignoring AM/PM)?",10:46,11:31,10:31,9:31,C) 10:31,Adding 91 minutes to 9:00 gives 10:31.,Mental Math,Time Calculations
"What is the average of 33, 46, 28, 57, 16?",36,30,33,34,A) 36,Sum = 180. Average = 180÷5 = 36.,Mental Math,Averages
"If it is 8:30, what time will it be after 161 minutes (12-hour clock, ignoring AM/PM)?",12:11,11:11,11:26,10:11,B) 11:11,Adding 161 minutes to 8:30 gives 11:11.,Mental Math,Time Calculations
"What is the average of 87, 10, 87, 58, 68?",51,67,64,62,D) 62,Sum = 310. Average = 310÷5 = 62.,Mental Math,Averages
Round 1016 to the nearest hundred.,884,1020,1180,1000,D) 1000,1016 rounded to the nearest hundred is 1000.,Mental Math,Estimation
"If it is 10:15, what time will it be after 162 minutes (12-hour clock, ignoring AM/PM)?",1:57,12:57,11:57,12:12,B) 12:57,Adding 162 minutes to 10:15 gives 12:57.,Mental Math,Time Calculations
What is 64.69 - 54.77?,9.92,16.19,12.77,7.77,A) 9.92,64.69 - 54.77 = 9.92.,Mental Math,Decimals
What is 30²?,900,776,820,814,A) 900,30² = 30 × 30 = 900.,Mental Math,Squares
₹32 is divided in the ratio 9:7. What is the larger share (assuming 9>7 scaled)?,17,18,21,16,B) 18,Total parts = 9+7 = 16. One part = 32÷16 = 2. First share = 9×2 = 18.,Mental Math,Ratios
What is √484?,25,27,21,22,D) 22,"√484 = 22, because 22 × 22 = 484.",Mental Math,Square Roots
What is 23 + 870?,842,916,893,998,C) 893,23 + 870 = 893.,Mental Math,Quick Addition
"If it is 4:30, what time will it be after 77 minutes (12-hour clock, ignoring AM/PM)?",5:02,4:47,6:47,5:47,D) 5:47,Adding 77 minutes to 4:30 gives 5:47.,Mental Math,Time Calculations
What is 26 × 43?,1121,1203,1006,1118,D) 1118,26 × 43 = 1118.,Mental Math,Quick Multiplication
Round 5765 to the nearest hundred.,5800,5872,5798,5804,A) 5800,5765 rounded to the nearest hundred is 5800.,Mental Math,Estimation
What is 92.22 - 2.48?,89.74,98.32,94.3,86.35,A) 89.74,92.22 - 2.48 = 89.74.,Mental Math,Decimals
"What is the average of 71, 20, 31, 45, 48?",44,43,39,48,B) 43,Sum = 215. Average = 215÷5 = 43.,Mental Math,Averages
What is 1725 ÷ 23?,65,60,75,85,C) 75,"1725 ÷ 23 = 75, since 23 × 75 = 1725.",Mental Math,Quick Division
What is 106.82 - 18.47?,90.81,88.35,85.2,93.86,B) 88.35,106.82 - 18.47 = 88.35.,Mental Math,Decimals
What is 290 ÷ 10?,27,30,29,32,C) 29,"290 ÷ 10 = 29, since 10 × 29 = 290.",Mental Math,Quick Division
"If one item costs ₹300, what is the total cost of 7 items?",₹2100,₹2150,₹2400,₹1800,A) ₹2100,Total cost = price × quantity = ₹300 × 7 = ₹2100.,Mental Math,Money Calculations
What is 728 + 305?,1135,1058,1033,920,C) 1033,728 + 305 = 1033.,Mental Math,Quick Addition
What is 463 - 44?,447,460,463,419,D) 419,463 - 44 = 419.,Mental Math,Quick Subtraction
"If it is 10:45, what time will it be after 116 minutes (12-hour clock, ignoring AM/PM)?",11:41,12:56,1:41,12:41,D) 12:41,Adding 116 minutes to 10:45 gives 12:41.,Mental Math,Time Calculations
What is 853 - 480?,347,373,369,387,B) 373,853 - 480 = 373.,Mental Math,Quick Subtraction
What is 160.91 - 52.03?,113.99,108.88,110.28,105.51,B) 108.88,160.91 - 52.03 = 108.88.,Mental Math,Decimals
What is 190.83 - 85.84?,102.96,104.99,112.07,107.33,B) 104.99,190.83 - 85.84 = 104.99.,Mental Math,Decimals
What is 768 - 244?,483,587,524,585,C) 524,768 - 244 = 524.,Mental Math,Quick Subtraction
What is 26 × 50?,1300,1216,1142,1498,A) 1300,26 × 50 = 1300.,Mental Math,Quick Multiplication
"What is the average of 77, 51, 30, 94?",71,53,67,63,D) 63,Sum = 252. Average = 252÷4 = 63.,Mental Math,Averages
"If it is 11:15, what time will it be after 178 minutes (12-hour clock, ignoring AM/PM)?",2:28,2:13,1:13,3:13,B) 2:13,Adding 178 minutes to 11:15 gives 2:13.,Mental Math,Time Calculations
"What is the average of 7, 65, 57, 19?",40,44,34,37,D) 37,Sum = 148. Average = 148÷4 = 37.,Mental Math,Averages
Round 1558 to the nearest hundred.,1424,1533,1600,1708,C) 1600,1558 rounded to the nearest hundred is 1600.,Mental Math,Estimation
Round 2987 to the nearest hundred.,2991,3022,3000,3083,C) 3000,2987 rounded to the nearest hundred is 3000.,Mental Math,Estimation
"If it is 8:30, what time will it be after 127 minutes (12-hour clock, ignoring AM/PM)?",10:52,9:37,10:37,11:37,C) 10:37,Adding 127 minutes to 8:30 gives 10:37.,Mental Math,Time Calculations
"If one item costs ₹150, what is the total cost of 7 items?",₹1100,₹1200,₹1050,₹900,C) ₹1050,Total cost = price × quantity = ₹150 × 7 = ₹1050.,Mental Math,Money Calculations
What is 1943 ÷ 29?,67,77,55,65,A) 67,"1943 ÷ 29 = 67, since 29 × 67 = 1943.",Mental Math,Quick Division
What is 3/6 + 1/6 in simplest form?,2/3,4/6,3/3,1/3,A) 2/3,3/6 + 1/6 = 4/6 = 2/3 in simplest form.,Mental Math,Fractions
"If it is 3:30, what time will it be after 66 minutes (12-hour clock, ignoring AM/PM)?",4:51,5:36,3:36,4:36,D) 4:36,Adding 66 minutes to 3:30 gives 4:36.,Mental Math,Time Calculations
What is 156.59 - 27.77?,130.35,128.82,124.25,135.65,B) 128.82,156.59 - 27.77 = 128.82.,Mental Math,Decimals
What is 2125 ÷ 25?,85,91,78,77,A) 85,"2125 ÷ 25 = 85, since 25 × 85 = 2125.",Mental Math,Quick Division
"What is the average of 93, 72, 63, 12?",71,51,52,60,D) 60,Sum = 240. Average = 240÷4 = 60.,Mental Math,Averages
What is 849 - 295?,588,554,567,516,B) 554,849 - 295 = 554.,Mental Math,Quick Subtraction
What is 510 ÷ 17?,23,30,29,33,B) 30,"510 ÷ 17 = 30, since 17 × 30 = 510.",Mental Math,Quick Division
"If it is 2:15, what time will it be after 103 minutes (12-hour clock, ignoring AM/PM)?",2:58,3:58,3:13,4:58,B) 3:58,Adding 103 minutes to 2:15 gives 3:58.,Mental Math,Time Calculations
"What is the average of 38, 99, 82?",60,64,73,65,C) 73,Sum = 219. Average = 219÷3 = 73.,Mental Math,Averages
What is 87.06 + 100.02?,187.87,194.12,186.12,187.08,D) 187.08,87.06 + 100.02 = 187.08.,Mental Math,Decimals
What is 266 + 337?,603,593,665,621,A) 603,266 + 337 = 603.,Mental Math,Quick Addition
What is 641 - 493?,139,148,134,138,B) 148,641 - 493 = 148.,Mental Math,Quick Subtraction
What is 109 + 719?,911,858,737,828,D) 828,109 + 719 = 828.,Mental Math,Quick Addition
"What is the average of 10, 75, 79, 68, 33?",59,57,53,61,C) 53,Sum = 265. Average = 265÷5 = 53.,Mental Math,Averages
Round 6293 to the nearest hundred.,6220,6259,6100,6300,D) 6300,6293 rounded to the nearest hundred is 6300.,Mental Math,Estimation
What is 2³?,7,10,8,6,C) 8,2³ = 2 × 2 × 2 = 8.,Mental Math,Cubes
Round 1722 to the nearest hundred.,1869,1728,1700,1863,C) 1700,1722 rounded to the nearest hundred is 1700.,Mental Math,Estimation
What is 164 + 55?,219,215,233,202,A) 219,164 + 55 = 219.,Mental Math,Quick Addition
What is 128.03 + 36.77?,164.8,173.02,161.11,166.8,A) 164.8,128.03 + 36.77 = 164.8.,Mental Math,Decimals
What is 274 + 651?,985,879,925,836,C) 925,274 + 651 = 925.,Mental Math,Quick Addition
What is 179.01 - 148.1?,38.19,33.49,30.91,26.44,C) 30.91,179.01 - 148.1 = 30.91.,Mental Math,Decimals
"What is the average of 27, 24, 49, 96?",50,45,49,40,C) 49,Sum = 196. Average = 196÷4 = 49.,Mental Math,Averages
What is 84 + 232?,316,279,300,293,A) 316,84 + 232 = 316.,Mental Math,Quick Addition
What is 50 × 7?,350,398,308,400,A) 350,50 × 7 = 350.,Mental Math,Quick Multiplication
What is 254 + 830?,1084,1156,993,1062,A) 1084,254 + 830 = 1084.,Mental Math,Quick Addition
What is 341 + 622?,963,861,844,1007,A) 963,341 + 622 = 963.,Mental Math,Quick Addition
What is 39 × 16?,559,684,582,624,D) 624,39 × 16 = 624.,Mental Math,Quick Multiplication
Round 5848 to the nearest hundred.,5933,5611,5764,5800,D) 5800,5848 rounded to the nearest hundred is 5800.,Mental Math,Estimation
What is √729?,30,24,27,26,C) 27,"√729 = 27, because 27 × 27 = 729.",Mental Math,Square Roots
What is 242 ÷ 22?,11,10,13,12,A) 11,"242 ÷ 22 = 11, since 22 × 11 = 242.",Mental Math,Quick Division
What is 103.7 + 48.05?,152.63,147.99,157.46,151.75,D) 151.75,103.7 + 48.05 = 151.75.,Mental Math,Decimals
What is 7 × 33?,232,231,221,217,B) 231,7 × 33 = 231.,Mental Math,Quick Multiplication
What is 8/9 + 5/9 in simplest form?,14/9,12/9,13/9,13/9,C) 13/9,8/9 + 5/9 = 13/9 = 13/9 in simplest form.,Mental Math,Fractions
What is 90% of 1000?,951,834,1047,900,D) 900,90% of 1000 = (90/100) × 1000 = 900.,Mental Math,Percentages
