Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"""ಶಿಕ್ಷಕ"" ಎಂಬ ಕನ್ನಡ ಪದದ ಇಂಗ್ಲಿಷ್ ಅರ್ಥ ಯಾವುದು?",Air/Wind,Father,Window,Teacher,D) Teacher,"""ಶಿಕ್ಷಕ"" ಎಂಬ ಕನ್ನಡ ಪದದ ಇಂಗ್ಲಿಷ್ ಅರ್ಥ ""Teacher"" ಆಗಿದೆ.",Kannada,Kannada → English Words
What is Artificial Intelligence?,When an AI generates plausible-sounding but incorrect or fabricated information,A technology that identifies individuals from facial features in images,The input text given to a generative AI model to produce a response,The simulation of human intelligence by machines,D) The simulation of human intelligence by machines,"Artificial Intelligence (AI) refers to computer systems designed to simulate aspects of human intelligence, like reasoning and learning.",Artificial Intelligence (AI),AI Basics
"If 11:2 = x:8, find x.",38,44,47,46,B) 44,11:2 = x:8 → x = (11×8)/2 = 44.,Aptitude,Ratio & Proportion
How many players are there in a cricket team on the field at one time?,9,10,11,12,C) 11,"A cricket team fields 11 players at a time, including a wicketkeeper and bowlers.",Cricket,Cricket Rules
Which of the following best describes the <em> tag?,button,ordered list,form,emphasized (italic) text,D) emphasized (italic) text,The <em> tag is used to define emphasized (italic) text in HTML.,HTML,HTML Best Practices
Which team won the 2010 IPL season?,Mumbai Indians,Chennai Super Kings,Royal Challengers Bangalore,Deccan Chargers,B) Chennai Super Kings,"Chennai Super Kings, captained by M.S. Dhoni, won their first IPL title in 2010.",IPL,IPL Winners
"Identify the tense: ""He danced a movie.""",Simple Present,Simple Past,Present Perfect,Past Continuous,B) Simple Past,"The sentence ""He danced a movie."" uses the Simple Past tense structure.",English,Tenses
What is 362.4 - 191.98?,170.42,178.84,169.12,173.4,A) 170.42,362.4 - 191.98 = 170.42.,Math,Decimals
What is the output of: print(87 == 87),Error,None,False,True,D) True,87 == 87 evaluates to True.,Python,Conditions
"What is the average of 33, 70, 38, 15, 84?",40,51,43,48,D) 48,Sum = 240. Average = 240÷5 = 48.,Mental Math,Averages
"""Student"" ಎಂಬ ಇಂಗ್ಲಿಷ್ ಪದದ ಕನ್ನಡ ಅರ್ಥ ಯಾವುದು?",ವಿದ್ಯಾರ್ಥಿ,ಕಿಟಕಿ,ತಂದೆ,ಮೀನು,A) ವಿದ್ಯಾರ್ಥಿ,"""Student"" ಎಂಬ ಇಂಗ್ಲಿಷ್ ಪದದ ಕನ್ನಡ ಅರ್ಥ ""ವಿದ್ಯಾರ್ಥಿ"" ಆಗಿದೆ.",Kannada,English → Kannada Words
Which of the following best describes Artificial Intelligence?,The simulation of human intelligence by machines,The study of moral issues surrounding the development and use of AI,A program designed to simulate conversation with human users,AI systems that suggest products or content based on user data,A) The simulation of human intelligence by machines,"Artificial Intelligence (AI) refers to computer systems designed to simulate aspects of human intelligence, like reasoning and learning.",Artificial Intelligence (AI),AI Basics
"Find the average of 101, 100, 19, 32, 38.",58,60,66,53,A) 58,Sum = 290. Average = 290÷5 = 58.,Aptitude,Averages
How many balls are there in one over?,5,8,4,6,D) 6,A standard over in cricket consists of 6 legal deliveries bowled by one bowler.,Cricket,Cricket Rules
Which of the following best describes the <header> tag?,A semantic tag used to define introductory content or navigation at the top of a section,"HyperText Markup Language, the standard language for structuring web content","A component of an HTML page, typically defined by an opening and closing tag",The process of checking HTML code against official web standards,A) A semantic tag used to define introductory content or navigation at the top of a section,"The <header> tag is a semantic element used to define introductory content or navigation, typically at the top of a page or section.",HTML,Semantic HTML
