Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is the Taj Mahal?,A large statue located on Liberty Island in New York Harbor,"A hill station in West Bengal, India, famous for its tea gardens","A white marble mausoleum in Agra, India, built by Shah Jahan","One of the oldest continuously inhabited cities, located on the Ganges in India","C) A white marble mausoleum in Agra, India, built by Shah Jahan","The Taj Mahal, in Agra, India, is a white marble mausoleum built by Mughal emperor Shah Jahan in memory of his wife.",Travel & Tourism,Monuments
Which of the following best describes the Taj Mahal?,"The world's largest coral reef system, located off Australia",An ancient city in Jordan famous for its rock-cut architecture,"A white marble mausoleum in Agra, India, built by Shah Jahan","Japan's highest and most famous mountain, considered sacred","C) A white marble mausoleum in Agra, India, built by Shah Jahan","The Taj Mahal, in Agra, India, is a white marble mausoleum built by Mughal emperor Shah Jahan in memory of his wife.",Travel & Tourism,Monuments
What is the Eiffel Tower?,"An Indonesian island known for its beaches, temples, and rice terraces",A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A network of interconnected canals, lakes, and lagoons in southern India","An iron lattice tower located in Paris, France","D) An iron lattice tower located in Paris, France","The Eiffel Tower is a famous iron lattice tower located in Paris, France, built in 1889.",Travel & Tourism,Famous Landmarks
Which of the following best describes the Eiffel Tower?,"An iron lattice tower located in Paris, France","An ancient amphitheater located in Rome, Italy","A network of interconnected canals, lakes, and lagoons in southern India",An ancient city in Jordan famous for its rock-cut architecture,"A) An iron lattice tower located in Paris, France","The Eiffel Tower is a famous iron lattice tower located in Paris, France, built in 1889.",Travel & Tourism,Famous Landmarks
What is the Great Wall of China?,A landmark or area recognized by UNESCO as having outstanding cultural or natural value,An ancient series of walls and fortifications in northern China,A steep-sided canyon carved by the Colorado River in the United States,A large statue located on Liberty Island in New York Harbor,B) An ancient series of walls and fortifications in northern China,The Great Wall of China is a massive series of fortifications built over centuries to protect Chinese states from invasions.,Travel & Tourism,Famous Landmarks
Which of the following best describes the Great Wall of China?,"The world's largest coral reef system, located off Australia","A city in Rajasthan, India, known as the 'Pink City'","A city in the UAE known for its modern skyscrapers, including the Burj Khalifa",An ancient series of walls and fortifications in northern China,D) An ancient series of walls and fortifications in northern China,The Great Wall of China is a massive series of fortifications built over centuries to protect Chinese states from invasions.,Travel & Tourism,Famous Landmarks
What is the Statue of Liberty?,"A hill station in West Bengal, India, famous for its tea gardens","One of the oldest continuously inhabited cities, located on the Ganges in India",A steep-sided canyon carved by the Colorado River in the United States,A large statue located on Liberty Island in New York Harbor,D) A large statue located on Liberty Island in New York Harbor,"The Statue of Liberty is a colossal statue located in New York Harbor, gifted to the US by France in 1886.",Travel & Tourism,Famous Landmarks
Which of the following best describes the Statue of Liberty?,"The largest tropical rainforest in the world, located mainly in Brazil",A large statue located on Liberty Island in New York Harbor,"An Indonesian island known for its beaches, temples, and rice terraces",An ancient Inca citadel located in the Andes Mountains of Peru,B) A large statue located on Liberty Island in New York Harbor,"The Statue of Liberty is a colossal statue located in New York Harbor, gifted to the US by France in 1886.",Travel & Tourism,Famous Landmarks
What is Machu Picchu?,A steep-sided canyon carved by the Colorado River in the United States,A famous bell tower in Italy known for its unintended tilt,An ancient Inca citadel located in the Andes Mountains of Peru,"An iron lattice tower located in Paris, France",C) An ancient Inca citadel located in the Andes Mountains of Peru,Machu Picchu is a 15th-century Inca citadel located high in the Andes Mountains of Peru.,Travel & Tourism,Famous Landmarks
Which of the following best describes Machu Picchu?,An ancient Inca citadel located in the Andes Mountains of Peru,"A large temple complex in Cambodia, originally built as a Hindu temple",A famous Greek island known for its white buildings and blue domes,A group of waterfalls on the border of the United States and Canada,A) An ancient Inca citadel located in the Andes Mountains of Peru,Machu Picchu is a 15th-century Inca citadel located high in the Andes Mountains of Peru.,Travel & Tourism,Famous Landmarks
What is the Colosseum?,"An ancient amphitheater located in Rome, Italy",An ancient series of walls and fortifications in northern China,"One of the oldest continuously inhabited cities, located on the Ganges in India",A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"A) An ancient amphitheater located in Rome, Italy","The Colosseum is a large ancient amphitheater in Rome, Italy, once used for gladiatorial contests.",Travel & Tourism,Monuments
Which of the following best describes the Colosseum?,"The largest tropical rainforest in the world, located mainly in Brazil","A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","An ancient amphitheater located in Rome, Italy",An ancient Inca citadel located in the Andes Mountains of Peru,"C) An ancient amphitheater located in Rome, Italy","The Colosseum is a large ancient amphitheater in Rome, Italy, once used for gladiatorial contests.",Travel & Tourism,Monuments
What is the Pyramids of Giza?,A large statue located on Liberty Island in New York Harbor,Ancient Egyptian pyramid structures located near Cairo,A landmark or area recognized by UNESCO as having outstanding cultural or natural value,"An iron lattice tower located in Paris, France",B) Ancient Egyptian pyramid structures located near Cairo,"The Pyramids of Giza are ancient Egyptian monuments located near Cairo, built as tombs for pharaohs.",Travel & Tourism,Monuments
Which of the following best describes the Pyramids of Giza?,"A city in the UAE known for its modern skyscrapers, including the Burj Khalifa","The world's largest coral reef system, located off Australia",Ancient Egyptian pyramid structures located near Cairo,"A large temple complex in Cambodia, originally built as a Hindu temple",C) Ancient Egyptian pyramid structures located near Cairo,"The Pyramids of Giza are ancient Egyptian monuments located near Cairo, built as tombs for pharaohs.",Travel & Tourism,Monuments
What is Santorini?,A famous Greek island known for its white buildings and blue domes,A Japanese city known for its historic temples and traditional culture,"An Indonesian island known for its beaches, temples, and rice terraces","A hill station in West Bengal, India, famous for its tea gardens",A) A famous Greek island known for its white buildings and blue domes,"Santorini is a Greek island in the Aegean Sea, famous for its white-washed buildings and blue-domed churches.",Travel & Tourism,Famous Cities
