Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which Indian badminton player won a silver medal at the 2016 Rio Olympics?,Mary Kom,Sania Mirza,Saina Nehwal,P.V. Sindhu,D) P.V. Sindhu,P.V. Sindhu won the silver medal in women's singles badminton at the 2016 Rio Olympics.,Olympics,Indian Olympic Winners
What does the Olympic flag's white background represent?,Neutrality among nations,Purity of sport,Peace,The five continents,C) Peace,The white background of the Olympic flag is said to symbolize peace throughout the Games.,Olympics,Olympic Facts
Which Indian hockey team achievement is notable at the Olympics between 1928 and 1956?,India won six consecutive Olympic gold medals in hockey,India won its first cricket medal,India hosted the Olympics,India won the football World Cup,A) India won six consecutive Olympic gold medals in hockey,The Indian men's hockey team won six consecutive Olympic gold medals from 1928 to 1956.,Olympics,Indian Olympic Winners
What is the Olympic motto?,"Faster, Higher, Stronger","Strength, Speed, Skill","Honor, Glory, Victory","Peace, Unity, Sport","A) Faster, Higher, Stronger","The Olympic motto, in Latin 'Citius, Altius, Fortius', translates to 'Faster, Higher, Stronger'.",Olympics,Olympic History
Which city hosted the 2020 Summer Olympics (held in 2021)?,Paris,Los Angeles,Tokyo,Beijing,C) Tokyo,"Tokyo hosted the 2020 Summer Olympics, which were postponed to 2021 due to the COVID-19 pandemic.",Olympics,Host Cities
Which Indian wrestler won a bronze medal at the 2012 London Olympics and later a silver at Rio 2016?,Sushil Kumar,Bajrang Punia,Yogeshwar Dutt,Sakshi Malik,A) Sushil Kumar,Sushil Kumar won a bronze at the 2008 Beijing Olympics and a silver at the 2012 London Olympics in wrestling.,Olympics,Indian Olympic Winners
Which city hosted the 2016 Summer Olympics?,Paris,Tokyo,Rio de Janeiro,London,C) Rio de Janeiro,"Rio de Janeiro, Brazil, hosted the 2016 Summer Olympics, the first Olympics held in South America.",Olympics,Host Cities
Which swimmer holds the record for the most Olympic medals of any athlete?,Michael Phelps,Carl Lewis,Usain Bolt,Mark Spitz,A) Michael Phelps,"American swimmer Michael Phelps holds the record for the most Olympic medals, with 28 medals across his career.",Olympics,Olympic Records
Which country won the most gold medals at the 2020 Tokyo Olympics?,Great Britain,United States,Japan,China,B) United States,The United States topped the gold medal table at the Tokyo 2020 Olympics.,Olympics,Medal Winners
Which Indian boxer won a bronze medal at the 2012 London Olympics?,Vijender Singh,Saina Nehwal,Sushil Kumar,Mary Kom,D) Mary Kom,Vijender Singh won a bronze medal in boxing at the 2008 Beijing Olympics.,Olympics,Indian Olympic Winners
