Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
756 ÷ 12 ಎಷ್ಟು?,65,63,62,60,B,756 ÷ 12 = 63.,ಕನ್ನಡ,ಗಣಿತ
"""ಕರ"" ಎಂಬ ಪದದ ಅರ್ಥವೇನು?",ಸಾಯಂಕಾಲ,ಕೈ,ನಡುಹಗಲು,ಸಿಟ್ಟು,B) ಕೈ,"""ಕರ"" ಎಂದರೆ ""ಕೈ"" ಎಂದರ್ಥ.",ಕನ್ನಡ,ಕನ್ನಡ ಶಬ್ದಕೋಶ
ಪ್ರಶ್ನೆ: ಕನ್ನಡ ವರ್ಣಮಾಲೆಯಲ್ಲಿ ಸ್ವರಗಳು ಎಂದರೇನು?,ನಾಮಪದದ ಗುಣವನ್ನು ವಿವರಿಸುವ ಪದ,ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ವಸ್ತು ಅಥವಾ ವ್ಯಕ್ತಿಗಳನ್ನು ಸೂಚಿಸುವ ರೂಪ,ಎರಡು ಅಕ್ಷರ ಅಥವಾ ಪದಗಳು ಸೇರುವಾಗ ಆಗುವ ಬದಲಾವಣೆ,ತಾವಾಗಿಯೇ ಉಚ್ಚರಿಸಬಹುದಾದ ಅಕ್ಷರಗಳು,D) ತಾವಾಗಿಯೇ ಉಚ್ಚರಿಸಬಹುದಾದ ಅಕ್ಷರಗಳು,"ಸ್ವರಗಳು ಸ್ವತಂತ್ರವಾಗಿ ಉಚ್ಚರಿಸಬಹುದಾದ ಅಕ್ಷರಗಳಾಗಿವೆ, ಉದಾ: ಅ, ಆ, ಇ.",ಕನ್ನಡ,ಕನ್ನಡ ವ್ಯಾಕರಣ
"""ಬೆಳಕು"" ಪದದ ಸಮಾನಾರ್ಥಕ ಪದ ಯಾವುದು?",ಸ್ವಾಸ್ಥ್ಯ,ಶಶಿ,ಪ್ರಕಾಶ,ಅಸತ್ಯ,C) ಪ್ರಕಾಶ,"""ಪ್ರಕಾಶ"" ಎಂಬುದು ""ಬೆಳಕು"" ಪದದ ಸಮಾನಾರ್ಥಕ ಪದವಾಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ಸಮಾನಾರ್ಥಕ ಪದಗಳು
"""ವೇಗ"" ಎಂಬ ಪದದ ವಿರುದ್ಧ ಅರ್ಥದ ಪದ ಯಾವುದು?",ಕಿರಿದು,ಮೃದು,ಹೊರಗೆ,ನಿಧಾನ,D) ನಿಧಾನ,"""ನಿಧಾನ"" ಎಂಬುದು ""ವೇಗ"" ಪದದ ವಿರುದ್ಧಾರ್ಥಕ ಪದವಾಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ವಿರುದ್ಧಾರ್ಥಕ ಪದಗಳು
ಈ ಪ್ರಶ್ನೆಗೆ ಸರಿಯಾದ ಉತ್ತರ ಯಾವುದು: 'ಆರೋಗ್ಯವೇ ಭಾಗ್ಯ' ಎಂಬ ಗಾದೆಯ ಅರ್ಥವೇನು?,ಮೌನ ಕೆಲವೊಮ್ಮೆ ಮಾತಿಗಿಂತ ಶ್ರೇಷ್ಠ,ಅಪೂರ್ಣ ಜ್ಞಾನ ಅಪಾಯಕಾರಿ ಎಂದು ಸೂಚಿಸುತ್ತದೆ,ಆರೋಗ್ಯವೇ ಜೀವನದ ದೊಡ್ಡ ಸಂಪತ್ತು,ಅಗತ್ಯಕ್ಕಿಂತ ತೋರಿಕೆಗೆ ಹೆಚ್ಚು ಒತ್ತು ನೀಡುವುದು,C) ಆರೋಗ್ಯವೇ ಜೀವನದ ದೊಡ್ಡ ಸಂಪತ್ತು,ಈ ಗಾದೆ ಆರೋಗ್ಯವನ್ನು ಜೀವನದ ಅತಿ ದೊಡ್ಡ ಸಂಪತ್ತು ಎಂದು ಬಣ್ಣಿಸುತ್ತದೆ.,ಕನ್ನಡ,ಕನ್ನಡ ಗಾದೆಗಳು
'ಬಾಯಿ ಚಪಲ' ಎಂಬ ನುಡಿಗಟ್ಟಿನ ಅರ್ಥವೇನು?,ಸಹಾಯ ಮಾಡುವುದನ್ನು ನಿಲ್ಲಿಸುವುದು,ಅತಿಯಾಗಿ ಮಾತನಾಡುವ ಅಭ್ಯಾಸ,ಬೇರೆಯವರ ಮಾತು ಕೇಳದೆ ಸ್ವಂತ ಇಚ್ಛೆಯಂತೆ ವರ್ತಿಸುವುದು,ಪ್ರೋತ್ಸಾಹಿಸುವುದು ಅಥವಾ ಶ್ಲಾಘಿಸುವುದು,B) ಅತಿಯಾಗಿ ಮಾತನಾಡುವ ಅಭ್ಯಾಸ,'ಬಾಯಿ ಚಪಲ' ಎಂದರೆ ಅನಗತ್ಯವಾಗಿ ಅಥವಾ ಅತಿಯಾಗಿ ಮಾತನಾಡುವ ಸ್ವಭಾವ ಎಂದರ್ಥ.,ಕನ್ನಡ,ಕನ್ನಡ ನುಡಿಗಟ್ಟುಗಳು
ಸರಿಯಾದ ಉತ್ತರವನ್ನು ಆರಿಸಿ: ದಾಸ ಸಾಹಿತ್ಯ ಎಂದರೇನು?,ಕುವೆಂಪು,ಪ್ರಭುಲಿಂಗಲೀಲೆ,ಹರಿದಾಸರು ರಚಿಸಿದ ಭಕ್ತಿ ಸಾಹಿತ್ಯ,ವಚನ,C) ಹರಿದಾಸರು ರಚಿಸಿದ ಭಕ್ತಿ ಸಾಹಿತ್ಯ,ದಾಸ ಸಾಹಿತ್ಯವು ಹರಿದಾಸರು ರಚಿಸಿದ ಭಕ್ತಿಪ್ರಧಾನ ಕನ್ನಡ ಸಾಹಿತ್ಯವಾಗಿದೆ.,ಕನ್ನಡ,ಕನ್ನಡ ಸಾಹಿತ್ಯ
ಪ್ರಶ್ನೆ: ಡಿ. ಆರ್. ಬೇಂದ್ರೆ ಅವರ ಕಾವ್ಯನಾಮ ಏನು?,ಎಂಟು,ಕುವೆಂಪು,ಅಂಬಿಕಾತನಯದತ್ತ,ಕರ್ನಾಟಕ ಸಂಗೀತದ ಪಿತಾಮಹ,C) ಅಂಬಿಕಾತನಯದತ್ತ,ಡಿ. ಆರ್. ಬೇಂದ್ರೆ ಅವರ ಕಾವ್ಯನಾಮ ಅಂಬಿಕಾತನಯದತ್ತ.,ಕನ್ನಡ,ಕನ್ನಡ ಕವಿಗಳು ಮತ್ತು ಲೇಖಕರು
ಈ ಪದದ ಸರಿಯಾದ ಬರವಣಿಗೆಯನ್ನು ಆರಿಸಿ.,ಸಂಘನಟೆ,ಸಂಘಟನೆ,ಸಂಘಟೆ,ಂಸಘಟನೆ,B) ಸಂಘಟನೆ,"""ಸಂಘಟನೆ"" ಎಂಬುದು ಸರಿಯಾದ ಕಾಗುಣಿತವಾಗಿದೆ.",ಕನ್ನಡ,ಕನ್ನಡ ಕಾಗುಣಿತ
