Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is Artificial Intelligence?,When an AI generates plausible-sounding but incorrect or fabricated information,A technology that identifies individuals from facial features in images,The input text given to a generative AI model to produce a response,The simulation of human intelligence by machines,D) The simulation of human intelligence by machines,"Artificial Intelligence (AI) refers to computer systems designed to simulate aspects of human intelligence, like reasoning and learning.",Artificial Intelligence (AI),AI Basics
Which of the following best describes Artificial Intelligence?,The simulation of human intelligence by machines,The study of moral issues surrounding the development and use of AI,A program designed to simulate conversation with human users,AI systems that suggest products or content based on user data,A) The simulation of human intelligence by machines,"Artificial Intelligence (AI) refers to computer systems designed to simulate aspects of human intelligence, like reasoning and learning.",Artificial Intelligence (AI),AI Basics
What is Generative AI?,"AI that can create new content such as text, images, or audio",A field of AI focused on enabling computers to understand human language,AI systems that create new images from text descriptions or other inputs,An NLP technique used to determine the emotional tone of text,"A) AI that can create new content such as text, images, or audio","Generative AI refers to systems that can produce new content, such as text, images, or music, rather than just analyzing existing data.",Artificial Intelligence (AI),Generative AI
Which of the following best describes Generative AI?,An AI-powered application that performs tasks based on voice or text commands,A technology that identifies individuals from facial features in images,"AI that can create new content such as text, images, or audio",AI systems that create new images from text descriptions or other inputs,"C) AI that can create new content such as text, images, or audio","Generative AI refers to systems that can produce new content, such as text, images, or music, rather than just analyzing existing data.",Artificial Intelligence (AI),Generative AI
What is Natural Language Processing (NLP)?,A field of AI focused on enabling computers to understand human language,"A field involving the design and use of robots, often powered by AI",Using AI to perform tasks automatically without human intervention,AI systems that create new images from text descriptions or other inputs,A) A field of AI focused on enabling computers to understand human language,"NLP (Natural Language Processing) enables computers to understand, interpret, and generate human language.",Artificial Intelligence (AI),Natural Language Processing
Which of the following best describes Natural Language Processing (NLP)?,A field of AI that enables computers to interpret visual information,A computer vision task that identifies and locates objects within an image,A field of AI focused on enabling computers to understand human language,The study of moral issues surrounding the development and use of AI,C) A field of AI focused on enabling computers to understand human language,"NLP (Natural Language Processing) enables computers to understand, interpret, and generate human language.",Artificial Intelligence (AI),Natural Language Processing
What is Computer Vision?,AI systems that suggest products or content based on user data,A field of AI that enables computers to interpret visual information,AI that analyzes data to forecast future outcomes,The study of moral issues surrounding the development and use of AI,B) A field of AI that enables computers to interpret visual information,Computer Vision is a field of AI focused on enabling computers to interpret and understand images and video.,Artificial Intelligence (AI),Computer Vision
Which of the following best describes Computer Vision?,A collection of data used to train and evaluate AI models,The simulation of human intelligence by machines,A field of AI that enables computers to interpret visual information,AI systems that suggest products or content based on user data,C) A field of AI that enables computers to interpret visual information,Computer Vision is a field of AI focused on enabling computers to interpret and understand images and video.,Artificial Intelligence (AI),Computer Vision
What is Robotics?,The process of teaching a model to perform a task using data,AI systems that suggest products or content based on user data,"A field involving the design and use of robots, often powered by AI",A field of AI that enables computers to interpret visual information,"C) A field involving the design and use of robots, often powered by AI","Robotics involves designing and building robots, which are often powered by AI to perform tasks autonomously.",Artificial Intelligence (AI),Robotics
Which of the following best describes Robotics?,A collection of data used to train and evaluate AI models,A program designed to simulate conversation with human users,A set of rules an AI system follows to process data and make decisions,"A field involving the design and use of robots, often powered by AI","D) A field involving the design and use of robots, often powered by AI","Robotics involves designing and building robots, which are often powered by AI to perform tasks autonomously.",Artificial Intelligence (AI),Robotics
What is an expert system?,"AI that can create new content such as text, images, or audio",An AI program that mimics the decision-making of a human expert,AI systems that create new images from text descriptions or other inputs,A field of AI focused on enabling computers to understand human language,B) An AI program that mimics the decision-making of a human expert,An expert system is an AI program designed to mimic the decision-making ability of a human expert in a specific domain.,Artificial Intelligence (AI),Expert Systems
