Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is the output of: print(87 == 87),Error,None,False,True,D) True,87 == 87 evaluates to True.,Python,Conditions
What is the output of: print(42 // 33),-1,0,2,1,D) 1,"In Python, 42 // 33 evaluates to 1.",Python,Mathematical Operations
What is the output of: print(7 - 44),-43,-48,-31,-37,D) -37,"In Python, 7 - 44 evaluates to -37.",Python,Mathematical Operations
What is the output of: print(50 > 69),None,Error,True,False,D) False,50 > 69 evaluates to False.,Python,Conditions
What is the output of: print(6 % 28),7,4,8,6,D) 6,"In Python, 6 % 28 evaluates to 6.",Python,Mathematical Operations
What is the output of: print(42 // 8),8,5,4,6,B) 5,"In Python, 42 // 8 evaluates to 5.",Python,Mathematical Operations
What is the output of: print(54 <= 7),False,True,Error,None,A) False,54 <= 7 evaluates to False.,Python,Conditions
What is the output of: print(58 == 82),None,Error,False,True,C) False,58 == 82 evaluates to False.,Python,Conditions
What is the output of: print(35 >= 98),Error,None,True,False,D) False,35 >= 98 evaluates to False.,Python,Conditions
What is the output of: print(37 // 18),4,0,2,1,C) 2,"In Python, 37 // 18 evaluates to 2.",Python,Mathematical Operations
What is the output of: print(52 == 11),Error,True,None,False,D) False,52 == 11 evaluates to False.,Python,Conditions
What is the output of: print(90 > 15),True,None,Error,False,A) True,90 > 15 evaluates to True.,Python,Conditions
What is the output of: print(39 + 18),60,49,57,54,C) 57,"In Python, 39 + 18 evaluates to 57.",Python,Mathematical Operations
What is the output of: print(75 <= 28),True,False,Error,None,B) False,75 <= 28 evaluates to False.,Python,Conditions
What is the output of: print(89 >= 83),True,Error,None,False,A) True,89 >= 83 evaluates to True.,Python,Conditions
What is the output of: print(38 // 6),9,4,3,6,D) 6,"In Python, 38 // 6 evaluates to 6.",Python,Mathematical Operations
What is the output of: print(36 - 46),-6,-12,-10,-8,C) -10,"In Python, 36 - 46 evaluates to -10.",Python,Mathematical Operations
What is the output of: print(64 > 3),False,True,None,Error,B) True,64 > 3 evaluates to True.,Python,Conditions
