Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Guglielmo Marconi,C) Alexander Graham Bell,Alexander Graham Bell is credited with inventing the first practical telephone in 1876.,General Trivia,Unusual Facts
What is Mount Everest's approximate height?,"About 6,200 meters","About 7,500 meters","About 9,500 meters","About 8,849 meters","D) About 8,849 meters","Mount Everest, the world's highest peak, stands at approximately 8,849 meters above sea level.",General Trivia,World Facts
Which is the longest river in the world?,The Nile,The Mississippi,The Amazon,The Yangtze,A) The Nile,The Nile River in Africa is generally considered the longest river in the world.,General Trivia,World Facts
What is the smallest country in the world by area?,Liechtenstein,Monaco,San Marino,Vatican City,D) Vatican City,Vatican City is the smallest independent country in the world by both area and population.,General Trivia,World Records
What is the largest coral reef system in the world?,The Red Sea Coral Reef,The Andaman Coral Reef,The Great Barrier Reef,The Belize Barrier Reef,C) The Great Barrier Reef,"The Great Barrier Reef, off the coast of Australia, is the world's largest coral reef system.",General Trivia,World Facts
What is the study of ancient artifacts and human history called?,Paleontology,Geology,Archaeology,Anthropology,C) Archaeology,Archaeology is the study of human history through the excavation and analysis of artifacts and physical remains.,General Trivia,Mixed Trivia
"What is the fastest-growing sport globally by some measures in recent years, known for a small paddle-based court game?",Squash,Badminton,Padel,Pickleball,D) Pickleball,"Pickleball, a paddle sport combining elements of tennis and badminton, has been noted as one of the fastest-growing sports in several countries in recent years.",General Trivia,Mixed Trivia
"Who invented the light bulb (as a practical, commercially viable design)?",Nikola Tesla,Alexander Graham Bell,Michael Faraday,Thomas Edison,D) Thomas Edison,"Thomas Edison developed a practical, long-lasting incandescent light bulb in 1879.",General Trivia,Unusual Facts
What is considered the first university in the world (an ancient center of learning)?,Oxford University,Cambridge University,Nalanda University,Harvard University,C) Nalanda University,"Nalanda University in ancient India, established around the 5th century CE, is considered one of the world's earliest centers of higher learning.",General Trivia,Firsts in the World
Who wrote India's national anthem?,Mahatma Gandhi,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,C) Rabindranath Tagore,"Rabindranath Tagore composed 'Jana Gana Mana', India's national anthem.",General Trivia,India Facts
Which country is known as the 'Land of the Rising Sun'?,Japan,Thailand,China,South Korea,A) Japan,"Japan is known as the 'Land of the Rising Sun', reflected in its name '(Nihon/Nippon)', meaning origin of the sun.",General Trivia,World Facts
What is the fastest land animal?,The horse,The cheetah,The lion,The gazelle,B) The cheetah,"The cheetah is the fastest land animal, capable of reaching speeds up to 100-120 km/h.",General Trivia,Records
What is the largest desert in the world?,The Sahara Desert,The Arabian Desert,The Antarctic Desert,The Gobi Desert,C) The Antarctic Desert,"The Antarctic Desert is technically the largest desert in the world by area, as deserts are defined by low precipitation, not just heat.",General Trivia,World Facts
What is the currency of the United States?,Euro,Canadian Dollar,US Dollar,Pound Sterling,C) US Dollar,The official currency of the United States is the US Dollar.,General Trivia,World Facts
What is the national animal of India?,Lion,Leopard,Elephant,Tiger,D) Tiger,The Bengal tiger is the national animal of India.,General Trivia,India Facts
What is the national fruit of India?,Banana,Papaya,Mango,Apple,C) Mango,The mango is recognized as the national fruit of India.,General Trivia,India Facts
Which is the largest democracy in the world by population?,Indonesia,India,United States,Brazil,B) India,India is widely recognized as the world's largest democracy by population.,General Trivia,World Facts
What is the national flower of India?,Sunflower,Rose,Lotus,Marigold,C) Lotus,"The lotus is the national flower of India, symbolizing purity.",General Trivia,India Facts
Who wrote India's national song?,Sarojini Naidu,Rabindranath Tagore,Bankim Chandra Chatterjee,Subhas Chandra Bose,C) Bankim Chandra Chatterjee,"Bankim Chandra Chatterjee wrote 'Vande Mataram', India's national song.",General Trivia,India Facts
What is the largest mammal in the world?,The elephant,The hippopotamus,The giraffe,The blue whale,D) The blue whale,"The blue whale is the largest mammal, and indeed the largest animal, known to have ever existed.",General Trivia,Records
What is the national bird of India?,Eagle,Peacock,Crow,Parrot,B) Peacock,"The peacock is the national bird of India, known for its colorful plumage.",General Trivia,India Facts
Which was the first Indian state to be formed on a linguistic basis?,Andhra Pradesh,Karnataka,Kerala,Tamil Nadu,A) Andhra Pradesh,"Andhra Pradesh was the first state in India to be organized on a linguistic basis, formed in 1953.",General Trivia,Firsts in India
Which was the first country to grant women the right to vote?,New Zealand,United States,France,United Kingdom,A) New Zealand,"New Zealand became the first self-governing country to grant women the right to vote, in 1893.",General Trivia,Firsts in the World
Which is the largest hot desert in the world?,The Kalahari Desert,The Thar Desert,The Sahara Desert,The Gobi Desert,C) The Sahara Desert,The Sahara Desert in Africa is the largest hot desert in the world.,General Trivia,World Facts
Which is the tallest man-made structure in the world (as of the early 2020s)?,Shanghai Tower,Burj Khalifa,Empire State Building,Eiffel Tower,B) Burj Khalifa,The Burj Khalifa in Dubai is the tallest man-made structure in the world.,General Trivia,Famous Places
Which option correctly answers this: What is the national flower of India?,Lotus,The Amazon Rainforest,Saturn (closely followed by Jupiter),Japan,A) Lotus,"The lotus is the national flower of India, symbolizing purity.",General Trivia,India Facts
Choose the correct answer: What is the national animal of India?,US Dollar,Mango,Tiger,Bankim Chandra Chatterjee,C) Tiger,The Bengal tiger is the national animal of India.,General Trivia,India Facts
"Which option correctly answers this: Who invented the light bulb (as a practical, commercially viable design)?",Thomas Edison,Mandarin Chinese,The Nile,Greenland,A) Thomas Edison,"Thomas Edison developed a practical, long-lasting incandescent light bulb in 1879.",General Trivia,Unusual Facts
Which option correctly answers this: What is the largest island in the world?,Greenland,The blue whale,Saturn (closely followed by Jupiter),Peacock,A) Greenland,"Greenland is the largest island in the world by area, excluding continental landmasses.",General Trivia,World Facts
Quiz question: What is the smallest country in the world by area?,The Taj Mahal,Vatican City,The Nile,India,B) Vatican City,Vatican City is the smallest independent country in the world by both area and population.,General Trivia,Records
Quiz question: What is the world's largest rainforest?,Tiger,Peacock,Christianity,The Amazon Rainforest,D) The Amazon Rainforest,"The Amazon Rainforest, located mainly in Brazil, is the largest tropical rainforest in the world.",General Trivia,World Facts
Which option correctly answers this: Which country is known as the 'Land of the Rising Sun'?,The Nile,The Amazon Rainforest,Bankim Chandra Chatterjee,Japan,D) Japan,"Japan is known as the 'Land of the Rising Sun', reflected in its name meaning origin of the sun.",General Trivia,World Facts
Who wrote India's national song?,Lake Kariba (on the Zambia-Zimbabwe border),Thomas Edison,Bankim Chandra Chatterjee,The Sahara Desert,C) Bankim Chandra Chatterjee,"Bankim Chandra Chatterjee wrote 'Vande Mataram', India's national song.",General Trivia,India Facts
Quiz question: What is the largest coral reef system in the world?,The Great Barrier Reef,Japan,New Delhi,Vatican City,A) The Great Barrier Reef,"The Great Barrier Reef, off the coast of Australia, is the world's largest coral reef system.",General Trivia,World Facts
Which option correctly answers this: What is Mount Everest's approximate height?,Rabindranath Tagore,Greenland,"About 8,849 meters",The video game industry,"C) About 8,849 meters","Mount Everest, the world's highest peak, stands at approximately 8,849 meters above sea level.",General Trivia,World Facts
Which option correctly answers this: What is the fastest land animal?,Japan,Greenland,The Mariana Trench,The cheetah,D) The cheetah,"The cheetah is the fastest land animal, capable of reaching speeds up to 100-120 km/h.",General Trivia,Amazing Facts
Which option correctly answers this: What is the largest mammal in the world?,Lake Kariba (on the Zambia-Zimbabwe border),Mandarin Chinese,The blue whale,The Great Barrier Reef,C) The blue whale,"The blue whale is the largest mammal, and indeed the largest animal, known to have ever existed.",General Trivia,Amazing Facts
Choose the correct answer: What is the national animal of India?,Alexander Graham Bell,Tiger,Rabindranath Tagore,Mandarin Chinese,B) Tiger,The Bengal tiger is the national animal of India.,General Trivia,India Facts
"Choose the correct answer: What is the highest-grossing form of entertainment industry globally often cited in trivia, alongside film?",The video game industry,Bankim Chandra Chatterjee,The Mariana Trench,Thomas Edison,A) The video game industry,"The global video game industry is frequently cited in trivia as a very high-grossing entertainment sector, often compared to or exceeding film.",General Trivia,Amazing Facts
"What is the highest-grossing form of entertainment industry globally often cited in trivia, alongside film?","About 8,849 meters",Japan,Christianity,The video game industry,D) The video game industry,"The global video game industry is frequently cited in trivia as a very high-grossing entertainment sector, often compared to or exceeding film.",General Trivia,Amazing Facts
Choose the correct answer: What is Mount Everest's approximate height?,The Great Barrier Reef,"About 8,849 meters",Saturn (closely followed by Jupiter),Andhra Pradesh,"B) About 8,849 meters","Mount Everest, the world's highest peak, stands at approximately 8,849 meters above sea level.",General Trivia,World Facts
What is the national bird of India?,Peacock,Alexander Graham Bell,Japan,Mandarin Chinese,A) Peacock,"The peacock is the national bird of India, known for its colorful plumage.",General Trivia,India Facts
What is the largest desert in the world?,Archaeology,New Delhi,Andhra Pradesh,The Antarctic Desert,D) The Antarctic Desert,"The Antarctic Desert is technically the largest desert in the world by area, as deserts are defined by low precipitation, not just heat.",General Trivia,World Facts
What is the world's largest rainforest?,The blue whale,The Amazon Rainforest,Lake Kariba (on the Zambia-Zimbabwe border),US Dollar,B) The Amazon Rainforest,"The Amazon Rainforest, located mainly in Brazil, is the largest tropical rainforest in the world.",General Trivia,World Facts
"Quiz question: Who invented the light bulb (as a practical, commercially viable design)?",The cheetah,Tiger,Mango,Thomas Edison,D) Thomas Edison,"Thomas Edison developed a practical, long-lasting incandescent light bulb in 1879.",General Trivia,Unusual Facts
