Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which of the following best describes the <em> tag?,button,ordered list,form,emphasized (italic) text,D) emphasized (italic) text,The <em> tag is used to define emphasized (italic) text in HTML.,HTML,HTML Best Practices
Which of the following best describes the <header> tag?,A semantic tag used to define introductory content or navigation at the top of a section,"HyperText Markup Language, the standard language for structuring web content","A component of an HTML page, typically defined by an opening and closing tag",The process of checking HTML code against official web standards,A) A semantic tag used to define introductory content or navigation at the top of a section,"The <header> tag is a semantic element used to define introductory content or navigation, typically at the top of a page or section.",HTML,Semantic HTML
Which of the following best describes the <nav> tag?,embedded external document,hyperlink,table data cell,navigation links,D) navigation links,The <nav> tag is used to define navigation links in HTML.,HTML,HTML Best Practices
Which option best explains the meaning of the <head> tag?,The tag used to define a standard data cell within a table row,A declaration that tells the browser the document uses HTML5,A semantic tag used to define introductory content or navigation at the top of a section,"A section containing metadata about the document, not shown directly on the page","D) A section containing metadata about the document, not shown directly on the page","The <head> tag contains metadata about the document, such as the title and linked stylesheets, not directly visible on the page.",HTML,HTML Document Structure
What is the purpose of the <br> tag in HTML?,line break,horizontal rule,thematic grouping of content,video content,A) line break,The <br> tag is used to define line break in HTML.,HTML,HTML Best Practices
"In HTML, what does the <iframe> tag define?",line break,embedded external document,table,table header cell,B) embedded external document,The <iframe> tag is used to define embedded external document in HTML.,HTML,HTML Best Practices
What is the purpose of the <hr> tag in HTML?,horizontal rule,table data cell,paragraph,table row,A) horizontal rule,The <hr> tag is used to define horizontal rule in HTML.,HTML,HTML Best Practices
What is the purpose of the <input> tag in HTML?,thematic grouping of content,table header cell,paragraph,form input,D) form input,The <input> tag is used to define form input in HTML.,HTML,HTML Best Practices
What is an HTML element?,A tag used to embed another HTML document within the current page,"A component of an HTML page, typically defined by an opening and closing tag","The tag used for the least important, lowest-level heading",A declaration that tells the browser the document uses HTML5,"B) A component of an HTML page, typically defined by an opening and closing tag","An HTML element is a component of a web page, usually consisting of an opening tag, content, and a closing tag.",HTML,Elements
Which of the following best describes the <audio> tag?,The tag used to define a standard data cell within a table row,The tag used to create a hyperlink to another page or resource,The tag used to embed sound content in an HTML page,A markup keyword surrounded by angle brackets used to define elements,C) The tag used to embed sound content in an HTML page,"The <audio> tag is used to embed sound content, like music or speech, directly into an HTML page.",HTML,Audio
the <video> tag can be best defined as which of the following?,A semantic tag used to define a thematic grouping of content,An attribute providing alternative text description for an image,A semantic tag used to define a block of navigation links,The tag used to embed video content in an HTML page,D) The tag used to embed video content in an HTML page,"The <video> tag is used to embed video content directly into an HTML page, with built-in playback controls.",HTML,Video
Which of the following best describes the <table> tag?,horizontal rule,line break,image,table,D) table,The <table> tag is used to define table in HTML.,HTML,HTML Best Practices
Choose the correct definition of HTML.,The tag used to create various types of interactive form controls,"HyperText Markup Language, the standard language for structuring web content",Using HTML elements that convey meaning about their content's purpose,The process of checking HTML code against official web standards,"B) HyperText Markup Language, the standard language for structuring web content",HTML (HyperText Markup Language) is the standard markup language used to structure content on web pages.,HTML,HTML Basics
Which option best explains the meaning of the href attribute?,The tag used to create a clickable button,An attribute used with the <a> tag to specify the link's destination URL,The tag used to embed sound content in an HTML page,A semantic tag used to define a thematic grouping of content,B) An attribute used with the <a> tag to specify the link's destination URL,"The href attribute, used with the <a> tag, specifies the URL destination that the hyperlink points to.",HTML,Links
Which of the following best describes the <html> tag?,The tag used to define a paragraph of text,"The tag used for the least important, lowest-level heading",The root element that wraps all content on an HTML page,The tag used to define a single item within a list,C) The root element that wraps all content on an HTML page,"The <html> tag is the root element of an HTML document, containing all other elements on the page.",HTML,HTML Document Structure
Which of the following best describes the <audio> tag?,A tag used to embed another HTML document within the current page,An input control that lets users select one or more options,The tag used to embed sound content in an HTML page,The tag used to define a single item within a list,C) The tag used to embed sound content in an HTML page,"The <audio> tag is used to embed sound content, like music or speech, directly into an HTML page.",HTML,Audio
Choose the correct definition of the <table> tag.,The tag used to create a table structure in HTML,A semantic tag used to define a block of navigation links,"Recommended conventions for writing clean, accessible, and maintainable HTML","A section containing metadata about the document, not shown directly on the page",A) The tag used to create a table structure in HTML,"The <table> tag is used to create a table structure, containing rows and cells for organizing data.",HTML,Tables
"Which option best explains the meaning of the type=""radio"" input?",An input control that lets users select only one option from a group,"The tag used for the least important, lowest-level heading","HyperText Markup Language, the standard language for structuring web content",The root element that wraps all content on an HTML page,A) An input control that lets users select only one option from a group,"An <input> with type=""radio"" creates a control that allows users to select only one option from a group of choices.",HTML,Input Types
