Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Choose the correct answer: What is a fundamental legal right, such as the right to life, under Article 21 of the Indian Constitution?","The principle that the state treats all religions equally, without favoring any one",The Right to Life and Personal Liberty,The Lok Sabha and the Rajya Sabha,Rule of law,B) The Right to Life and Personal Liberty,Article 21 of the Indian Constitution guarantees the fundamental Right to Life and Personal Liberty.,Law & Constitution,Legal Rights
Which option correctly answers this: What are the two houses of the Indian Parliament?,The Lok Sabha and the Rajya Sabha,"Guidelines for governance included in the Constitution, not legally enforceable in court",Implementing and enforcing laws,"The right ensuring equal treatment before the law, without discrimination",A) The Lok Sabha and the Rajya Sabha,The Indian Parliament consists of two houses: the Lok Sabha (lower house) and the Rajya Sabha (upper house).,Law & Constitution,Parliament
What is civil law primarily concerned with?,The Lok Sabha and the Rajya Sabha,"Disputes between individuals or organizations, such as contracts or property","The right ensuring equal treatment before the law, without discrimination","Legal issues related to the internet, computers, and digital technology","B) Disputes between individuals or organizations, such as contracts or property","Civil law deals with disputes between private parties, such as individuals or organizations, often involving contracts or property.",Law & Constitution,Civil Law
Choose the correct answer: What is criminal law primarily concerned with?,"Disputes between individuals or organizations, such as contracts or property",The Lok Sabha and the Rajya Sabha,A formal change or addition made to the Constitution,"Offenses against the state or society, punishable by law","D) Offenses against the state or society, punishable by law","Criminal law deals with offenses considered harmful to society or the state, which are prosecuted and punishable by law.",Law & Constitution,Criminal Law
"Which option correctly answers this: What is the Right to Freedom of Speech and Expression, under the Indian Constitution?","Guidelines for governance included in the Constitution, not legally enforceable in court",The highest judicial court in the country,A fundamental right allowing citizens to express their views and opinions,"All adult citizens have the right to vote, regardless of factors like caste or gender",C) A fundamental right allowing citizens to express their views and opinions,"The Right to Freedom of Speech and Expression is a fundamental right that allows citizens to express their views and opinions, subject to reasonable restrictions.",Law & Constitution,Fundamental Rights
Which option correctly answers this: What is the minimum age requirement to vote in Indian elections?,26 January 1950,18 years,To make laws for the country,The highest judicial court at the state level,B) 18 years,Indian citizens must be at least 18 years old to be eligible to vote in elections.,Law & Constitution,Elections & Law
"What is the Right to Equality, guaranteed under the Indian Constitution?",The rights and interests of consumers in transactions with businesses,"The right ensuring equal treatment before the law, without discrimination",The Right to Life and Personal Liberty,"The head of government, leading the executive branch","B) The right ensuring equal treatment before the law, without discrimination","The Right to Equality guarantees that all citizens are treated equally before the law, without discrimination based on religion, race, caste, sex, or place of birth.",Law & Constitution,Fundamental Rights
Which option correctly answers this: What is the Supreme Court of India?,A fundamental right allowing citizens to express their views and opinions,The highest judicial court in the country,Six,The Lok Sabha and the Rajya Sabha,B) The highest judicial court in the country,"The Supreme Court of India is the highest judicial authority in the country, with the final say on legal and constitutional matters.",Law & Constitution,Supreme Court
Quiz question: What is the term for the principle that no one is above the law?,To make laws for the country,Rule of law,"Legal issues related to the internet, computers, and digital technology",Six,B) Rule of law,"The rule of law is the principle that all individuals and institutions, including the government, are subject to and accountable under the law.",Law & Constitution,Indian Law Basics
Which option correctly answers this: What is a constitutional amendment?,Dr. B. R. Ambedkar,A formal change or addition made to the Constitution,"A moral obligation of citizens, such as respecting the Constitution","Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",B) A formal change or addition made to the Constitution,"A constitutional amendment is a formal, legally defined process of changing or adding to the provisions of a constitution.",Law & Constitution,Constitutional Amendments
Quiz question: What is the judiciary's primary role in a democracy?,A set of fundamental principles by which a country is governed,"The head of government, leading the executive branch",A fundamental right allowing citizens to express their views and opinions,To interpret laws and ensure justice,D) To interpret laws and ensure justice,"The judiciary's primary role is to interpret laws, resolve disputes, and ensure justice is upheld within the legal system.",Law & Constitution,Judiciary
"Which option correctly answers this: What is the Right to Equality, guaranteed under the Indian Constitution?",Dr. B. R. Ambedkar,"Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",A formal change or addition made to the Constitution,"The right ensuring equal treatment before the law, without discrimination","D) The right ensuring equal treatment before the law, without discrimination","The Right to Equality guarantees that all citizens are treated equally before the law, without discrimination based on religion, race, caste, sex, or place of birth.",Law & Constitution,Fundamental Rights
Quiz question: What are Directive Principles of State Policy?,The Constituent Assembly,"Guidelines for governance included in the Constitution, not legally enforceable in court",A formal change or addition made to the Constitution,Six,"B) Guidelines for governance included in the Constitution, not legally enforceable in court","Directive Principles of State Policy are guidelines for governance included in the Indian Constitution, intended to guide policy though not legally enforceable in court.",Law & Constitution,Directive Principles
Choose the correct answer: Who is regarded as the chief architect of the Indian Constitution?,The Constituent Assembly,Dr. B. R. Ambedkar,"The head of government, leading the executive branch","Disputes between individuals or organizations, such as contracts or property",B) Dr. B. R. Ambedkar,Dr. B. R. Ambedkar chaired the Drafting Committee of the Indian Constitution and is regarded as its chief architect.,Law & Constitution,Constitution Basics
"Quiz question: What is the Right to Freedom of Speech and Expression, under the Indian Constitution?",A fundamental right allowing citizens to express their views and opinions,Six,To make laws for the country,Implementing and enforcing laws,A) A fundamental right allowing citizens to express their views and opinions,"The Right to Freedom of Speech and Expression is a fundamental right that allows citizens to express their views and opinions, subject to reasonable restrictions.",Law & Constitution,Fundamental Rights
Choose the correct answer: What is the term for the body that drafted the Indian Constitution?,The Constituent Assembly,"Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",The highest judicial court in the country,A fundamental right allowing citizens to express their views and opinions,A) The Constituent Assembly,The Constituent Assembly was the body of representatives responsible for drafting the Constitution of India.,Law & Constitution,Constitution Basics
