Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which mountain range runs along India's eastern coast?,The Vindhya Range,The Himalayas,The Eastern Ghats,The Western Ghats,C) The Eastern Ghats,"The Eastern Ghats run along the eastern coast of India, though less continuously than the Western Ghats.",Mountains & Rivers (India Only),Indian Mountains
Which is the second-longest river that flows entirely within India?,The Godavari,The Narmada,The Krishna,The Yamuna,A) The Godavari,"The Godavari, often called the 'Ganga of the South', is the second-longest river flowing entirely within India.",Mountains & Rivers (India Only),Longest Rivers
Which is the oldest mountain range in India?,The Himalayas,The Vindhya Range,The Western Ghats,The Aravalli Range,D) The Aravalli Range,"The Aravalli Range, running through Rajasthan and neighboring states, is considered one of the oldest mountain ranges in the world.",Mountains & Rivers (India Only),Indian Mountains
Which Indian river originates in Madhya Pradesh and flows west into the Arabian Sea (unusual for Indian rivers)?,The Kaveri,The Narmada,The Mahanadi,The Godavari,B) The Narmada,"The Narmada is notable for flowing westward into the Arabian Sea, unlike most major Indian rivers that flow eastward.",Mountains & Rivers (India Only),River Origins
Which river valley in India is known for the ancient Indus Valley Civilization sites?,The Godavari river valley,The Ganges river valley,The Indus river valley (in the broader Indus basin),The Narmada river valley,C) The Indus river valley (in the broader Indus basin),"The Indus Valley Civilization flourished along the Indus river and its tributaries, in present-day Pakistan and northwest India.",Mountains & Rivers (India Only),River Origins
From which mountain range does the Ganges river originate?,The Western Ghats,The Himalayas,The Vindhya Range,The Aravalli Range,B) The Himalayas,The Ganges originates from the Gangotri Glacier in the Himalayas.,Mountains & Rivers (India Only),River Origins
Which river is the primary water source for the city of Delhi?,The Chambal,The Ganges,The Yamuna,The Sutlej,C) The Yamuna,The Yamuna river flows through Delhi and serves as a major water source for the city.,Mountains & Rivers (India Only),Rivers by State
"Which is the largest river delta in India, formed by the Ganges and Brahmaputra?",The Mahanadi Delta,The Sundarbans Delta,The Krishna Delta,The Godavari Delta,B) The Sundarbans Delta,"The Sundarbans Delta, formed by the Ganges and Brahmaputra rivers, is the largest river delta in the world.",Mountains & Rivers (India Only),River Deltas
Which is the highest mountain peak in India?,Mount Everest,Nanda Devi,K2,Kangchenjunga,D) Kangchenjunga,"Kangchenjunga, on the border of India and Nepal, is the highest peak located within India.",Mountains & Rivers (India Only),Highest Peaks
"What is the term for a mountain pass, common in the Himalayan region?",A desert region,A type of river delta,A coastal plain,A high-altitude route through a mountain range,D) A high-altitude route through a mountain range,"A mountain pass is a navigable route through a mountain range, often at a lower elevation than surrounding peaks.",Mountains & Rivers (India Only),Mountain Peaks
From which glacier does the Yamuna river originate?,Siachen Glacier,Zemu Glacier,Yamunotri Glacier,Gangotri Glacier,C) Yamunotri Glacier,"The Yamuna river originates from the Yamunotri Glacier in the Himalayas, in Uttarakhand.",Mountains & Rivers (India Only),River Origins
Which mountain range separates the Ganges plain from the Deccan Plateau?,The Himalayas,The Aravalli Range,The Vindhya Range,The Western Ghats,C) The Vindhya Range,The Vindhya Range is often considered a traditional boundary separating northern India from the Deccan Plateau.,Mountains & Rivers (India Only),Indian Mountains
In which state does the Kaveri river primarily flow?,Tamil Nadu and Karnataka,Kerala and Andhra Pradesh,Maharashtra and Gujarat,West Bengal and Odisha,A) Tamil Nadu and Karnataka,"The Kaveri river flows primarily through Karnataka and Tamil Nadu, and is significant for irrigation in southern India.",Mountains & Rivers (India Only),Rivers by State
Which is the longest river in India?,The Ganges,The Godavari,The Brahmaputra,The Yamuna,A) The Ganges,"The Ganges is the longest river in India, flowing about 2,525 km from the Himalayas to the Bay of Bengal.",Mountains & Rivers (India Only),Longest Rivers
"What is the term for the Himalayan range's highest, snow-covered zone often called?",The Shivalik Range,The Greater Himalayas,The Outer Himalayas,The Middle Himalayas,B) The Greater Himalayas,"The Greater Himalayas (Himadri) form the highest and northernmost range, containing the tallest peaks.",Mountains & Rivers (India Only),Himalayas
Which river is considered sacred and is the most important river in Hinduism?,The Yamuna,The Godavari,The Ganges,The Narmada,C) The Ganges,"The Ganges is considered the holiest river in Hinduism, central to religious rituals and pilgrimage.",Mountains & Rivers (India Only),Rivers by State
"Which mountain range lies between the Ganges plain and the Himalayas, forming its foothills?",The Shivalik Hills,The Satpura Range,The Aravalli Range,The Vindhya Range,A) The Shivalik Hills,The Shivalik Hills form the southernmost and lowest range of the Himalayan foothills.,Mountains & Rivers (India Only),Himalayas
Which Indian river is known for forming a delta as it meets the Bay of Bengal alongside the Ganges?,The Yamuna,The Tapti,The Krishna,The Brahmaputra,D) The Brahmaputra,The Brahmaputra joins the Ganges delta system before flowing into the Bay of Bengal.,Mountains & Rivers (India Only),Rivers by State
Which river is known as the 'Ganga of the South'?,The Kaveri,The Narmada,The Krishna,The Godavari,D) The Godavari,The Godavari river is often referred to as the 'Ganga of the South' due to its significance in southern India.,Mountains & Rivers (India Only),Rivers by State
