Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Identify the tense: ""He danced a movie.""",Simple Present,Simple Past,Present Perfect,Past Continuous,B) Simple Past,"The sentence ""He danced a movie."" uses the Simple Past tense structure.",English,Tenses
"Identify the tense: ""They ran a letter.""",Simple Present,Present Continuous,Future,Simple Past,D) Simple Past,"The sentence ""They ran a letter."" uses the Simple Past tense structure.",English,Tenses
"Identify the tense: ""They sang the book.""",Present Perfect,Simple Present,Simple Past,Present Continuous,C) Simple Past,"The sentence ""They sang the book."" uses the Simple Past tense structure.",English,Tenses
"Identify the tense: ""Ravi has cook a story.""",Present Perfect,Simple Past,Future,Simple Present,A) Present Perfect,"The sentence ""Ravi has cook a story."" uses the Present Perfect tense structure.",English,Tenses
"Identify the tense: ""The team has play a letter.""",Future,Simple Present,Past Continuous,Present Perfect,D) Present Perfect,"The sentence ""The team has play a letter."" uses the Present Perfect tense structure.",English,Tenses
"Identify the tense: ""We dance the book.""",Simple Past,Present Continuous,Simple Present,Present Perfect,C) Simple Present,"The sentence ""We dance the book."" uses the Simple Present tense structure.",English,Tenses
"Identify the tense: ""Ravi is reading cricket.""",Present Perfect,Simple Past,Present Continuous,Past Continuous,C) Present Continuous,"The sentence ""Ravi is reading cricket."" uses the Present Continuous tense structure.",English,Tenses
"Identify the tense: ""The boy watched cricket.""",Past Continuous,Present Perfect,Simple Present,Simple Past,D) Simple Past,"The sentence ""The boy watched cricket."" uses the Simple Past tense structure.",English,Tenses
"Identify the tense: ""The team was playing the book.""",Past Continuous,Present Continuous,Present Perfect,Future,A) Past Continuous,"The sentence ""The team was playing the book."" uses the Past Continuous tense structure.",English,Tenses
"Identify the tense: ""They is studying a letter.""",Present Continuous,Past Continuous,Future,Simple Past,A) Present Continuous,"The sentence ""They is studying a letter."" uses the Present Continuous tense structure.",English,Tenses
"Identify the tense: ""The girls was dancing a song.""",Present Continuous,Simple Past,Future,Past Continuous,D) Past Continuous,"The sentence ""The girls was dancing a song."" uses the Past Continuous tense structure.",English,Tenses
