Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is an asteroid?,A type of comet,A collapsed star,A moon of a planet,"A small rocky body orbiting the Sun, mostly found in the asteroid belt","D) A small rocky body orbiting the Sun, mostly found in the asteroid belt","Asteroids are small, rocky bodies that orbit the Sun, with most found in the asteroid belt between Mars and Jupiter.",Space (Astronomy),Space Missions
What is Chandrayaan?,India's crewed spaceflight program,India's Mars mission,India's first satellite,India's lunar exploration program,D) India's lunar exploration program,"Chandrayaan is ISRO's lunar exploration program, with missions sent to study the Moon.",Space (Astronomy),Space Missions
What is Mangalyaan?,A communication satellite,India's Moon mission,India's Mars Orbiter Mission,A crewed spaceflight to Mars,C) India's Mars Orbiter Mission,"Mangalyaan, or the Mars Orbiter Mission, was ISRO's successful mission that placed a spacecraft in orbit around Mars in 2014.",Space (Astronomy),Space Missions
Which is the largest planet in our Solar System?,Saturn,Neptune,Earth,Jupiter,D) Jupiter,"Jupiter is the largest planet in the Solar System, more massive than all other planets combined.",Space (Astronomy),Planets
What is a comet mostly made of?,Solid iron,"Ice, dust, and rocky material",Liquid hydrogen,Molten lava,"B) Ice, dust, and rocky material","Comets are composed mainly of ice, dust, and rocky material, often called 'dirty snowballs'.",Space (Astronomy),Space Missions
What is a lunar eclipse?,When two moons collide,When the Moon disappears from orbit,When Earth's shadow falls on the Moon,When the Moon blocks the Sun,C) When Earth's shadow falls on the Moon,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, casting a shadow on the Moon.",Space (Astronomy),Moon
Choose the correct answer: What is a lunar eclipse?,When Earth's shadow falls on the Moon,"A massive system of stars, gas, dust, and dark matter bound by gravity",Capturing detailed images of distant galaxies and celestial objects,Chandrayaan-3,A) When Earth's shadow falls on the Moon,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, casting a shadow on the Moon.",Space (Astronomy),Moon
What is a supernova?,When Earth's shadow falls on the Moon,Aphelion,The explosive death of a massive star,Chandrayaan-3,C) The explosive death of a massive star,A supernova is a powerful explosion that occurs at the end of a massive star's life cycle.,Space (Astronomy),Stars
Quiz question: What is a lunar eclipse?,Jupiter,When Earth's shadow falls on the Moon,The distance light travels in one year,Because they are in continuous free-fall around Earth,B) When Earth's shadow falls on the Moon,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, casting a shadow on the Moon.",Space (Astronomy),Moon
Choose the correct answer: What is a light-year?,The distance light travels in one year,Hydrogen and helium,Rakesh Sharma,Capturing detailed images of distant galaxies and celestial objects,A) The distance light travels in one year,"A light-year is a unit of distance, representing how far light travels in a vacuum in one year.",Space (Astronomy),Stars
Which option correctly answers this: Who was the first person to walk on the Moon?,Aphelion,Mars,Neil Armstrong,"Saturn (with Jupiter close behind, depending on the count)",C) Neil Armstrong,Neil Armstrong became the first person to walk on the Moon during the Apollo 11 mission in 1969.,Space (Astronomy),Astronauts
What is the term for the point in a planet's orbit closest to the Sun?,Perihelion,Indian Space Research Organisation,About 365.25 days,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",A) Perihelion,Perihelion is the point in a planet's elliptical orbit where it is closest to the Sun.,Space (Astronomy),Solar System
What is a light-year?,Capturing detailed images of distant galaxies and celestial objects,The distance light travels in one year,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",India's lunar exploration program,B) The distance light travels in one year,"A light-year is a unit of distance, representing how far light travels in a vacuum in one year.",Space (Astronomy),Stars
Which spacecraft carried the first humans to the Moon?,The Moon,Apollo 11,Because they are in continuous free-fall around Earth,"When the Moon passes between the Sun and Earth, blocking sunlight",B) Apollo 11,"Apollo 11 was the spacecraft mission that carried the first humans, including Neil Armstrong, to land on the Moon in 1969.",Space (Astronomy),Space Missions
Choose the correct answer: What is a galaxy?,"A massive system of stars, gas, dust, and dark matter bound by gravity",The explosive death of a massive star,A nebula,Hydrogen and helium,"A) A massive system of stars, gas, dust, and dark matter bound by gravity","A galaxy is a huge collection of stars, gas, dust, and dark matter held together by gravity.",Space (Astronomy),Galaxies
Why do astronauts appear weightless in space?,The Moon,Because they are in continuous free-fall around Earth,"A massive system of stars, gas, dust, and dark matter bound by gravity",Saturn,B) Because they are in continuous free-fall around Earth,"Astronauts appear weightless because they and their spacecraft are in continuous free-fall around Earth, balanced by orbital velocity.",Space (Astronomy),Astronauts
Quiz question: What is the term for the point in a planet's orbit closest to the Sun?,Perihelion,An object that orbits a planet or other body,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",Neil Armstrong,A) Perihelion,Perihelion is the point in a planet's elliptical orbit where it is closest to the Sun.,Space (Astronomy),Solar System
Choose the correct answer: What is a light-year?,A recognizable pattern of stars in the sky,The distance light travels in one year,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",Hydrogen and helium,B) The distance light travels in one year,"A light-year is a unit of distance, representing how far light travels in a vacuum in one year.",Space (Astronomy),Stars
Why do astronauts appear weightless in space?,The distance light travels in one year,About 365.25 days,A region of space with extremely strong gravity that nothing can escape,Because they are in continuous free-fall around Earth,D) Because they are in continuous free-fall around Earth,"Astronauts appear weightless because they and their spacecraft are in continuous free-fall around Earth, balanced by orbital velocity.",Space (Astronomy),Astronauts
Choose the correct answer: What is the Sun mainly composed of?,The distance light travels in one year,Hydrogen and helium,Saturn,Yuri Gagarin,B) Hydrogen and helium,"The Sun is composed mostly of hydrogen and helium, which fuel nuclear fusion at its core.",Space (Astronomy),Sun
Quiz question: What is a satellite?,8,Yuri Gagarin,An object that orbits a planet or other body,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",C) An object that orbits a planet or other body,"A satellite is any object, natural or artificial, that orbits a larger body such as a planet.",Space (Astronomy),Space Technology
Quiz question: What is the Sun mainly composed of?,Hydrogen and helium,Perihelion,A habitable space station orbiting Earth used for scientific research,Jupiter,A) Hydrogen and helium,"The Sun is composed mostly of hydrogen and helium, which fuel nuclear fusion at its core.",Space (Astronomy),Sun
Choose the correct answer: What is a constellation?,Mercury,A recognizable pattern of stars in the sky,The distance light travels in one year,Neil Armstrong,B) A recognizable pattern of stars in the sky,A constellation is a group of stars that forms a recognizable pattern when viewed from Earth.,Space (Astronomy),Stars
Which option correctly answers this: What is a black hole?,Apollo 11,A region of space with extremely strong gravity that nothing can escape,The Moon,Capturing detailed images of distant galaxies and celestial objects,B) A region of space with extremely strong gravity that nothing can escape,A black hole is a region of space where gravity is so strong that not even light can escape from it.,Space (Astronomy),Black Holes
Quiz question: How many planets are there in our Solar System?,Mars,Chandrayaan-3,Because they are in continuous free-fall around Earth,8,D) 8,"There are eight recognized planets in our Solar System, since Pluto was reclassified as a dwarf planet in 2006.",Space (Astronomy),Solar System
Quiz question: Which planet is closest to the Sun?,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",Yuri Gagarin,Mercury,Apollo 11,C) Mercury,"Mercury is the closest planet to the Sun, completing an orbit in about 88 Earth days.",Space (Astronomy),Solar System
What is a space probe?,1969,An uncrewed spacecraft sent to explore space or other celestial bodies,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",Perihelion,B) An uncrewed spacecraft sent to explore space or other celestial bodies,A space probe is an uncrewed spacecraft designed to travel through space and collect data about celestial bodies.,Space (Astronomy),Space Missions
Quiz question: What is a constellation?,A shooting star,Rakesh Sharma,Mars,A recognizable pattern of stars in the sky,D) A recognizable pattern of stars in the sky,A constellation is a group of stars that forms a recognizable pattern when viewed from Earth.,Space (Astronomy),Stars
Choose the correct answer: What is a light-year?,"When the Moon passes between the Sun and Earth, blocking sunlight",The distance light travels in one year,Apollo 11,Mercury,B) The distance light travels in one year,"A light-year is a unit of distance, representing how far light travels in a vacuum in one year.",Space (Astronomy),Stars
Choose the correct answer: What is a supernova?,Rakesh Sharma,The explosive death of a massive star,When Earth's shadow falls on the Moon,Saturn,B) The explosive death of a massive star,A supernova is a powerful explosion that occurs at the end of a massive star's life cycle.,Space (Astronomy),Stars
Choose the correct answer: What is Mangalyaan?,A recognizable pattern of stars in the sky,India's Mars Orbiter Mission,An object that orbits a planet or other body,"A massive system of stars, gas, dust, and dark matter bound by gravity",B) India's Mars Orbiter Mission,"Mangalyaan, or the Mars Orbiter Mission, was ISRO's successful mission that placed a spacecraft in orbit around Mars in 2014.",Space (Astronomy),Space Missions
Quiz question: How many planets are there in our Solar System?,"When the Moon passes between the Sun and Earth, blocking sunlight",Mercury,An object that orbits a planet or other body,8,D) 8,"There are eight recognized planets in our Solar System, since Pluto was reclassified as a dwarf planet in 2006.",Space (Astronomy),Solar System
Which option correctly answers this: What is a comet mostly made of?,A recognizable pattern of stars in the sky,A nebula,India's lunar exploration program,"Ice, dust, and rocky material","D) Ice, dust, and rocky material","Comets are composed mainly of ice, dust, and rocky material, often called 'dirty snowballs'.",Space (Astronomy),Space Missions
Choose the correct answer: What is the International Space Station (ISS)?,Apollo 11,About 365.25 days,"Ice, dust, and rocky material",A habitable space station orbiting Earth used for scientific research,D) A habitable space station orbiting Earth used for scientific research,"The ISS is a large, habitable space station in low Earth orbit, used for scientific research by international space agencies.",Space (Astronomy),Space Technology
Choose the correct answer: What is a black hole?,A region of space with extremely strong gravity that nothing can escape,Because of its changing position relative to the Sun and Earth (phases),"A massive system of stars, gas, dust, and dark matter bound by gravity",Capturing detailed images of distant galaxies and celestial objects,A) A region of space with extremely strong gravity that nothing can escape,A black hole is a region of space where gravity is so strong that not even light can escape from it.,Space (Astronomy),Black Holes
Choose the correct answer: What is the Sun mainly composed of?,A habitable space station orbiting Earth used for scientific research,Mars,Hydrogen and helium,An object that orbits a planet or other body,C) Hydrogen and helium,"The Sun is composed mostly of hydrogen and helium, which fuel nuclear fusion at its core.",Space (Astronomy),Sun
Choose the correct answer: Who was the first Indian-born astronaut to travel to space?,Chandrayaan-3,A habitable space station orbiting Earth used for scientific research,Neil Armstrong,Rakesh Sharma,D) Rakesh Sharma,"Rakesh Sharma became the first Indian to travel to space in 1984, aboard a Soviet spacecraft.",Space (Astronomy),Astronauts
Which option correctly answers this: Which planet is known for the Great Red Spot?,Proxima Centauri,A nebula,The explosive death of a massive star,Jupiter,D) Jupiter,"Jupiter's Great Red Spot is a giant, persistent storm larger than Earth, visible for centuries.",Space (Astronomy),Planets
Quiz question: What is a galaxy?,A shooting star,Aphelion,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,"A massive system of stars, gas, dust, and dark matter bound by gravity","D) A massive system of stars, gas, dust, and dark matter bound by gravity","A galaxy is a huge collection of stars, gas, dust, and dark matter held together by gravity.",Space (Astronomy),Galaxies
Which option correctly answers this: What is a solar eclipse?,Rakesh Sharma,"Saturn (with Jupiter close behind, depending on the count)","When the Moon passes between the Sun and Earth, blocking sunlight",Mercury,"C) When the Moon passes between the Sun and Earth, blocking sunlight","A solar eclipse occurs when the Moon passes between the Earth and the Sun, temporarily blocking the Sun's light.",Space (Astronomy),Sun
Quiz question: What is a supernova?,The explosive death of a massive star,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,"A massive system of stars, gas, dust, and dark matter bound by gravity",Indian Space Research Organisation,A) The explosive death of a massive star,A supernova is a powerful explosion that occurs at the end of a massive star's life cycle.,Space (Astronomy),Stars
Quiz question: What is a lunar eclipse?,When Earth's shadow falls on the Moon,India's lunar exploration program,A region of space with extremely strong gravity that nothing can escape,Indian Space Research Organisation,A) When Earth's shadow falls on the Moon,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, casting a shadow on the Moon.",Space (Astronomy),Moon
Which option correctly answers this: What is a lunar eclipse?,Because of its changing position relative to the Sun and Earth (phases),When Earth's shadow falls on the Moon,Chandrayaan-3,1969,B) When Earth's shadow falls on the Moon,"A lunar eclipse occurs when the Earth passes between the Sun and the Moon, casting a shadow on the Moon.",Space (Astronomy),Moon
What is a constellation?,A recognizable pattern of stars in the sky,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,"Saturn (with Jupiter close behind, depending on the count)",Apollo 11,A) A recognizable pattern of stars in the sky,A constellation is a group of stars that forms a recognizable pattern when viewed from Earth.,Space (Astronomy),Stars
Choose the correct answer: Which is the nearest star to Earth (besides the Sun)?,A habitable space station orbiting Earth used for scientific research,Chandrayaan-3,Mars,Proxima Centauri,D) Proxima Centauri,"Proxima Centauri is the closest known star to Earth after the Sun, located about 4.2 light-years away.",Space (Astronomy),Stars
Quiz question: Which planet has the most moons discovered as of recent counts among the gas giants?,Saturn,Chandrayaan-3,1969,"Saturn (with Jupiter close behind, depending on the count)","D) Saturn (with Jupiter close behind, depending on the count)",Saturn and Jupiter are known for having the largest number of confirmed moons among planets in the Solar System.,Space (Astronomy),Planets
Choose the correct answer: What is a galaxy?,A shooting star,A region of space with extremely strong gravity that nothing can escape,A nebula,"A massive system of stars, gas, dust, and dark matter bound by gravity","D) A massive system of stars, gas, dust, and dark matter bound by gravity","A galaxy is a huge collection of stars, gas, dust, and dark matter held together by gravity.",Space (Astronomy),Galaxies
Which option correctly answers this: What is the Hubble Space Telescope known for?,Observing celestial objects from above Earth's atmosphere,Capturing detailed images of distant galaxies and celestial objects,A habitable space station orbiting Earth used for scientific research,A shooting star,B) Capturing detailed images of distant galaxies and celestial objects,"The Hubble Space Telescope, launched in 1990, is known for capturing detailed images of distant galaxies, nebulae, and stars.",Space (Astronomy),Space Technology
What is a solar eclipse?,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,"When the Moon passes between the Sun and Earth, blocking sunlight",Hydrogen and helium,The explosive death of a massive star,"B) When the Moon passes between the Sun and Earth, blocking sunlight","A solar eclipse occurs when the Moon passes between the Earth and the Sun, temporarily blocking the Sun's light.",Space (Astronomy),Sun
What is a comet mostly made of?,Capturing detailed images of distant galaxies and celestial objects,Observing celestial objects from above Earth's atmosphere,Because of its changing position relative to the Sun and Earth (phases),"Ice, dust, and rocky material","D) Ice, dust, and rocky material","Comets are composed mainly of ice, dust, and rocky material, often called 'dirty snowballs'.",Space (Astronomy),Space Missions
Choose the correct answer: What is a light-year?,The distance light travels in one year,1969,"A small rocky body orbiting the Sun, mostly found in the asteroid belt","A massive system of stars, gas, dust, and dark matter bound by gravity",A) The distance light travels in one year,"A light-year is a unit of distance, representing how far light travels in a vacuum in one year.",Space (Astronomy),Stars
What does ISRO stand for?,About 365.25 days,Indian Space Research Organisation,Proxima Centauri,Perihelion,B) Indian Space Research Organisation,"ISRO stands for the Indian Space Research Organisation, India's national space agency.",Space (Astronomy),Space Technology
Quiz question: Which planet is closest to the Sun?,8,The explosive death of a massive star,Mercury,Perihelion,C) Mercury,"Mercury is the closest planet to the Sun, completing an orbit in about 88 Earth days.",Space (Astronomy),Solar System
Which option correctly answers this: What is the Milky Way?,Jupiter,The galaxy that contains our Solar System,A region of space with extremely strong gravity that nothing can escape,Observing celestial objects from above Earth's atmosphere,B) The galaxy that contains our Solar System,"The Milky Way is the spiral galaxy that contains our Solar System, along with billions of other stars.",Space (Astronomy),Galaxies
Choose the correct answer: Which is the largest planet in our Solar System?,The explosive death of a massive star,Chandrayaan-3,Jupiter,8,C) Jupiter,"Jupiter is the largest planet in the Solar System, more massive than all other planets combined.",Space (Astronomy),Planets
Why does the Moon appear to change shape throughout the month?,Because of its changing position relative to the Sun and Earth (phases),India's Mars Orbiter Mission,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",Because they are in continuous free-fall around Earth,A) Because of its changing position relative to the Sun and Earth (phases),The Moon's phases occur because we see different portions of its sunlit half as it orbits the Earth.,Space (Astronomy),Moon
Choose the correct answer: What is Mangalyaan?,A region of space with extremely strong gravity that nothing can escape,India's Mars Orbiter Mission,When Earth's shadow falls on the Moon,Chandrayaan-3,B) India's Mars Orbiter Mission,"Mangalyaan, or the Mars Orbiter Mission, was ISRO's successful mission that placed a spacecraft in orbit around Mars in 2014.",Space (Astronomy),Space Missions
Which option correctly answers this: What is an asteroid?,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",A habitable space station orbiting Earth used for scientific research,Yuri Gagarin,Chandrayaan-3,"A) A small rocky body orbiting the Sun, mostly found in the asteroid belt","Asteroids are small, rocky bodies that orbit the Sun, with most found in the asteroid belt between Mars and Jupiter.",Space (Astronomy),Space Missions
What is the International Space Station (ISS)?,A recognizable pattern of stars in the sky,Saturn,Rakesh Sharma,A habitable space station orbiting Earth used for scientific research,D) A habitable space station orbiting Earth used for scientific research,"The ISS is a large, habitable space station in low Earth orbit, used for scientific research by international space agencies.",Space (Astronomy),Space Technology
What is a solar eclipse?,"When the Moon passes between the Sun and Earth, blocking sunlight",Because of its changing position relative to the Sun and Earth (phases),Mercury,Aphelion,"A) When the Moon passes between the Sun and Earth, blocking sunlight","A solar eclipse occurs when the Moon passes between the Earth and the Sun, temporarily blocking the Sun's light.",Space (Astronomy),Sun
Which option correctly answers this: Which planet is known as the Red Planet?,Because of its changing position relative to the Sun and Earth (phases),Mars,Indian Space Research Organisation,Proxima Centauri,B) Mars,"Mars is called the Red Planet due to iron oxide (rust) on its surface, giving it a reddish appearance.",Space (Astronomy),Planets
Quiz question: What is a solar eclipse?,Hydrogen and helium,"When the Moon passes between the Sun and Earth, blocking sunlight","A small rocky body orbiting the Sun, mostly found in the asteroid belt",1969,"B) When the Moon passes between the Sun and Earth, blocking sunlight","A solar eclipse occurs when the Moon passes between the Earth and the Sun, temporarily blocking the Sun's light.",Space (Astronomy),Sun
Which option correctly answers this: What is Earth's natural satellite called?,Because they are in continuous free-fall around Earth,"A massive system of stars, gas, dust, and dark matter bound by gravity",A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,The Moon,D) The Moon,"The Moon is Earth's only natural satellite, orbiting our planet roughly every 27.3 days.",Space (Astronomy),Moon
In which year did humans first land on the Moon?,1969,Rakesh Sharma,Chandrayaan-3,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,A) 1969,The Apollo 11 mission landed the first humans on the Moon on 20 July 1969.,Space (Astronomy),Space Missions
What is an asteroid?,Rakesh Sharma,A habitable space station orbiting Earth used for scientific research,Mars,"A small rocky body orbiting the Sun, mostly found in the asteroid belt","D) A small rocky body orbiting the Sun, mostly found in the asteroid belt","Asteroids are small, rocky bodies that orbit the Sun, with most found in the asteroid belt between Mars and Jupiter.",Space (Astronomy),Space Missions
Quiz question: What is the International Space Station (ISS)?,The distance light travels in one year,A habitable space station orbiting Earth used for scientific research,Saturn,Proxima Centauri,B) A habitable space station orbiting Earth used for scientific research,"The ISS is a large, habitable space station in low Earth orbit, used for scientific research by international space agencies.",Space (Astronomy),Space Technology
Choose the correct answer: How long does it take Earth to orbit the Sun once?,Aphelion,About 365.25 days,"A massive system of stars, gas, dust, and dark matter bound by gravity",When Earth's shadow falls on the Moon,B) About 365.25 days,"Earth takes approximately 365.25 days to complete one orbit around the Sun, the basis for our calendar year.",Space (Astronomy),Solar System
What does ISRO stand for?,A region of space with extremely strong gravity that nothing can escape,An uncrewed spacecraft sent to explore space or other celestial bodies,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,Indian Space Research Organisation,D) Indian Space Research Organisation,"ISRO stands for the Indian Space Research Organisation, India's national space agency.",Space (Astronomy),Space Technology
Which option correctly answers this: What is a solar eclipse?,Perihelion,Proxima Centauri,"When the Moon passes between the Sun and Earth, blocking sunlight",Chandrayaan-3,"C) When the Moon passes between the Sun and Earth, blocking sunlight","A solar eclipse occurs when the Moon passes between the Earth and the Sun, temporarily blocking the Sun's light.",Space (Astronomy),Sun
Choose the correct answer: Which is the largest planet in our Solar System?,Hydrogen and helium,Jupiter,A region of space with extremely strong gravity that nothing can escape,Perihelion,B) Jupiter,"Jupiter is the largest planet in the Solar System, more massive than all other planets combined.",Space (Astronomy),Planets
Quiz question: What is a supernova?,The explosive death of a massive star,"Ice, dust, and rocky material",8,Mars,A) The explosive death of a massive star,A supernova is a powerful explosion that occurs at the end of a massive star's life cycle.,Space (Astronomy),Stars
What is a galaxy?,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,An object that orbits a planet or other body,"A massive system of stars, gas, dust, and dark matter bound by gravity",When Earth's shadow falls on the Moon,"C) A massive system of stars, gas, dust, and dark matter bound by gravity","A galaxy is a huge collection of stars, gas, dust, and dark matter held together by gravity.",Space (Astronomy),Galaxies
Quiz question: What is a dwarf planet?,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,Indian Space Research Organisation,The Moon,A nebula,A) A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,"A dwarf planet, like Pluto, orbits the sun and is roughly spherical, but has not cleared its orbital neighborhood of other debris.",Space (Astronomy),Solar System
Quiz question: How many planets are there in our Solar System?,"Saturn (with Jupiter close behind, depending on the count)",Mercury,8,A region of space with extremely strong gravity that nothing can escape,C) 8,"There are eight recognized planets in our Solar System, since Pluto was reclassified as a dwarf planet in 2006.",Space (Astronomy),Solar System
What was India's first satellite called?,About 365.25 days,Mercury,Aryabhata,Saturn,C) Aryabhata,"Aryabhata, launched in 1975, was India's first satellite, named after the ancient Indian mathematician-astronomer.",Space (Astronomy),Space Missions
Quiz question: What is the term for the point in a planet's orbit closest to the Sun?,Observing celestial objects from above Earth's atmosphere,Mars,Perihelion,"A small rocky body orbiting the Sun, mostly found in the asteroid belt",C) Perihelion,Perihelion is the point in a planet's elliptical orbit where it is closest to the Sun.,Space (Astronomy),Solar System
What is a galaxy?,"A massive system of stars, gas, dust, and dark matter bound by gravity",The distance light travels in one year,Apollo 11,An object that orbits a planet or other body,"A) A massive system of stars, gas, dust, and dark matter bound by gravity","A galaxy is a huge collection of stars, gas, dust, and dark matter held together by gravity.",Space (Astronomy),Galaxies
In which year did humans first land on the Moon?,Perihelion,Because they are in continuous free-fall around Earth,1969,An uncrewed spacecraft sent to explore space or other celestial bodies,C) 1969,The Apollo 11 mission landed the first humans on the Moon on 20 July 1969.,Space (Astronomy),Space Missions
Quiz question: What is a dwarf planet?,Saturn,A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,Neil Armstrong,"A massive system of stars, gas, dust, and dark matter bound by gravity",B) A celestial body that orbits the sun but hasn't cleared its orbital path of other debris,"A dwarf planet, like Pluto, orbits the sun and is roughly spherical, but has not cleared its orbital neighborhood of other debris.",Space (Astronomy),Solar System
Which planet is famous for its prominent ring system?,Saturn,Neil Armstrong,"Saturn (with Jupiter close behind, depending on the count)",Observing celestial objects from above Earth's atmosphere,A) Saturn,Saturn is renowned for its spectacular and extensive ring system made of ice and rock particles.,Space (Astronomy),Planets
Which option correctly answers this: What is a space probe?,1969,Rakesh Sharma,An uncrewed spacecraft sent to explore space or other celestial bodies,Apollo 11,C) An uncrewed spacecraft sent to explore space or other celestial bodies,A space probe is an uncrewed spacecraft designed to travel through space and collect data about celestial bodies.,Space (Astronomy),Space Missions
Which option correctly answers this: What is Earth's natural satellite called?,Chandrayaan-3,A habitable space station orbiting Earth used for scientific research,The Moon,8,C) The Moon,"The Moon is Earth's only natural satellite, orbiting our planet roughly every 27.3 days.",Space (Astronomy),Moon
Which option correctly answers this: Who was the first Indian-born astronaut to travel to space?,Proxima Centauri,Rakesh Sharma,"A massive system of stars, gas, dust, and dark matter bound by gravity",The explosive death of a massive star,B) Rakesh Sharma,"Rakesh Sharma became the first Indian to travel to space in 1984, aboard a Soviet spacecraft.",Space (Astronomy),Astronauts
Who was the first human to travel into space?,A region of space with extremely strong gravity that nothing can escape,Yuri Gagarin,Hydrogen and helium,Capturing detailed images of distant galaxies and celestial objects,B) Yuri Gagarin,"Soviet cosmonaut Yuri Gagarin became the first human in space in 1961, orbiting the Earth aboard Vostok 1.",Space (Astronomy),Space Missions
Which planet has the most moons discovered as of recent counts among the gas giants?,A nebula,"A small rocky body orbiting the Sun, mostly found in the asteroid belt","Saturn (with Jupiter close behind, depending on the count)",Rakesh Sharma,"C) Saturn (with Jupiter close behind, depending on the count)",Saturn and Jupiter are known for having the largest number of confirmed moons among planets in the Solar System.,Space (Astronomy),Planets
How long does it take Earth to orbit the Sun once?,About 365.25 days,Capturing detailed images of distant galaxies and celestial objects,A shooting star,Proxima Centauri,A) About 365.25 days,"Earth takes approximately 365.25 days to complete one orbit around the Sun, the basis for our calendar year.",Space (Astronomy),Solar System
"Quiz question: What is the term for a large, glowing cloud of gas and dust in space?",The galaxy that contains our Solar System,"When the Moon passes between the Sun and Earth, blocking sunlight",Neil Armstrong,A nebula,D) A nebula,"A nebula is a large cloud of gas and dust in space, often a region where new stars are formed.",Space (Astronomy),Stars
