Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Which statement correctly explains the font-size property?,A CSS property used to set the background color of an element,A CSS property used to set the width of an element's content area,A CSS property used to set the size of text,A CSS property used to set how bold or thin text appears,C) A CSS property used to set the size of text,The 'font-size' property controls the size of the text within an element.,CSS,Text
Which of the following best describes the display: grid declaration?,A reusable value defined once and referenced throughout a stylesheet,A CSS rule that turns an element into a grid container,A CSS property used to add a border around an element,A CSS rule that turns an element into a flex container,B) A CSS rule that turns an element into a grid container,"Setting display: grid on an element turns it into a grid container, enabling two-dimensional layout of its children.",CSS,Grid
Choose the correct definition of the RGB color function.,A way of representing colors in CSS using a hash followed by six characters,"A CSS function used to define a color by specifying red, green, and blue values","A style aspect being set, such as color or font-size","A CSS property that controls how an element is rendered, like block or inline","B) A CSS function used to define a color by specifying red, green, and blue values","The RGB color function defines a color in CSS by specifying its red, green, and blue intensity values.",CSS,Colors
a CSS animation can be best defined as which of the following?,"A technique used to create more complex, multi-step animated effects",A CSS rule that turns an element into a grid container,"A CSS selector that targets a single element with a specific ID, written with a hash","A CSS keyword added to a selector to style an element in a specific state, like :hover","A) A technique used to create more complex, multi-step animated effects","CSS animations allow for more complex, multi-step animated effects, using @keyframes to define the stages.",CSS,Animations
Which of the following best describes what 'border-radius' controls in CSS?,"space inside an element's border, around its content",the typeface of text,the text color,how rounded an element's corners are,D) how rounded an element's corners are,The CSS property 'border-radius' controls how rounded an element's corners are.,CSS,Properties
"In CSS, what is the 'font-weight' property used for?",how bold or thin text appears,space outside an element's border,how transparent an element is,the vertical size of an element,A) how bold or thin text appears,The CSS property 'font-weight' controls how bold or thin text appears.,CSS,Properties
What does the CSS property 'padding' control?,"space inside an element's border, around its content",how rounded an element's corners are,how content that exceeds an element's box is handled,"how an element is rendered (e.g. block, inline, flex)","A) space inside an element's border, around its content","The CSS property 'padding' controls space inside an element's border, around its content.",CSS,Properties
What does the CSS property 'text-align' control?,how rounded an element's corners are,how an element is positioned on the page,the horizontal alignment of text,the spacing between characters,C) the horizontal alignment of text,The CSS property 'text-align' controls the horizontal alignment of text.,CSS,Properties
the height property can be best defined as which of the following?,A CSS property used to set the text color of an element,"A CSS property that controls how an element is rendered, like block or inline",A CSS property used to set the height of an element's content area,A property that controls the stacking order of overlapping positioned elements,C) A CSS property used to set the height of an element's content area,The 'height' property sets the vertical size of an element's content area.,CSS,Box Model
Which of the following best describes what 'border-radius' controls in CSS?,"space inside an element's border, around its content",the stacking order of overlapping elements,how rounded an element's corners are,the spacing between characters,C) how rounded an element's corners are,The CSS property 'border-radius' controls how rounded an element's corners are.,CSS,Properties
