Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
Quiz question: What is a constitution?,The lower house of the Indian Parliament,Six,A set of fundamental principles by which a country is governed,"The principle that the state treats all religions equally, without favoring any one",C) A set of fundamental principles by which a country is governed,A constitution is the fundamental legal document that establishes the principles and structure of a country's government.,Social Science,Indian Constitution
Which option correctly answers this: What is the Lok Sabha?,"Problems that affect many people within a society, like poverty or inequality",The lower house of the Indian Parliament,An imaginary line dividing Earth into Northern and Southern Hemispheres,The percentage of a population that can read and write,B) The lower house of the Indian Parliament,"The Lok Sabha is the lower house of India's bicameral Parliament, with members directly elected by the public.",Social Science,Government
Choose the correct answer: What is the equator?,"Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",To interpret laws and ensure justice,"A moral obligation of citizens, such as respecting the Constitution",An imaginary line dividing Earth into Northern and Southern Hemispheres,D) An imaginary line dividing Earth into Northern and Southern Hemispheres,"The equator is an imaginary line around the Earth's middle, dividing it into the Northern and Southern Hemispheres.",Social Science,Geography
Choose the correct answer: What is the equator?,"A moral obligation of citizens, such as respecting the Constitution","The practice of cultivating land, growing crops, and raising livestock","Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",An imaginary line dividing Earth into Northern and Southern Hemispheres,D) An imaginary line dividing Earth into Northern and Southern Hemispheres,"The equator is an imaginary line around the Earth's middle, dividing it into the Northern and Southern Hemispheres.",Social Science,Geography
Quiz question: What is meant by 'renewable natural resources'?,"Resources that can replenish naturally over time, like sunlight and wind","The right of all adult citizens to vote, regardless of factors like caste or gender",Imaginary vertical lines used to measure distance east or west of the Prime Meridian,The process by which a government collects money from citizens and businesses,"A) Resources that can replenish naturally over time, like sunlight and wind","Renewable natural resources, such as sunlight, wind, and water, can replenish naturally over relatively short periods of time.",Social Science,Natural Resources
Which option correctly answers this: What is a Constituent Assembly?,"Resources that take a very long time to form and can be depleted, like coal and petroleum",A set of fundamental principles by which a country is governed,The movement of people from one place to another to live or work,A body responsible for drafting a country's constitution,D) A body responsible for drafting a country's constitution,"A Constituent Assembly is a body of representatives tasked with drafting a country's constitution, as India's did between 1946 and 1949.",Social Science,Indian Constitution
Choose the correct answer: What is local self-government?,The study of the rights and duties of citizens and how government works,"A system where local bodies manage local affairs, like panchayats and municipalities",New Delhi,The percentage of a population that can read and write,"B) A system where local bodies manage local affairs, like panchayats and municipalities",Local self-government refers to systems like panchayats and municipalities that allow communities to manage their own local affairs.,Social Science,Government
Choose the correct answer: What is meant by the 'separation of powers'?,"Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",A three-tier system of local self-government in rural India,"A system of government by the people, typically through elected representatives",They allow citizens to choose their representatives,"A) Dividing government responsibilities among distinct branches, like legislative, executive, and judicial","Separation of powers divides government functions among the legislative, executive, and judicial branches to prevent concentration of power.",Social Science,Government
What is agriculture?,The process by which a government collects money from citizens and businesses,"Resources that can replenish naturally over time, like sunlight and wind","A guideline for governance included in the Indian Constitution, not legally enforceable","The practice of cultivating land, growing crops, and raising livestock","D) The practice of cultivating land, growing crops, and raising livestock","Agriculture is the practice of cultivating land, growing crops, and raising animals for food and other products.",Social Science,Natural Resources
Choose the correct answer: What is a census?,"The right of all adult citizens to vote, regardless of factors like caste or gender",A local governing body for urban areas like towns and cities,It guarantees the right to life and personal liberty,An official count of a population,D) An official count of a population,"A census is an official periodic count and survey of a population, gathering demographic and social data.",Social Science,Population
Choose the correct answer: How many fundamental rights are guaranteed by the Indian Constitution?,"Problems that affect many people within a society, like poverty or inequality","The right of all adult citizens to vote, regardless of factors like caste or gender",Six,New Delhi,C) Six,"The Indian Constitution originally guaranteed seven fundamental rights; the Right to Property was later removed, leaving six.",Social Science,Indian Constitution
Which option correctly answers this: What is the Lok Sabha?,"The practice of cultivating land, growing crops, and raising livestock",New Delhi,The lower house of the Indian Parliament,A three-tier system of local self-government in rural India,C) The lower house of the Indian Parliament,"The Lok Sabha is the lower house of India's bicameral Parliament, with members directly elected by the public.",Social Science,Government
How many fundamental rights are guaranteed by the Indian Constitution?,Six,An official count of a population,New Delhi,The division of society into different layers or classes,A) Six,"The Indian Constitution originally guaranteed seven fundamental rights; the Right to Property was later removed, leaving six.",Social Science,Indian Constitution
What are latitudes?,An official count of a population,Imaginary horizontal lines used to measure distance north or south of the equator,"Resources that take a very long time to form and can be depleted, like coal and petroleum",Imaginary vertical lines used to measure distance east or west of the Prime Meridian,B) Imaginary horizontal lines used to measure distance north or south of the equator,Latitudes are imaginary horizontal lines on Earth's surface used to indicate distance north or south of the equator.,Social Science,Geography
Choose the correct answer: What is a constitution?,A set of fundamental principles by which a country is governed,The process by which a government collects money from citizens and businesses,It guarantees the right to life and personal liberty,The study of the rights and duties of citizens and how government works,A) A set of fundamental principles by which a country is governed,A constitution is the fundamental legal document that establishes the principles and structure of a country's government.,Social Science,Indian Constitution
What does 'universal adult suffrage' mean?,A body responsible for drafting a country's constitution,A system of government where power is divided between central and state governments,Six,"The right of all adult citizens to vote, regardless of factors like caste or gender","D) The right of all adult citizens to vote, regardless of factors like caste or gender","Universal adult suffrage means all adult citizens have the right to vote, without restrictions based on caste, gender, or wealth.",Social Science,Civics
Choose the correct answer: Why are elections important in a democracy?,They allow citizens to choose their representatives,"Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",New Delhi,The upper house of the Indian Parliament,A) They allow citizens to choose their representatives,"Elections allow citizens to choose their representatives, forming the foundation of a functioning democracy.",Social Science,Civics
Choose the correct answer: What is migration (in social science)?,The movement of people from one place to another to live or work,"Resources that can replenish naturally over time, like sunlight and wind",Materials or substances occurring in nature that humans use,"A moral obligation of citizens, such as respecting the Constitution",A) The movement of people from one place to another to live or work,"Migration refers to the movement of people from one location to another, often for work, safety, or better living conditions.",Social Science,Social Issues
Quiz question: What is democracy?,"A system of government by the people, typically through elected representatives",New Delhi,"The principle that the state treats all religions equally, without favoring any one","A system where local bodies manage local affairs, like panchayats and municipalities","A) A system of government by the people, typically through elected representatives","Democracy is a system of government in which power is vested in the people, usually exercised through elected representatives.",Social Science,Civics
What is meant by 'non-renewable natural resources'?,The ceremonial head of state,"Resources that take a very long time to form and can be depleted, like coal and petroleum",A local governing body for urban areas like towns and cities,The lower house of the Indian Parliament,"B) Resources that take a very long time to form and can be depleted, like coal and petroleum","Non-renewable natural resources, such as coal and petroleum, form over extremely long periods and can be depleted faster than they regenerate.",Social Science,Natural Resources
What is a Constituent Assembly?,The division of society into different layers or classes,A body responsible for drafting a country's constitution,A three-tier system of local self-government in rural India,"Resources that can replenish naturally over time, like sunlight and wind",B) A body responsible for drafting a country's constitution,"A Constituent Assembly is a body of representatives tasked with drafting a country's constitution, as India's did between 1946 and 1949.",Social Science,Indian Constitution
Which option correctly answers this: What is meant by 'non-renewable natural resources'?,A local governing body for urban areas like towns and cities,An imaginary line dividing Earth into Northern and Southern Hemispheres,"Resources that take a very long time to form and can be depleted, like coal and petroleum",The upper house of the Indian Parliament,"C) Resources that take a very long time to form and can be depleted, like coal and petroleum","Non-renewable natural resources, such as coal and petroleum, form over extremely long periods and can be depleted faster than they regenerate.",Social Science,Natural Resources
Quiz question: What does the term 'population density' mean?,A village-level local self-government body,Imaginary vertical lines used to measure distance east or west of the Prime Meridian,Imaginary horizontal lines used to measure distance north or south of the equator,The number of people living per unit of area,D) The number of people living per unit of area,"Population density measures how many people live within a given unit of land area, such as per square kilometer.",Social Science,Population
Which option correctly answers this: What are natural resources?,Imaginary vertical lines used to measure distance east or west of the Prime Meridian,Materials or substances occurring in nature that humans use,An imaginary line dividing Earth into Northern and Southern Hemispheres,A set of fundamental principles by which a country is governed,B) Materials or substances occurring in nature that humans use,"Natural resources are materials or substances that occur naturally, such as water, minerals, and forests, used by humans.",Social Science,Natural Resources
Which option correctly answers this: What are latitudes?,A village-level local self-government body,Imaginary horizontal lines used to measure distance north or south of the equator,An imaginary line dividing Earth into Northern and Southern Hemispheres,"A guideline for governance included in the Indian Constitution, not legally enforceable",B) Imaginary horizontal lines used to measure distance north or south of the equator,Latitudes are imaginary horizontal lines on Earth's surface used to indicate distance north or south of the equator.,Social Science,Geography
Quiz question: What is the significance of Article 21 in the Indian Constitution?,It guarantees the right to life and personal liberty,Imaginary vertical lines used to measure distance east or west of the Prime Meridian,The process by which a government collects money from citizens and businesses,The percentage of a population that can read and write,A) It guarantees the right to life and personal liberty,Article 21 of the Indian Constitution guarantees the fundamental right to life and personal liberty.,Social Science,Indian Constitution
What is agriculture?,"A system of government by the people, typically through elected representatives",A group of people living in the same area or sharing common interests,Materials or substances occurring in nature that humans use,"The practice of cultivating land, growing crops, and raising livestock","D) The practice of cultivating land, growing crops, and raising livestock","Agriculture is the practice of cultivating land, growing crops, and raising animals for food and other products.",Social Science,Natural Resources
Which option correctly answers this: What is the capital of India?,The movement of people from one place to another to live or work,The lower house of the Indian Parliament,An official count of a population,New Delhi,D) New Delhi,"New Delhi is the capital of India, serving as the seat of the central government.",Social Science,Geography
Quiz question: What is meant by the 'separation of powers'?,"The study of society, social relationships, and institutions","Dividing government responsibilities among distinct branches, like legislative, executive, and judicial",New Delhi,To interpret laws and ensure justice,"B) Dividing government responsibilities among distinct branches, like legislative, executive, and judicial","Separation of powers divides government functions among the legislative, executive, and judicial branches to prevent concentration of power.",Social Science,Government
What is the equator?,A local governing body for urban areas like towns and cities,The lower house of the Indian Parliament,Materials or substances occurring in nature that humans use,An imaginary line dividing Earth into Northern and Southern Hemispheres,D) An imaginary line dividing Earth into Northern and Southern Hemispheres,"The equator is an imaginary line around the Earth's middle, dividing it into the Northern and Southern Hemispheres.",Social Science,Geography
Which option correctly answers this: What is meant by 'secularism' in the Indian context?,The process by which a government collects money from citizens and businesses,The process of population shift from rural to urban areas,To interpret laws and ensure justice,"The principle that the state treats all religions equally, without favoring any one","D) The principle that the state treats all religions equally, without favoring any one","Secularism, as practiced in India, means the state does not favor or discriminate against any particular religion.",Social Science,Indian Constitution
Choose the correct answer: What is meant by 'non-renewable natural resources'?,A three-tier system of local self-government in rural India,The lower house of the Indian Parliament,A group of people living in the same area or sharing common interests,"Resources that take a very long time to form and can be depleted, like coal and petroleum","D) Resources that take a very long time to form and can be depleted, like coal and petroleum","Non-renewable natural resources, such as coal and petroleum, form over extremely long periods and can be depleted faster than they regenerate.",Social Science,Natural Resources
Which option correctly answers this: Why are elections important in a democracy?,The ceremonial head of state,They allow citizens to choose their representatives,An imaginary line dividing Earth into Northern and Southern Hemispheres,A group of people living in the same area or sharing common interests,B) They allow citizens to choose their representatives,"Elections allow citizens to choose their representatives, forming the foundation of a functioning democracy.",Social Science,Civics
What are latitudes?,The movement of people from one place to another to live or work,"The study of society, social relationships, and institutions",Imaginary horizontal lines used to measure distance north or south of the equator,A local governing body for urban areas like towns and cities,C) Imaginary horizontal lines used to measure distance north or south of the equator,Latitudes are imaginary horizontal lines on Earth's surface used to indicate distance north or south of the equator.,Social Science,Geography
Choose the correct answer: What is meant by 'renewable natural resources'?,"The study of society, social relationships, and institutions","Dividing government responsibilities among distinct branches, like legislative, executive, and judicial","Resources that can replenish naturally over time, like sunlight and wind",A local governing body for urban areas like towns and cities,"C) Resources that can replenish naturally over time, like sunlight and wind","Renewable natural resources, such as sunlight, wind, and water, can replenish naturally over relatively short periods of time.",Social Science,Natural Resources
Choose the correct answer: What is meant by 'social issues'?,An imaginary line dividing Earth into Northern and Southern Hemispheres,The percentage of a population that can read and write,"The practice of cultivating land, growing crops, and raising livestock","Problems that affect many people within a society, like poverty or inequality","D) Problems that affect many people within a society, like poverty or inequality","Social issues are widespread problems within a society, such as poverty, inequality, or discrimination, that affect many people.",Social Science,Social Issues
Quiz question: What is the significance of Article 21 in the Indian Constitution?,The process by which a government collects money from citizens and businesses,A set of fundamental principles by which a country is governed,A body responsible for drafting a country's constitution,It guarantees the right to life and personal liberty,D) It guarantees the right to life and personal liberty,Article 21 of the Indian Constitution guarantees the fundamental right to life and personal liberty.,Social Science,Indian Constitution
Choose the correct answer: What is civics?,"The practice of cultivating land, growing crops, and raising livestock",The upper house of the Indian Parliament,"A moral obligation of citizens, such as respecting the Constitution",The study of the rights and duties of citizens and how government works,D) The study of the rights and duties of citizens and how government works,"Civics is the study of the rights and responsibilities of citizens, and the structure and function of government.",Social Science,Civics
Quiz question: What is meant by 'non-renewable natural resources'?,The study of the rights and duties of citizens and how government works,"A moral obligation of citizens, such as respecting the Constitution","Resources that take a very long time to form and can be depleted, like coal and petroleum",The ceremonial head of state,"C) Resources that take a very long time to form and can be depleted, like coal and petroleum","Non-renewable natural resources, such as coal and petroleum, form over extremely long periods and can be depleted faster than they regenerate.",Social Science,Natural Resources
Which option correctly answers this: What is migration (in social science)?,The study of the rights and duties of citizens and how government works,The movement of people from one place to another to live or work,"A moral obligation of citizens, such as respecting the Constitution",A system of government where power is divided between central and state governments,B) The movement of people from one place to another to live or work,"Migration refers to the movement of people from one location to another, often for work, safety, or better living conditions.",Social Science,Social Issues
Quiz question: What is a directive principle of state policy?,"Dividing government responsibilities among distinct branches, like legislative, executive, and judicial","A guideline for governance included in the Indian Constitution, not legally enforceable",New Delhi,"The principle that the state treats all religions equally, without favoring any one","B) A guideline for governance included in the Indian Constitution, not legally enforceable","Directive Principles of State Policy are guidelines for governance included in the Indian Constitution, intended to guide policy though not legally enforceable in court.",Social Science,Indian Constitution
Choose the correct answer: What is meant by 'renewable natural resources'?,"Resources that can replenish naturally over time, like sunlight and wind",A local governing body for urban areas like towns and cities,The process of population shift from rural to urban areas,A federal territory governed directly by the central government,"A) Resources that can replenish naturally over time, like sunlight and wind","Renewable natural resources, such as sunlight, wind, and water, can replenish naturally over relatively short periods of time.",Social Science,Natural Resources
What does taxation mean?,The process by which a government collects money from citizens and businesses,To interpret laws and ensure justice,"The right of all adult citizens to vote, regardless of factors like caste or gender","A moral obligation of citizens, such as respecting the Constitution",A) The process by which a government collects money from citizens and businesses,Taxation is the process by which governments collect money (taxes) from individuals and businesses to fund public services.,Social Science,Sociology
Quiz question: How many fundamental rights are guaranteed by the Indian Constitution?,Six,The ceremonial head of state,They allow citizens to choose their representatives,The process by which a government collects money from citizens and businesses,A) Six,"The Indian Constitution originally guaranteed seven fundamental rights; the Right to Property was later removed, leaving six.",Social Science,Indian Constitution
Quiz question: What is meant by 'secularism' in the Indian context?,A group of people living in the same area or sharing common interests,New Delhi,"The principle that the state treats all religions equally, without favoring any one",A local governing body for urban areas like towns and cities,"C) The principle that the state treats all religions equally, without favoring any one","Secularism, as practiced in India, means the state does not favor or discriminate against any particular religion.",Social Science,Indian Constitution
Quiz question: What are natural resources?,A three-tier system of local self-government in rural India,An official count of a population,Materials or substances occurring in nature that humans use,"The principle that the state treats all religions equally, without favoring any one",C) Materials or substances occurring in nature that humans use,"Natural resources are materials or substances that occur naturally, such as water, minerals, and forests, used by humans.",Social Science,Natural Resources
Choose the correct answer: What is meant by 'non-renewable natural resources'?,"Resources that take a very long time to form and can be depleted, like coal and petroleum",A federal territory governed directly by the central government,A set of fundamental principles by which a country is governed,The process of population shift from rural to urban areas,"A) Resources that take a very long time to form and can be depleted, like coal and petroleum","Non-renewable natural resources, such as coal and petroleum, form over extremely long periods and can be depleted faster than they regenerate.",Social Science,Natural Resources
What is a census?,Six,A federal territory governed directly by the central government,An official count of a population,A group of people living in the same area or sharing common interests,C) An official count of a population,"A census is an official periodic count and survey of a population, gathering demographic and social data.",Social Science,Population
What is meant by the 'separation of powers'?,"Dividing government responsibilities among distinct branches, like legislative, executive, and judicial","A guideline for governance included in the Indian Constitution, not legally enforceable",A set of fundamental principles by which a country is governed,A village-level local self-government body,"A) Dividing government responsibilities among distinct branches, like legislative, executive, and judicial","Separation of powers divides government functions among the legislative, executive, and judicial branches to prevent concentration of power.",Social Science,Government
What are longitudes?,Imaginary vertical lines used to measure distance east or west of the Prime Meridian,A body responsible for drafting a country's constitution,To interpret laws and ensure justice,A village-level local self-government body,A) Imaginary vertical lines used to measure distance east or west of the Prime Meridian,"Longitudes are imaginary vertical lines running from the North to South Pole, used to measure distance east or west of the Prime Meridian.",Social Science,Geography
Quiz question: What is the role of the judiciary in a democracy?,To interpret laws and ensure justice,They allow citizens to choose their representatives,Imaginary horizontal lines used to measure distance north or south of the equator,It guarantees the right to life and personal liberty,A) To interpret laws and ensure justice,"The judiciary interprets laws, resolves disputes, and ensures that justice is upheld within a democratic system.",Social Science,Government
Quiz question: Why are elections important in a democracy?,"The principle that the state treats all religions equally, without favoring any one",They allow citizens to choose their representatives,An official count of a population,Six,B) They allow citizens to choose their representatives,"Elections allow citizens to choose their representatives, forming the foundation of a functioning democracy.",Social Science,Civics
Quiz question: What is the equator?,"Resources that take a very long time to form and can be depleted, like coal and petroleum","The practice of cultivating land, growing crops, and raising livestock",The upper house of the Indian Parliament,An imaginary line dividing Earth into Northern and Southern Hemispheres,D) An imaginary line dividing Earth into Northern and Southern Hemispheres,"The equator is an imaginary line around the Earth's middle, dividing it into the Northern and Southern Hemispheres.",Social Science,Geography
What is meant by 'community' in social science?,A group of people living in the same area or sharing common interests,The number of people living per unit of area,"A system of government by the people, typically through elected representatives","A moral obligation of citizens, such as respecting the Constitution",A) A group of people living in the same area or sharing common interests,"In social science, a community refers to a group of people who live in the same locality or share common interests, culture, or identity.",Social Science,Communities
Choose the correct answer: What is meant by 'renewable natural resources'?,A three-tier system of local self-government in rural India,They allow citizens to choose their representatives,"Resources that can replenish naturally over time, like sunlight and wind",The process by which a government collects money from citizens and businesses,"C) Resources that can replenish naturally over time, like sunlight and wind","Renewable natural resources, such as sunlight, wind, and water, can replenish naturally over relatively short periods of time.",Social Science,Natural Resources
Which option correctly answers this: What is democracy?,Imaginary horizontal lines used to measure distance north or south of the equator,"A system of government by the people, typically through elected representatives",A village-level local self-government body,The ceremonial head of state,"B) A system of government by the people, typically through elected representatives","Democracy is a system of government in which power is vested in the people, usually exercised through elected representatives.",Social Science,Civics
What is a 'Union Territory' in India?,A system of government where power is divided between central and state governments,A federal territory governed directly by the central government,To interpret laws and ensure justice,"The right of all adult citizens to vote, regardless of factors like caste or gender",B) A federal territory governed directly by the central government,"A Union Territory in India is administered directly by the central government, unlike states which have their own elected governments.",Social Science,Government
