Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is software?,"Software distributed for free on a trial basis, often with limited features",Software owned by a company or individual with restricted usage rights,"Application Programming Interface, a set of rules that lets programs communicate",A set of programs and instructions that tell a computer what to do,D) A set of programs and instructions that tell a computer what to do,"Software refers to programs, data, and instructions used to operate computers and execute tasks.",Software,Software Basics
Which of the following best describes software?,Software owned by a company or individual with restricted usage rights,A program designed to help manage and maintain a computer system,A set of programs and instructions that tell a computer what to do,Malicious software that can replicate and spread to infect other programs,C) A set of programs and instructions that tell a computer what to do,"Software refers to programs, data, and instructions used to operate computers and execute tasks.",Software,Software Basics
What is an operating system?,System software that manages hardware and provides services for other programs,A release that fixes bugs or adds new features to existing software,Software that can run on multiple operating systems,"Application Programming Interface, a set of rules that lets programs communicate",A) System software that manages hardware and provides services for other programs,An operating system manages a computer's hardware resources and provides a platform for running application software.,Software,System Software
Which of the following best describes an operating system?,A file that runs a program when opened,An open-source operating system kernel widely used in servers and devices,A tool used to find and fix errors in code,System software that manages hardware and provides services for other programs,D) System software that manages hardware and provides services for other programs,An operating system manages a computer's hardware resources and provides a platform for running application software.,Software,System Software
What is application software?,Software designed to help users perform specific tasks,Software whose source code is publicly available to view and modify,The human-readable instructions written by a programmer,A step-by-step procedure for solving a problem,A) Software designed to help users perform specific tasks,"Application software (e.g. word processors, browsers) is designed for end users to perform specific tasks.",Software,Application Software
Which of the following best describes application software?,A popular open-source relational database management system,"Software distributed for free on a trial basis, often with limited features","Structured Query Language, used to manage and query relational databases",Software designed to help users perform specific tasks,D) Software designed to help users perform specific tasks,"Application software (e.g. word processors, browsers) is designed for end users to perform specific tasks.",Software,Application Software
What is system software?,A small software update that fixes a specific bug or vulnerability,The process of converting data into a coded form to prevent unauthorized access,Software that manages and controls computer hardware,"Software used to organize, calculate, and analyze data in rows and columns",C) Software that manages and controls computer hardware,"System software, like operating systems and drivers, manages hardware so application software can run.",Software,System Software
Which of the following best describes system software?,Software that manages and controls computer hardware,Software designed to help users perform specific tasks,"Software used to create, edit, and format text documents",A pre-release version of software used for testing before full release,A) Software that manages and controls computer hardware,"System software, like operating systems and drivers, manages hardware so application software can run.",Software,System Software
What is a device driver?,"Software used to create, edit, and format text documents",Software that allows the OS to communicate with hardware devices,A popular open-source relational database management system,A file that runs a program when opened,B) Software that allows the OS to communicate with hardware devices,A device driver is a program that lets the operating system communicate with and control a specific hardware device.,Software,System Software
Which of the following best describes a device driver?,Software that allows the OS to communicate with hardware devices,"Integrated Development Environment, a tool for writing and testing code",Software designed to detect and remove malicious software,Software that connects different applications or services together,A) Software that allows the OS to communicate with hardware devices,A device driver is a program that lets the operating system communicate with and control a specific hardware device.,Software,System Software
What is firmware?,The process of converting data into a coded form to prevent unauthorized access,Software permanently programmed into a hardware device,Software that allows the OS to communicate with hardware devices,"Structured Query Language, used to manage and query relational databases",B) Software permanently programmed into a hardware device,Firmware is low-level software embedded in hardware devices that controls basic functions.,Software,System Software
Which of the following best describes firmware?,The human-readable instructions written by a programmer,Software that connects different applications or services together,"Software used to create, edit, and format text documents",Software permanently programmed into a hardware device,D) Software permanently programmed into a hardware device,Firmware is low-level software embedded in hardware devices that controls basic functions.,Software,System Software
What is a database?,"Software available to use at no cost, but not necessarily open source",A tool used to find and fix errors in code,"Software distributed for free on a trial basis, often with limited features",An organized collection of structured data,D) An organized collection of structured data,"A database is a structured collection of data organized for easy access, management, and updating.",Software,Database Software
Which of the following best describes a database?,A database that organizes data into tables with rows and columns,"Software used to organize, calculate, and analyze data in rows and columns",A program designed to help manage and maintain a computer system,An organized collection of structured data,D) An organized collection of structured data,"A database is a structured collection of data organized for easy access, management, and updating.",Software,Database Software
